Program Name,Acronym,Agency,Prime Contractor,Contract Number,Contract Value,Contract Description,Match Confidence,Match Score,tango_piid,tango_description,pop_city,pop_state,pop_zip,pop_country,period_start,period_end,ultimate_completion,subawards_count,subawards_total,recipient_uei,recipient_name,naics_code,psc_code,set_aside,obligated,total_contract_value,parent_piid,parent_description,awarding_office,awarding_agency,funding_office
DoD Health Modernization,DHMSM (MHS GENESIS),DoD,Leidos; Cerner; Accenture,HHSN261200800001E,"$4,813,063,024.90",OPER OF GOVT R&D GOCO FACILITIES BIOMEDICAL RESEARCH NIH NCI,Low,0,HHSN261200800001E,TAS::75 0849::TAS  OPER OF GOVT R&D GOCO FACILITIES,FREDERICK,MARYLAND,21702,UNITED STATES,2008-09-26,2024-09-06,2024-09-06,,,HV8BH9BPG8Y9,LEIDOS BIOMEDICAL RESEARCH INC,561210,M181,NONE,"$4,813,063,024.90","$70,988,409,497.44",,,,,
DoD High Performance Computing Modernization Program – HITS / HITS-U Support,HITS / HITS-U,DoD,SAIC,FA877319FA023,"$39,874,973.53",ADVISORY AND ASSISTANCE PROFESSIONAL SERVICES 688 OSS CYBER,Low,0,FA877319FA023,OT ADVISORY AND ASSISTANCE PROFESSIONAL SERVICES IN SUPPORT OF THE 688 OSS,SAN ANTONIO,TEXAS,78243,UNITED STATES,2019-04-28,2025-10-27,2026-07-27,,,K3XCTTC4VDR5,MOSAIC TECHNOLOGIES GROUP LLC,541330,R425,,"$39,874,973.53","$47,518,825.61",GS00Q14OADS129,"ONE ACQUISITION SOLUTION FOR INTEGRATED SERVICES (OASIS) PROFESSIONAL SERVICES MULTIPLE AGENCY CONTRACT, IGF::OT::IGF",FA8773 ACC 38 CONS,Department of the Air Force,67 CW
DoD Joint Service Provider – Pentagon IT & ICAM,JSP,DoD,CACI (incumbent),47QFRA19F0011,"$708,253,079.87",DYNAMIC AND EVOLVING FEDERAL ENTERPRISE NETWORK DEFENSE CDM DEFEND CYBER,Medium,1,47QFRA19F0011,DYNAMIC AND EVOLVING FEDERAL ENTERPRISE NETWORK DEFENSE GROUP A DEFEND A  OPTION EXERCISE AND TRANSFER FROM PIID 47QFCA18F0050,ARLINGTON,VIRGINIA,22202,UNITED STATES,2019-05-08,2024-04-30,2024-04-30,2,"$10,015,496.00",N3PBJAVNKF61,"CACI, INC. - FEDERAL",541512,7010,,"$708,253,079.87","$1,026,717,176.60",GS00Q09BGD0020,"THE SCOPE OF THE ALLIANT GWAC INCLUDES ANY AND ALL COMPONENTS OF AN INTEGRATED INFORMATION TECHNOLOGY (IT) SOLUTION, INCLUDING ALL CURRENT AND ANY NEW TECHNOLOGIES WHICH MAY EMERGE DURING THE LIFE CYC",GSA FAS AAS REGION 8,Federal Acquisition Service,
DoD JSP – Pentagon IT & ICAM (AFNCR/ICAM),AFNCR / ICAM,Air Force,Leidos,HHSN261200800001E,"$4,813,063,024.90",OPER OF GOVT R&D GOCO FACILITIES BIOMEDICAL RESEARCH NIH NCI,Low,0,HHSN261200800001E,TAS::75 0849::TAS  OPER OF GOVT R&D GOCO FACILITIES,FREDERICK,MARYLAND,21702,UNITED STATES,2008-09-26,2024-09-06,2024-09-06,,,HV8BH9BPG8Y9,LEIDOS BIOMEDICAL RESEARCH INC,561210,M181,NONE,"$4,813,063,024.90","$70,988,409,497.44",,,,,
DSS Support,DSS Support,DoD,Northrop (mention); others,FA821920C0006,"$10,801,259,923.19",GROUND-BASED STRATEGIC DETERRENT GBSD SENTINEL ENGINEERING MANUFACTURING DEVELOPMENT EMD ICBM,Low,0,FA821920C0006,GROUND-BASED STRATEGIC DETERRENT (GBSD) ENGINEERING AND MANUFACTURING DEVELOPMENT (EMD) AND EARLY PRODUCTION AND DEPLOYMENT (P&D),ROY,UTAH,84067,UNITED STATES,2020-09-08,2029-03-10,2029-03-10,4019,"$27,743,434,931.93",D8QQPFNYJD63,NORTHROP GRUMMAN SYSTEMS CORP,336414,AC24,NONE,"$10,801,259,923.19","$13,360,972,363.51",,,FA8219   AFNWC PZBG,Department of the Air Force,F2DANX AFNWC NX SENTINEL GINV
DTRA IAC-MAC Research & Analysis,IAC-MAC,DoD,CACI,GSQ0017AJ0006,"$960,038,373.03",JIDA FS/DE TASK ORDER COUNTER IED,Low,0,GSQ0017AJ0006,"AWARD MADE TO CACI, INC.-FEDERAL FOR JIDA FS/DE TASK ORDER, IN THE AMOUNT NOT TO EXCEED $1,773,158,264.00. IGF::CL::IGF",RESTON,VIRGINIA,20191,UNITED STATES,2016-10-28,2022-02-28,2022-02-28,92,"$214,206,282.90",N3PBJAVNKF61,"CACI, INC. - FEDERAL",541712,B538,NONE,"$960,038,373.03","$2,426,356,180.00",GS00Q14OADU407,"ONE ACQUISITION SOLUTION FOR INTEGRATED SERVICES (OASIS) PROFESSIONAL SERVICES MMULTIPLE AGENCY CONTRACT,IGF::OT::IGF",GSA FAS AAS FEDSIM,Federal Acquisition Service,DEFENSE THREAT REDUCTION AGENCY
DTRA Integrated IT Support Services,I3TS,DoD,Leidos,70T04019C9DAP3006,"$862,620,736.01",INTEGRATED LOGISTICS SUPPORT (ILS) TSA TRANSPORTATION SECURITY EQUIPMENT,Medium,1,70T04019C9DAP3006,THE PURPOSE OF THIS CONTRACT IS FOR LEIDOS TO PROVIDE THE TRANSPORTATION SECURITY ADMINISTRATION (TSA) WITH AN INTEGRATED LOGISTICS SUPPORT (ILS) PROGRAM TO SUSTAIN GOVERNMENT TRANSPORTATION SECURITY EQUIPMENT (TSE) OWNED AND OPERATED BY TSA.,RESTON,VIRGINIA,20190,UNITED STATES,2019-10-01,2025-03-31,2025-03-31,222,"$556,879,966.00",UE9QJD4KK1L6,"LEIDOS, INC.",811219,J063,NONE,"$862,620,736.01","$1,013,951,305.24",,,SECURITY TECHNOLOGY,Transportation Security Administration,SECURITY TECHNOLOGY
DTRA Integrated IT Support Services,DTRA I3TS,DoD,Leidos,70T04019C9DAP3006,"$862,620,736.01",INTEGRATED LOGISTICS SUPPORT (ILS) TSA TRANSPORTATION SECURITY EQUIPMENT,Medium,1,70T04019C9DAP3006,THE PURPOSE OF THIS CONTRACT IS FOR LEIDOS TO PROVIDE THE TRANSPORTATION SECURITY ADMINISTRATION (TSA) WITH AN INTEGRATED LOGISTICS SUPPORT (ILS) PROGRAM TO SUSTAIN GOVERNMENT TRANSPORTATION SECURITY EQUIPMENT (TSE) OWNED AND OPERATED BY TSA.,RESTON,VIRGINIA,20190,UNITED STATES,2019-10-01,2025-03-31,2025-03-31,222,"$556,879,966.00",UE9QJD4KK1L6,"LEIDOS, INC.",811219,J063,NONE,"$862,620,736.01","$1,013,951,305.24",,,SECURITY TECHNOLOGY,Transportation Security Administration,SECURITY TECHNOLOGY
DTRA IT Modernization / Support Services,I3TS (ITSS),DoD,Leidos,HHSN261200800001E,"$4,813,063,024.90",OPER OF GOVT R&D GOCO FACILITIES BIOMEDICAL RESEARCH NIH NCI,Low,0,HHSN261200800001E,TAS::75 0849::TAS  OPER OF GOVT R&D GOCO FACILITIES,FREDERICK,MARYLAND,21702,UNITED STATES,2008-09-26,2024-09-06,2024-09-06,,,HV8BH9BPG8Y9,LEIDOS BIOMEDICAL RESEARCH INC,561210,M181,NONE,"$4,813,063,024.90","$70,988,409,497.44",,,,,
DTRA IT Support Modernization,I3TS,DoD,Leidos,70T04019C9DAP3006,"$862,620,736.01",INTEGRATED LOGISTICS SUPPORT (ILS) TSA TRANSPORTATION SECURITY EQUIPMENT,Medium,1,70T04019C9DAP3006,THE PURPOSE OF THIS CONTRACT IS FOR LEIDOS TO PROVIDE THE TRANSPORTATION SECURITY ADMINISTRATION (TSA) WITH AN INTEGRATED LOGISTICS SUPPORT (ILS) PROGRAM TO SUSTAIN GOVERNMENT TRANSPORTATION SECURITY EQUIPMENT (TSE) OWNED AND OPERATED BY TSA.,RESTON,VIRGINIA,20190,UNITED STATES,2019-10-01,2025-03-31,2025-03-31,222,"$556,879,966.00",UE9QJD4KK1L6,"LEIDOS, INC.",811219,J063,NONE,"$862,620,736.01","$1,013,951,305.24",,,SECURITY TECHNOLOGY,Transportation Security Administration,SECURITY TECHNOLOGY
DTRA IT Support Services,I3TS,DoD,Leidos,HHSN261200800001E,"$4,813,063,024.90",OPER OF GOVT R&D GOCO FACILITIES BIOMEDICAL RESEARCH NIH NCI,Low,0,HHSN261200800001E,TAS::75 0849::TAS  OPER OF GOVT R&D GOCO FACILITIES,FREDERICK,MARYLAND,21702,UNITED STATES,2008-09-26,2024-09-06,2024-09-06,,,HV8BH9BPG8Y9,LEIDOS BIOMEDICAL RESEARCH INC,561210,M181,NONE,"$4,813,063,024.90","$70,988,409,497.44",,,,,
"EDIS – Engineering, Development, Integration & Sustainment",EDIS,Space Force,SAIC,FA251822F0034,"$2,893,647.82",LOADING INTEGRATION ANALYSIS TACTICAL SOLUTIONS SATELLITE ENTERPRISE NETWORKS LITEN,Medium,1,FA251822F0034,LOADING INTEGRATION ANALYSIS AND TACTICAL SOLUTIONS FOR SATELLITE ENTERPRISE NETWORKS - 2 (LITEN-2),COLORADO SPRINGS,COLORADO,80912,UNITED STATES,2022-06-27,2026-06-28,2027-06-28,,,EMX1P81U9GG5,"APOGEE-SAIC CAPABILITIES INTEGRATOR, LLC",541512,R425,8A,"$2,893,647.82","$3,720,056.52",75N98119D00001,IGF::OT::IGF  IT AND TELECOM- OTHER IT AND TELECOMMUNICATIONS,FA2518  USSF SPOC/SAIO,Department of the Air Force,FA3GL0 22 SOPS
EDIS / HADES (follow-on),EDIS/HADES,Space Force,SAIC / Army,FA877319FA023,"$39,874,973.53",ADVISORY AND ASSISTANCE PROFESSIONAL SERVICES 688 OSS CYBER,Low,0,FA877319FA023,OT ADVISORY AND ASSISTANCE PROFESSIONAL SERVICES IN SUPPORT OF THE 688 OSS,SAN ANTONIO,TEXAS,78243,UNITED STATES,2019-04-28,2025-10-27,2026-07-27,,,K3XCTTC4VDR5,MOSAIC TECHNOLOGIES GROUP LLC,541330,R425,,"$39,874,973.53","$47,518,825.61",GS00Q14OADS129,"ONE ACQUISITION SOLUTION FOR INTEGRATED SERVICES (OASIS) PROFESSIONAL SERVICES MULTIPLE AGENCY CONTRACT, IGF::OT::IGF",FA8773 ACC 38 CONS,Department of the Air Force,67 CW
EITaaS (Pilot – USAF),EITaaS,Air Force,CACI (pilot),FA882316C0004,"$600,725,818.08",CONSOLIDATED AIR FORCE SATELLITE CONTROL NETWORK MAINTENANCE MODIFICATIONS OPERATIONS CAMMO AFSCN,Medium,2,FA882316C0004,"IGF::OT::IGF CONSOLIDATED AIR FORCE SATELLITE CONTROL NETWORK MAINTENANCE, MODIFICATIONS AND OPERATIONS CONTRACT",COLORADO SPRINGS,COLORADO,80919,UNITED STATES,2016-06-13,2025-12-09,2025-12-09,68,"$11,638,145.36",L2TTR2QRV8H9,"CACI NSS, LLC",517410,R425,NONE,"$600,725,818.08","$139,644,959.63",,,FA8823  SUSTAINMENT MCPNT SSC/PKL,Department of the Air Force,F3LGRN SMC DET 11 RNSE
Engineering Development & Integration Support,EDIS,Space Force,SAIC (via Engility),FA251822F0034,"$2,893,647.82",LOADING INTEGRATION ANALYSIS TACTICAL SOLUTIONS SATELLITE ENTERPRISE NETWORKS LITEN,High,3,FA251822F0034,LOADING INTEGRATION ANALYSIS AND TACTICAL SOLUTIONS FOR SATELLITE ENTERPRISE NETWORKS - 2 (LITEN-2),COLORADO SPRINGS,COLORADO,80912,UNITED STATES,2022-06-27,2026-06-28,2027-06-28,,,EMX1P81U9GG5,"APOGEE-SAIC CAPABILITIES INTEGRATOR, LLC",541512,R425,8A,"$2,893,647.82","$3,720,056.52",75N98119D00001,IGF::OT::IGF  IT AND TELECOM- OTHER IT AND TELECOMMUNICATIONS,FA2518  USSF SPOC/SAIO,Department of the Air Force,FA3GL0 22 SOPS
EUCOM / AFRICOM IT & Communications Support,EUCOM/AFRICOM IT,Air Force,CACI,FA882316C0004,"$600,725,818.08",CONSOLIDATED AIR FORCE SATELLITE CONTROL NETWORK MAINTENANCE MODIFICATIONS OPERATIONS CAMMO AFSCN,Medium,2,FA882316C0004,"IGF::OT::IGF CONSOLIDATED AIR FORCE SATELLITE CONTROL NETWORK MAINTENANCE, MODIFICATIONS AND OPERATIONS CONTRACT",COLORADO SPRINGS,COLORADO,80919,UNITED STATES,2016-06-13,2025-12-09,2025-12-09,68,"$11,638,145.36",L2TTR2QRV8H9,"CACI NSS, LLC",517410,R425,NONE,"$600,725,818.08","$139,644,959.63",,,FA8823  SUSTAINMENT MCPNT SSC/PKL,Department of the Air Force,F3LGRN SMC DET 11 RNSE
EUCOM/AFRICOM Enterprise IT & Comms Support,DCWAS (ref name),DoD,CACI,47QFRA19F0011,"$708,253,079.87",DYNAMIC AND EVOLVING FEDERAL ENTERPRISE NETWORK DEFENSE CDM DEFEND CYBER,Medium,1,47QFRA19F0011,DYNAMIC AND EVOLVING FEDERAL ENTERPRISE NETWORK DEFENSE GROUP A DEFEND A  OPTION EXERCISE AND TRANSFER FROM PIID 47QFCA18F0050,ARLINGTON,VIRGINIA,22202,UNITED STATES,2019-05-08,2024-04-30,2024-04-30,2,"$10,015,496.00",N3PBJAVNKF61,"CACI, INC. - FEDERAL",541512,7010,,"$708,253,079.87","$1,026,717,176.60",GS00Q09BGD0020,"THE SCOPE OF THE ALLIANT GWAC INCLUDES ANY AND ALL COMPONENTS OF AN INTEGRATED INFORMATION TECHNOLOGY (IT) SOLUTION, INCLUDING ALL CURRENT AND ANY NEW TECHNOLOGIES WHICH MAY EMERGE DURING THE LIFE CYC",GSA FAS AAS REGION 8,Federal Acquisition Service,
EUCOM/AFRICOM IT & Comms,,DoD,CACI,GSQ0017AJ0006,"$960,038,373.03",JIDA FS/DE TASK ORDER COUNTER IED,Low,0,GSQ0017AJ0006,"AWARD MADE TO CACI, INC.-FEDERAL FOR JIDA FS/DE TASK ORDER, IN THE AMOUNT NOT TO EXCEED $1,773,158,264.00. IGF::CL::IGF",RESTON,VIRGINIA,20191,UNITED STATES,2016-10-28,2022-02-28,2022-02-28,92,"$214,206,282.90",N3PBJAVNKF61,"CACI, INC. - FEDERAL",541712,B538,NONE,"$960,038,373.03","$2,426,356,180.00",GS00Q14OADU407,"ONE ACQUISITION SOLUTION FOR INTEGRATED SERVICES (OASIS) PROFESSIONAL SERVICES MMULTIPLE AGENCY CONTRACT,IGF::OT::IGF",GSA FAS AAS FEDSIM,Federal Acquisition Service,DEFENSE THREAT REDUCTION AGENCY
EUCOM/AFRICOM IT & Comms Support,,Air Force,CACI,FA882316C0004,"$600,725,818.08",CONSOLIDATED AIR FORCE SATELLITE CONTROL NETWORK MAINTENANCE MODIFICATIONS OPERATIONS CAMMO AFSCN,Medium,2,FA882316C0004,"IGF::OT::IGF CONSOLIDATED AIR FORCE SATELLITE CONTROL NETWORK MAINTENANCE, MODIFICATIONS AND OPERATIONS CONTRACT",COLORADO SPRINGS,COLORADO,80919,UNITED STATES,2016-06-13,2025-12-09,2025-12-09,68,"$11,638,145.36",L2TTR2QRV8H9,"CACI NSS, LLC",517410,R425,NONE,"$600,725,818.08","$139,644,959.63",,,FA8823  SUSTAINMENT MCPNT SSC/PKL,Department of the Air Force,F3LGRN SMC DET 11 RNSE
F-35 Sustainment,F-35 Sustainment,DoD,Lockheed Martin,N0001917C0001,"$35,135,514,910.20",F-35 LRIP LOT 12 ADVANCE ACQUISITION LIGHTNING II JOINT STRIKE FIGHTER JSF,Low,0,N0001917C0001,LRIP LOT 12 ADVANCE ACQUISITION CONTRACT,FORT WORTH,TEXAS,76108,UNITED STATES,2017-11-17,2031-03-31,2031-03-31,12781,"$19,006,059,279.59",G4KDGE4JFFK7,LOCKHEED MARTIN CORPORATION,336411,1510,NONE,"$35,135,514,910.20","$45,265,737,305.46",,,NAVAL AIR SYSTEMS COMMAND,Department of the Navy,NAVAL AIR SYSTEMS COMMAND
Fort Eisenhower (Gordon) IT Support,,Army,SAIC,W15QKN19F1290,"$39,320,458.07",OPS LABOR CAPABILITIES INTEGRATOR,Medium,1,W15QKN19F1290,OPS ~ CLIN 1 LABOR,COLORADO SPRINGS,COLORADO,80920,UNITED STATES,2019-08-28,2025-08-29,2025-08-29,,,EMX1P81U9GG5,"APOGEE-SAIC CAPABILITIES INTEGRATOR, LLC",541519,R425,,"$39,320,458.07","$45,135,228.31",W52P1J18DA047,INFORMATION TECHNOLOGY ENTERPRISE SOLUTIONS- 3 SERVICES (ITES-3S) MULTIPLE AWARD INDEFINITE DELIVERY INDEFINITE QUANTITY (MAIDIQ) BASE CONTRACT AWARD. THIS AWARD REPRESENTS 1 OF THE 135 ITES-3S CONTRA,W6QK ACC-PICA,Department of the Army,W00F OFC DEP UNDER SEC ARMY
Future Operationally Resilient Ground Evolution,FORGE,Space Force,Raytheon (Mission Data Apps); BAE (C2),N0001918C1021,"$8,688,654,906.89",F135 PROPULSION SYSTEMS LOT ENGINE PRATT WHITNEY,Low,0,N0001918C1021,LOT 12 AAC LONG LEAD FOR PROPULSION SYSTEMS,EAST HARTFORD,CONNECTICUT,06118,UNITED STATES,2018-03-23,2024-12-30,2024-12-30,53,"$239,545,634.04",QN1BCFY7JDJ5,RTX CORPORATION,336412,2840,NONE,"$8,688,654,906.89","$7,936,627,479.45",,,NAVAL AIR SYSTEMS COMMAND,Department of the Navy,NAVAL AIR SYSTEMS COMMAND
GBS (Global Broadcast Service),GBS,DISA,L3Harris (historical),N0003022C2001,"$421,512,821.00",FLIGHT TEST INSTRUMENTATION SUPPORT AND SERVICES NAVY RANGE,Medium,1,N0003022C2001,FLIGHT TEST INSTRUMENTATION SUPPORT AND SERVICES,ANAHEIM,CALIFORNIA,92805,UNITED STATES,2021-10-01,2029-09-08,2029-09-08,172,"$39,158,009,924,318.03",JYAPS9B2MKE9,L3HARRIS INTERSTATE ELECTRONICS CORPORATION,541330,H914,NONE,"$421,512,821.00","$44,475,288.00",,,STRATEGIC SYSTEMS PROGRAMS,Department of the Navy,STRATEGIC SYSTEMS PROGRAMS
GBSD Sentinel Missile Modernization,GBSD,Air Force,Northrop Grumman,FA821920C0006,"$10,801,259,923.19",GROUND-BASED STRATEGIC DETERRENT GBSD SENTINEL ENGINEERING MANUFACTURING DEVELOPMENT EMD ICBM,High,6,FA821920C0006,GROUND-BASED STRATEGIC DETERRENT (GBSD) ENGINEERING AND MANUFACTURING DEVELOPMENT (EMD) AND EARLY PRODUCTION AND DEPLOYMENT (P&D),ROY,UTAH,84067,UNITED STATES,2020-09-08,2029-03-10,2029-03-10,4019,"$27,743,434,931.93",D8QQPFNYJD63,NORTHROP GRUMMAN SYSTEMS CORP,336414,AC24,NONE,"$10,801,259,923.19","$13,360,972,363.51",,,FA8219   AFNWC PZBG,Department of the Air Force,F2DANX AFNWC NX SENTINEL GINV
GENMOD / VMOD (Army Network/Voice Modernization),GENMOD/VMOD,Army,CACI,W15QKN15C0049,"$733,720,754.55",INTEGRATED PERSONNEL AND PAY SYSTEM ARMY IPPS-A HR,Medium,2,W15QKN15C0049,"IGF::CL,CT::IGF SYSTEM INTEGRATOR FOR INCREMENT II OF INTEGRATED PERSONNEL AND PAY SYSTEM -- ARMY (IPPS-A)",CHANTILLY,VIRGINIA,20151,UNITED STATES,2015-05-18,2025-06-02,2025-06-02,16,"$35,755,164.88",EPPXR2P9KYU6,"CACI-ISS, LLC",541511,D307,NONE,"$733,720,754.55","$800,761,144.56",,,W6QK ACC-PICA,Department of the Army,W6DY PEO EIS
GENMOD / VMOD (Network Modernization),GENMOD,Army,CACI,W15QKN15C0049,"$733,720,754.55",INTEGRATED PERSONNEL AND PAY SYSTEM ARMY IPPS-A HR,Medium,2,W15QKN15C0049,"IGF::CL,CT::IGF SYSTEM INTEGRATOR FOR INCREMENT II OF INTEGRATED PERSONNEL AND PAY SYSTEM -- ARMY (IPPS-A)",CHANTILLY,VIRGINIA,20151,UNITED STATES,2015-05-18,2025-06-02,2025-06-02,16,"$35,755,164.88",EPPXR2P9KYU6,"CACI-ISS, LLC",541511,D307,NONE,"$733,720,754.55","$800,761,144.56",,,W6QK ACC-PICA,Department of the Army,W6DY PEO EIS
GENMOD / VMOD 2 – Field Service Technicians,VMOD 2,Army,CACI,W15QKN15C0049,"$733,720,754.55",INTEGRATED PERSONNEL AND PAY SYSTEM ARMY IPPS-A HR,Medium,2,W15QKN15C0049,"IGF::CL,CT::IGF SYSTEM INTEGRATOR FOR INCREMENT II OF INTEGRATED PERSONNEL AND PAY SYSTEM -- ARMY (IPPS-A)",CHANTILLY,VIRGINIA,20151,UNITED STATES,2015-05-18,2025-06-02,2025-06-02,16,"$35,755,164.88",EPPXR2P9KYU6,"CACI-ISS, LLC",541511,D307,NONE,"$733,720,754.55","$800,761,144.56",,,W6QK ACC-PICA,Department of the Army,W6DY PEO EIS
Global Broadcast Service,GBS,DISA,L3Harris,N0003022C2001,"$421,512,821.00",FLIGHT TEST INSTRUMENTATION SUPPORT AND SERVICES NAVY RANGE,Medium,1,N0003022C2001,FLIGHT TEST INSTRUMENTATION SUPPORT AND SERVICES,ANAHEIM,CALIFORNIA,92805,UNITED STATES,2021-10-01,2029-09-08,2029-09-08,172,"$39,158,009,924,318.03",JYAPS9B2MKE9,L3HARRIS INTERSTATE ELECTRONICS CORPORATION,541330,H914,NONE,"$421,512,821.00","$44,475,288.00",,,STRATEGIC SYSTEMS PROGRAMS,Department of the Navy,STRATEGIC SYSTEMS PROGRAMS
Global Command and Control System – Joint,GCCS-J,DISA,Northrop Grumman,FA821920C0006,"$10,801,259,923.19",GROUND-BASED STRATEGIC DETERRENT GBSD SENTINEL ENGINEERING MANUFACTURING DEVELOPMENT EMD ICBM,Low,0,FA821920C0006,GROUND-BASED STRATEGIC DETERRENT (GBSD) ENGINEERING AND MANUFACTURING DEVELOPMENT (EMD) AND EARLY PRODUCTION AND DEPLOYMENT (P&D),ROY,UTAH,84067,UNITED STATES,2020-09-08,2029-03-10,2029-03-10,4019,"$27,743,434,931.93",D8QQPFNYJD63,NORTHROP GRUMMAN SYSTEMS CORP,336414,AC24,NONE,"$10,801,259,923.19","$13,360,972,363.51",,,FA8219   AFNWC PZBG,Department of the Air Force,F2DANX AFNWC NX SENTINEL GINV
Global Command and Control System – Joint (Variant),GCCS-J,DISA,Leidos,HHSN261200800001E,"$4,813,063,024.90",OPER OF GOVT R&D GOCO FACILITIES BIOMEDICAL RESEARCH NIH NCI,Low,0,HHSN261200800001E,TAS::75 0849::TAS  OPER OF GOVT R&D GOCO FACILITIES,FREDERICK,MARYLAND,21702,UNITED STATES,2008-09-26,2024-09-06,2024-09-06,,,HV8BH9BPG8Y9,LEIDOS BIOMEDICAL RESEARCH INC,561210,M181,NONE,"$4,813,063,024.90","$70,988,409,497.44",,,,,
Global Network Operations (DISA GSM-O II),GSM-O II,DISA,Leidos,NNJ09HD46C,"$1,306,805,321.14",FACILITIES DEVELOPMENT AND OPERATIONS CONTRACT FDOC NASA MISSION OPERATIONS HUMAN SPACE FLIGHT,Medium,1,NNJ09HD46C,"THE FACILITIES DEVELOPMENT AND OPERATIONS CONTRACT(FDOC) SPECIFIES TECHNICAL, MANAGERIAL, AND ADMINSTRATIVE WORK NEEDED TO ENSURE THE AVAILABLITITY, INTEGRITY, AND RELIABILITY OF MISSIONOPERATIONS FACILITES SUPPORTING NATIONAL AERONAUTICS AND SPACE ADMINISTRATION (NASA) HUMAN SPACE FLIGHT (HSF) PROGRAMS REQUIRING MISSION OPERATIONS SUPPORT. THE OBJECTIVE OF THIS CONTRACT IS TO CONSOLIDATE EFFORTS ACROSS THE FACILITIES COVERED UNDER FODOC IN ORDER TO MAXIMIZE SYNERGY FOR HARDWARE AND SOFTWARE DEV",HOUSTON,TEXAS,77058,UNITED STATES,2008-11-07,2018-02-28,2018-02-28,,,NTWCWULE48A8,LOCKHEED MARTIN CORPORATION,541712,AR45,NONE,"$1,306,805,321.14","$1,464,453,127.00",,,,,
Global Network Operations II (PTS Subcontract),GSM-O II,DISA,Leidos,NNJ09HD46C,"$1,306,805,321.14",FACILITIES DEVELOPMENT AND OPERATIONS CONTRACT FDOC NASA MISSION OPERATIONS HUMAN SPACE FLIGHT,Medium,1,NNJ09HD46C,"THE FACILITIES DEVELOPMENT AND OPERATIONS CONTRACT(FDOC) SPECIFIES TECHNICAL, MANAGERIAL, AND ADMINSTRATIVE WORK NEEDED TO ENSURE THE AVAILABLITITY, INTEGRITY, AND RELIABILITY OF MISSIONOPERATIONS FACILITES SUPPORTING NATIONAL AERONAUTICS AND SPACE ADMINISTRATION (NASA) HUMAN SPACE FLIGHT (HSF) PROGRAMS REQUIRING MISSION OPERATIONS SUPPORT. THE OBJECTIVE OF THIS CONTRACT IS TO CONSOLIDATE EFFORTS ACROSS THE FACILITIES COVERED UNDER FODOC IN ORDER TO MAXIMIZE SYNERGY FOR HARDWARE AND SOFTWARE DEV",HOUSTON,TEXAS,77058,UNITED STATES,2008-11-07,2018-02-28,2018-02-28,,,NTWCWULE48A8,LOCKHEED MARTIN CORPORATION,541712,AR45,NONE,"$1,306,805,321.14","$1,464,453,127.00",,,,,
Global Service Management – Operations II,GSM-O II,DISA,Leidos,89243318CFE000003,"$960,260,804.00",RESEARCH SUPPORT SERVICES (RSS) DOE ENERGY,Medium,1,89243318CFE000003,RESEARCH SUPPORT SERVICES (RSS),MORGANTOWN,WEST VIRGINIA,26507,UNITED STATES,2018-12-31,2028-12-30,2028-12-30,2244,"$2,744,055,450.08",MYKLJHTX3MM7,"LEIDOS, INC.",541715,R425,NONE,"$960,260,804.00","$1,200,000,000.00",,,NATIONAL ENERGY TECHNOLOGY LABORATORY,Department of Energy,FOSSIL ENERGY AND CARBON MANAGEMENT
Global Service Mgmt – Ops II (variant),GSM-O II,DISA,Leidos,89243318CFE000003,"$960,260,804.00",RESEARCH SUPPORT SERVICES (RSS) DOE ENERGY,Medium,1,89243318CFE000003,RESEARCH SUPPORT SERVICES (RSS),MORGANTOWN,WEST VIRGINIA,26507,UNITED STATES,2018-12-31,2028-12-30,2028-12-30,2244,"$2,744,055,450.08",MYKLJHTX3MM7,"LEIDOS, INC.",541715,R425,NONE,"$960,260,804.00","$1,200,000,000.00",,,NATIONAL ENERGY TECHNOLOGY LABORATORY,Department of Energy,FOSSIL ENERGY AND CARBON MANAGEMENT
Global Solutions Management – Operations II,GSMO II,DISA,Leidos,NNJ09HD46C,"$1,306,805,321.14",FACILITIES DEVELOPMENT AND OPERATIONS CONTRACT FDOC NASA MISSION OPERATIONS HUMAN SPACE FLIGHT,Medium,1,NNJ09HD46C,"THE FACILITIES DEVELOPMENT AND OPERATIONS CONTRACT(FDOC) SPECIFIES TECHNICAL, MANAGERIAL, AND ADMINSTRATIVE WORK NEEDED TO ENSURE THE AVAILABLITITY, INTEGRITY, AND RELIABILITY OF MISSIONOPERATIONS FACILITES SUPPORTING NATIONAL AERONAUTICS AND SPACE ADMINISTRATION (NASA) HUMAN SPACE FLIGHT (HSF) PROGRAMS REQUIRING MISSION OPERATIONS SUPPORT. THE OBJECTIVE OF THIS CONTRACT IS TO CONSOLIDATE EFFORTS ACROSS THE FACILITIES COVERED UNDER FODOC IN ORDER TO MAXIMIZE SYNERGY FOR HARDWARE AND SOFTWARE DEV",HOUSTON,TEXAS,77058,UNITED STATES,2008-11-07,2018-02-28,2018-02-28,,,NTWCWULE48A8,LOCKHEED MARTIN CORPORATION,541712,AR45,NONE,"$1,306,805,321.14","$1,464,453,127.00",,,,,
