Program Name,Acronym,Agency Owner,Program Type,Priority Level,Confidence Level,PTS Involvement,Contract Number,tango_piid,parent_piid,Contract Value,Contract Value (Consolidated),total_contract_value,Base Contract Value (FPDS),Base + Options Value (FPDS),obligated,subawards_total,subawards_count,Prime Contractor,Prime Contractor 1,Prime Contractor (Consolidated),recipient_name,recipient_uei,Key Subcontractors,Known Subcontractors,Period of Performance,Period of Performance (Original),PoP Start,PoP End,period_start,period_end,PoP Start (Consolidated),PoP End (Consolidated),ultimate_completion,Ultimate Completion (Consolidated),Recompete Date,Contract Signed Date (FPDS),Contract Effective Date (FPDS),Current Completion Date (FPDS),Ultimate Completion Date (FPDS),Key Locations,Performance Location (TANGO),Performance Location (FPDS),pop_city,pop_state,pop_zip,pop_country,NAICS Code (Consolidated),naics_code,FPDS NAICS Code,NAICS Description,PSC Code (Consolidated),psc_code,FPDS PSC Code,PSC Description,set_aside,Technical Stack,Tech Stack (Basic),Keywords/Signals,Functional Areas,Typical Roles,Job Titles,Labor Rate Min,Labor Rate Max,Labor Rate Average,Education Requirement,Experience Requirement,Annual Salary Range,CALC API Status,Contract Vehicle Used,Contract Vehicle/Type,awarding_office,awarding_agency,funding_office,COR/COTR,Program Manager,Clearance Requirements,Security Requirements,Match Confidence,Match Score,Incumbent Score,Source Evidence,Notes,Pain Points,Related Jobs,tango_description,parent_description,Budget
NGEN (Legacy Reference),NGEN,Navy,IT Ops,Medium,Medium,,,,,$3B,$3B,,,,,,,,HP; Leidos (legacy primes),HP; Leidos (legacy primes),,,,,,Completed / Recompeted,,,,,,,,,,,,,,Quantico; Norfolk,,,,,,,,,,,,,,,,,,“Predecessor to NGEN-R”,,Service desk; network ops,,,,,,,,,,IDIQ,,,,,,Secret,,,,,Provided,,,,,,
NGEN-R — Enterprise Network Program,NGEN-R,Navy,IT Ops,High,High,,HHSN261200800001E,HHSN261200800001E,,$7.7B,$7.7B,"$70,988,409,497.44 ",,,"$4,813,063,024.90 ",,,,Leidos,Leidos,LEIDOS BIOMEDICAL RESEARCH INC,HV8BH9BPG8Y9,,Apex Systems; Insight Global,,~2019–2028,2019,2028,9/26/2008,9/6/2024,9/26/2008,9/6/2024,9/6/2024,9/6/2024,,,,,,Norfolk; San Diego; global Navy/USMC,"FREDERICK, MARYLAND",,FREDERICK,MARYLAND,21702,UNITED STATES,561210,561210,,,M181,M181,,,NONE,,,“NMCI; Navy/USMC enterprise IT”,,Help desk; field tech; network admin,,,,,,,,Not Queried,,IDIQ,,,,,,Secret,,Low,0,,Provided,,,,TAS::75 0849::TAS  OPER OF GOVT R&D GOCO FACILITIES,,
"NGEN-R SMIT – Navy Next Generation Enterprise Network (Service Management, Integration & Transport)",NGEN-R SMIT,Navy,IT Ops,High,High,,89243318CFE000003,89243318CFE000003,,$7.7B,$7.7B,"$1,200,000,000.00 ",,,"$960,260,804.00 ","$2,744,055,450.08 ",2244,,Leidos,Leidos,"LEIDOS, INC.",MYKLJHTX3MM7,,Perspecta/Peraton; IBM; Verizon; Apex Systems; Insight Global,,~2020–2028 (8–8.5 years),2020,2028,12/31/2018,12/30/2028,12/31/2018,12/30/2028,12/30/2028,12/30/2028,,,,,,Norfolk VA; San Diego CA; Hawaii; global Navy/USMC bases (CONUS/OCONUS),"MORGANTOWN, WEST VIRGINIA",,MORGANTOWN,WEST VIRGINIA,26507,UNITED STATES,541715,541715,,,R425,R425,,,NONE,,,"“NMCI follow-on”; “enterprise network services for 400k+ users”; “heavy use of subcontracted staff (Apex, Insight Global) for help desks and field tech support”; “base-level IT roles at Cherry Point, Camp Lejeune, etc.”",,Tier 1–2 help desk; desktop support; field technicians; network/sys admins; NetOps; cyber support,,,,,,,,Not Queried,,IDIQ,NATIONAL ENERGY TECHNOLOGY LABORATORY,Department of Energy,FOSSIL ENERGY AND CARBON MANAGEMENT,,,"Public Trust, Secret, Top Secret",,Medium,1,,Consolidated from all NGEN-R SMIT rows in this batch,,,,RESEARCH SUPPORT SERVICES (RSS),,
NGEN-R SMIT (Already normalized — link-only reference row),NGEN-R SMIT,Navy,IT Ops,High,High,,HHSN261200800001E,HHSN261200800001E,,$7.7B,$7.7B,"$70,988,409,497.44 ",,,"$4,813,063,024.90 ",,,,Leidos,Leidos,LEIDOS BIOMEDICAL RESEARCH INC,HV8BH9BPG8Y9,,"Apex, Insight Global, Peraton, IBM, Verizon",,2020–2028,2020,2028,9/26/2008,9/6/2024,9/26/2008,9/6/2024,9/6/2024,9/6/2024,,,,,,Navy/USMC worldwide,"FREDERICK, MARYLAND",,FREDERICK,MARYLAND,21702,UNITED STATES,561210,561210,,,M181,M181,,,NONE,,,(Already normalized master row),,Enterprise IT; help desk; NetOps; cyber,,,,,,,,Not Queried,,IDIQ,,,,,,Secret,,Low,0,,Reference pointer,,,,TAS::75 0849::TAS  OPER OF GOVT R&D GOCO FACILITIES,,
NGI – Next Generation Interceptor,NGI,MDA,R&D,High,High,,,,,$13B,$13B,,,,,,,,Northrop Grumman / Boeing (team),Northrop Grumman / Boeing (team),,,,Raytheon; Aerojet Rocketdyne,,~2021–2035 (est.),2021,2035,,,2021,2035,,,,,,,,Huntsville AL; Promontory UT; test ranges,,,,,,,,,,,,,,,,,,“Interceptor Development”; “Missile Defense”; “NGI MBSE and propulsion/flight engineers”; GBSD overlap,,MBSE leads; propulsion/flight engineers; guidance & control engineers; missile systems engineers,,,,,,,,,,R&D,,,,,,"Secret, TS/SCI",,,,,NGI past-performance and notebook references,,,,,,
NGOPIR / NGG / NGOPIR (already normalized — link row),,Space Force,C5ISR,High,High,,FA821920C0006,FA821920C0006,,Multi-$B,Multi-$B,"$13,360,972,363.51 ",,,"$10,801,259,923.19 ","$27,743,434,931.93 ",4019,,Northrop Grumman,Northrop Grumman,NORTHROP GRUMMAN SYSTEMS CORP,D8QQPFNYJD63,,multiple,,multi-year,,,9/8/2020,3/10/2029,9/8/2020,3/10/2029,3/10/2029,3/10/2029,,,,,,SSC; Colorado Springs,"ROY, UTAH",,ROY,UTAH,84067,UNITED STATES,336414,336414,,,AC24,AC24,,,NONE,,,(See Batch 1),,Space payloads; C2; missile-warning exploitation,,,,,,,,Not Queried,,Production,FA8219   AFNWC PZBG,Department of the Air Force,F2DANX AFNWC NX SENTINEL GINV,,,TS/SCI,,Low,0,,reference pointer,,,,GROUND-BASED STRATEGIC DETERRENT (GBSD) ENGINEERING AND MANUFACTURING DEVELOPMENT (EMD) AND EARLY PRODUCTION AND DEPLOYMENT (P&D),,
NIH IAPD (indicative),IAPD,DoD,Data,Medium,Medium,,,,,,,,,,,,,,,,,,,,,Multi-year,,,,,,,,,,,,,,NIH (Bethesda + remote),,,,,,,,,,,,,,,,,,“NIH program”; “IAPD”,,Data/IT engineers; analysts; application support,,,,,,,,,,PROGRAM,,,,,,Public Trust,,,,,Row text,,,,,,
NISC (indicative),NISC,DoD,IT Ops,Medium,Medium,,,,,,,,,,,,,,,,,,,,,Upcoming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,“NISC”,,IT ops; general IT support,,,,,,,,,,RECOMPETE,,,,,,Public Trust,,,,,Row text,,,,,,
NIWC Pacific (placeholder),NIWC PAC,Navy,C5ISR,Low,Low,,,,,,,,,,,,,,,,,,,,,Ongoing,,Ongoing,,,,Ongoing,,,,,,,,San Diego CA (NIWC Pac),,,,,,,,,,,,,,,,,,“NIWC PAC”,,C5ISR / IT engineers; RF / network roles,,,,,,,,,,PROGRAM,,,,,,Secret,,,,,Row (no extra detail),,,,,,
NORAD/NORTHCOM IT Infrastructure Support (NISSC II),NISSC II,Air Force,C5ISR,High,High,,NNK13MA14C,NNK13MA14C,,$455M,$455M,"$2,107,162,687.90 ",,,"$2,099,373,524.58 ","$12,336,512,181.96 ",1368,,Jacobs,Jacobs,"AMENTUM TECHNOLOGY, INC.",H2RGSKWXKHQ5,,NOVA-Diné (tribal SB); limited other subs (TS/SCI constrained),,~2020–2026/27,2020,2026,3/1/2013,4/30/2023,3/1/2013,4/30/2023,4/30/2023,4/30/2023,,,,,,Peterson SFB CO; Cheyenne Mountain CO; Offutt AFB NE; Vandenberg CA,"ORLANDO, FLORIDA",,ORLANDO,FLORIDA,32899,UNITED STATES,541712,541712,,,AR36,AR36,,,NONE,,,“High-security ops centers (Cheyenne Mountain)… 24/7 operations”; “limited big staffing-firm presence but some help-desk/sysadmin subcontracting”,,24×7 help desk; systems admins; ISSOs; network/security ops; missile-warning IT support,,,,,,,,Not Queried,,Single Award,,,,,,TS/SCI w/ Poly,,Medium,1,,Consolidated from all NISSC II rows in this batch,,,,"IGF::OT::IGF THE TEST AND OPERATIONS SUPPORT CONTRACT (TOSC) IS A COST-PLUS-AWARD-FEE CONTRACT WITH AN INDEFINITE DELIVERY INDEFINITE QUANTITY TASK ORDERING PROVISION. TOSC PROVIDES A PROCESSING CONTRACT FOR THE KENNEDY SPACE CENTER (KSC) SUPPORTING MULTIPLE CUSTOMERS. THE SCOPE OF THIS CONTRACT INCLUDES PROGRAM MANAGEMENT AND CONTROL; SAFETY AND MISSION ASSURANCE; INFORMATION MANAGEMENT; PROCESSING SUPPORT SYSTEMS AND INTEGRATION; FLIGHT HARDWARE PROCESSING; GROUND SYSTEMS OPERATIONS, MAINTENAN",,
NRO Ground Systems DevOps (Seal Beach),,NRO,Intel,Medium,Medium,,FA821920C0006,FA821920C0006,,,"$13,360,972,363.51 ","$13,360,972,363.51 ",,,"$10,801,259,923.19 ","$27,743,434,931.93 ",4019,,Boeing,Boeing,NORTHROP GRUMMAN SYSTEMS CORP,D8QQPFNYJD63,,,,Multi-year,,,9/8/2020,3/10/2029,9/8/2020,3/10/2029,3/10/2029,3/10/2029,,,,,,Seal Beach CA,"ROY, UTAH",,ROY,UTAH,84067,UNITED STATES,336414,336414,,,AC24,AC24,,,NONE,,,“NRO Ground Systems DevOps… TS/SCI w/ poly… Seal Beach”,,DevOps engineers; CI/CD & infra automation for NRO ground systems,,,,,,,,Not Queried,,Services,FA8219   AFNWC PZBG,Department of the Air Force,F2DANX AFNWC NX SENTINEL GINV,,,TS/SCI w/ Poly,,Medium,2,,Row text,,,,GROUND-BASED STRATEGIC DETERRENT (GBSD) ENGINEERING AND MANUFACTURING DEVELOPMENT (EMD) AND EARLY PRODUCTION AND DEPLOYMENT (P&D),,
NSST (Navy),NSST,Navy,C5ISR,Medium,Medium,,,,,,,,,,,,,,,,,,,,,Multi-year,,,,,,,,,,,,,,Navy training commands,,,,,,,,,,,,,,,,,,“NSST”,,Trainers; simulator/IT technicians,,,,,,,,,,PROGRAM,,,,,,Secret,,,,,Row text,,,,,,
NTT Applications & BPS Support,,DoD,IT Ops,Medium,Medium,,HHSN316201500016W,,,,,,,,,,,,NTT DATA,NTT DATA,,,,,,Multi-year,,,,,,,,,,,,,,Texas; remote CONUS,,,,,,,,,,,,,,,,,,“NTT Data”; “Applications”; “BPS Tech Stack”,,Application engineers; business analysts; apps/BPS support,,,,,,,,Not Queried,,Services,,,,,,"Public Trust, Secret",,Low,0,,NTT Tech Stack document,,,,,,
NTT DATA Enterprise Architecture (BPS / Apps),,DoD,Consulting,Medium,Medium,,HHSN316201500016W,,,,,,,,,,,,NTT DATA,NTT DATA,,,,,,Active postings (2025),2025,,,,2025,,,,,,,,,U.S. – Heredia CR; Atlanta GA; remote,,,,,,,,,,,,,,,,,,“Enterprise Architect”; “BPS”; “NTT DATA Digital”,,"Enterprise architects; solution architects (BPS, applications)",,,,,,,,Not Queried,,Services,,,,,,"Public Trust, Secret",,Low,0,,NTT BPS/Apps Tech-Stack docs,,,,,,
OASIS+ Multi-Agency Services,OASIS+,DoD,Professional Services,Medium,Medium,,,,,Multi-$B,Multi-$B,,,,,,,,Multi-award primes,Multi-award primes,,,,Engineering + professional services SB teams,,Multi-year,,,,,,,,,,,,,,Nationwide,,,,,,,,,,,,,,,,,,“OASIS+… multi-agency professional services”,,Eng services; PM; acquisition; R&D; analysis,,,,,,,,Not Queried,,GWAC,,,,,,"Public Trust, Secret, Top Secret",,,,,GSA references,,,,,,
OASIS+ Services (Already normalized),OASIS+,DoD,Professional Services,Medium,Medium,,,,,Multi-$B,Multi-$B,,,,,,,,multiples,multiples,,,,multiples,,multi-year,,,,,,,,,,,,,,Nationwide,,,,,,,,,,,,,,,,,,OASIS+,,Eng/Prof services,,,,,,,,Not Queried,,GWAC,,,,,,Public Trust,,,,,Pointer,,,,,,
OFAC Payment / Trade Ops Data System,OFAC PTODS,Treasury,Data,Medium,Medium,,,,,,,,,,,,,,,,,,,,,Multi-year,,,,,,,,,,,,,,Washington DC,,,,,,,,,,,,,,,,,,“OFAC system”,,Data engineers; financial systems IT,,,,,,,,,,FEDERAL SYSTEM,,,,,,Public Trust,,,,,Row text,,,,,,
OFAC Payment/Trade Ops Data System (Already normalized),OFAC PTODS,Treasury,Data,Medium,Medium,,,,,,,,,,,,,,,,,,,,,Multi-year,,,,,,,,,,,,,,DC,,,,,,,,,,,,,,,,,,OFAC,,Data engineering,,,,,,,,,,SYSTEM,,,,,,Public Trust,,,,,Pointer,,,,,,
One-T (Recompete),One-T,DoD,Professional Services,Medium,Medium,,,,,,,,,,,,,,,,,,,,,Upcoming,,,,,,,,,,,,,,Secret,,,,,,,,,,,,,,,,,,IT Ops,,“One-T Recompete list”,,,,,,,,,,RECOMPETE,,,,,,Secret,,,,,Medium,,,,,,
OUSD(A&S) Professional Support Services,OUSD(A&S) PSS,DoD,Professional Services,Medium,Medium,,N0001917C0001,N0001917C0001,,$116.7M,$116.7M,"$45,265,737,305.46 ",,,"$35,135,514,910.20 ","$19,006,059,279.59 ",12781,,LMI,LMI,LOCKHEED MARTIN CORPORATION,G4KDGE4JFFK7,,SB surge partners,,2019–2024,2019,2024,11/17/2017,3/31/2031,11/17/2017,3/31/2031,3/31/2031,3/31/2031,,,,,,Pentagon; Mark Center; Crystal City,"FORT WORTH, TEXAS",,FORT WORTH,TEXAS,76108,UNITED STATES,336411,336411,,,1510,1510,,,NONE,,,“LMI… $116.7M… admin & analytic support”,,Admin assistants; analysts; PM support,,,,,,,,Not Queried,,Single Award,NAVAL AIR SYSTEMS COMMAND,Department of the Navy,NAVAL AIR SYSTEMS COMMAND,,,"Public Trust, Secret",,Low,0,,OUSD(A&S) description,,,,LRIP LOT 12 ADVANCE ACQUISITION CONTRACT,,
OUSD(P&R) PRISM (Consolidated),PRISM,DoD,Professional Services,High,High,,47QFCA21F0018,47QFCA21F0018,47QTCK18D0004,$1.8B,$1.8B,"$1,602,230,952.00 ",,,"$1,379,533,153.12 ","$993,273,679.54 ",1460,,"11 primes (CTC, SAIC, Booz Allen, ManTech…)","11 primes (CTC, SAIC, Booz Allen, ManTech…)",BOOZ ALLEN HAMILTON INC,JCBMLGPE6Z71,,Many teaming partners,,2024–2029,2024,2029,3/9/2021,2/15/2025,3/9/2021,2/15/2025,5/15/2025,5/15/2025,,,,,,Pentagon / NCR / CONUS,"WASHINGTON, DISTRICT OF COLUMBIA",,WASHINGTON,DISTRICT OF COLUMBIA,20301,UNITED STATES,541512,541512,,,DA01,DA01,,,,,,“PRISM IDIQ”; “surge staffing”,,Analysts; trainers; HR support; admin,,,,,,,,Not Queried,,IDIQ,GSA FAS AAS FEDSIM,Federal Acquisition Service,WASHINGTON HEADQUARTERS SERVICES,,,"Public Trust, Secret",,Medium,1,,Consolidated from all PRISM rows,,,,"TASK ORDER (TO) 47QFCA21F0018 IS HEREBY AWARDED TO BOOZ ALLEN HAMILTON, INC. (BAH) TO PROVIDE ENTERPRISE LEVEL DATA TO THE OUSD(C), AND ITS STRATEGIC PARTNERS (I.E., DOD FOURTH ESTATE, DOD DEPARTMENTS, AND IC COMMUNITY).","IGF::OT::IGF  
GOVERNMENT-WIDE ACQUISITION CONTRACTS PROVIDE WORLDWIDE ACCESS TO IT SOLUTIONS SUCH AS SYSTEMS DESIGN, SOFTWARE ENGINEERING, INFORMATION ASSURANCE, AND ENTERPRISE ARCHITECTURE SOLUTIONS",
PAC-3 (Consolidated),PAC-3,Army,Weapon Systems,High,High,,W31P4Q20C0023,W31P4Q20C0023,,Multi-$B,Multi-$B,"$6,758,173,159.84 ",,,"$10,449,280,456.95 ","$5,133,266,343.94 ",4183,,Lockheed Martin,Lockheed Martin,LOCKHEED MARTIN CORPORATION,XFJMYSYFJEK4,,Raytheon; Boeing; Aerojet Rocketdyne,,Ongoing,,Ongoing,4/30/2020,9/30/2033,4/30/2020,9/30/2033,9/30/2033,9/30/2033,,,,,,Camden AR; Huntsville AL; Grand Prairie TX; WSMR,"GRAND PRAIRIE, TEXAS",,GRAND PRAIRIE,TEXAS,75051,UNITED STATES,336414,336414,,,1410,1410,,,NONE,,,“PAC-3”; “Patriot”; “interceptor”,,Missile engineering; assembly; test; RF engineering,,,,,,,,,,IDIQ,W6QK ACC-RSA,Department of the Army,W6DV PEO M & S REDSTONE,,,Secret,,High,7,,Consolidated from all PAC-3 rows,,,,THE CONTRACT AWARD IS FOR THE FY21/FY22/FY23 BASE AND OPTION PRICING FOR PHASE ARRAY TRACKING RADAR TO INTERCEPT ON TARGET (PATRIOT) ADVANCED CAPABILITY-3 (PAC-3) PRODUCTION REQUIREMENTS FOR THE UNITED STATES (US) AND FOREIGN MILITARY SALES (FMS),,
PAC-3 Missile Family (Consolidated),PAC-3 / PAC-3 MSE,Army,C5ISR,High,High,,W31P4Q20C0023,W31P4Q20C0023,,$10B,$10B,"$6,758,173,159.84 ",,,"$10,449,280,456.95 ","$5,133,266,343.94 ",4183,,Lockheed Martin Missiles & Fire Control,Lockheed Martin Missiles & Fire Control,LOCKHEED MARTIN CORPORATION,XFJMYSYFJEK4,,Raytheon; Boeing; L3Harris; Aerojet Rocketdyne,,2018–2030+,2018,2030,4/30/2020,9/30/2033,4/30/2020,9/30/2033,9/30/2033,9/30/2033,,,,,,Grand Prairie TX; Camden AR; Huntsville AL; WSMR; Orlando FL,"GRAND PRAIRIE, TEXAS",,GRAND PRAIRIE,TEXAS,75051,UNITED STATES,336414,336414,,,1410,1410,,,NONE,,,"“Patriot / Interceptor / Record Production Year”; “1,970+ MSE deliveries”; “FMS WISŁA IBCS links”",,Missile engineers; QA inspectors; assembly techs; RF/test eng; production planners; field service,,,,,,,,,,IDIQ,W6QK ACC-RSA,Department of the Army,W6DV PEO M & S REDSTONE,,,"Secret, TS/SCI",,High,5,,Lockheed PAC-3 MSE Intelligence Reports,,,,THE CONTRACT AWARD IS FOR THE FY21/FY22/FY23 BASE AND OPTION PRICING FOR PHASE ARRAY TRACKING RADAR TO INTERCEPT ON TARGET (PATRIOT) ADVANCED CAPABILITY-3 (PAC-3) PRODUCTION REQUIREMENTS FOR THE UNITED STATES (US) AND FOREIGN MILITARY SALES (FMS),,
PAC-3 Missile Segment Enhancement (Deep Detail Variant),PAC-3 MSE,Army,Weapon Systems,High,High,,W31P4Q20C0023,W31P4Q20C0023,,$9.8B,$9.8B,"$6,758,173,159.84 ",,,"$10,449,280,456.95 ","$5,133,266,343.94 ",4183,,Lockheed Martin,Lockheed Martin,LOCKHEED MARTIN CORPORATION,XFJMYSYFJEK4,,Boeing RF Seeker; L3H/Aerojet dual-pulse motor,,FY24–FY30,,,4/30/2020,9/30/2033,4/30/2020,9/30/2033,9/30/2033,9/30/2033,,,,,,Camden AR; Grand Prairie TX; Huntsville AL,"GRAND PRAIRIE, TEXAS",,GRAND PRAIRIE,TEXAS,75051,UNITED STATES,336414,336414,,,1410,1410,,,NONE,,,"“PAC-3 MSE record production, >500 missiles/yr”",,Manufacturing; missile eng; test; RF engineers; quality,,,,,,,,,,IDIQ,W6QK ACC-RSA,Department of the Army,W6DV PEO M & S REDSTONE,,,"Secret, TS/SCI",,High,4,,HUMINT & BD Files,,,,THE CONTRACT AWARD IS FOR THE FY21/FY22/FY23 BASE AND OPTION PRICING FOR PHASE ARRAY TRACKING RADAR TO INTERCEPT ON TARGET (PATRIOT) ADVANCED CAPABILITY-3 (PAC-3) PRODUCTION REQUIREMENTS FOR THE UNITED STATES (US) AND FOREIGN MILITARY SALES (FMS),,
PAC-3 MSE (Deep Detail Variant; Consolidated),PAC-3 MSE,Army,Weapon Systems,High,High,,W31P4Q20C0023,W31P4Q20C0023,,$9.8B,$9.8B,"$6,758,173,159.84 ",,,"$10,449,280,456.95 ","$5,133,266,343.94 ",4183,,Lockheed Martin,Lockheed Martin,LOCKHEED MARTIN CORPORATION,XFJMYSYFJEK4,,Boeing; L3Harris; Aerojet Rocketdyne,,2024–2031+,2024,2031,4/30/2020,9/30/2033,4/30/2020,9/30/2033,9/30/2033,9/30/2033,,,,,,Grand Prairie TX; Camden AR; Huntsville AL,"GRAND PRAIRIE, TEXAS",,GRAND PRAIRIE,TEXAS,75051,UNITED STATES,336414,336414,,,1410,1410,,,NONE,,,"“PAC-3 MSE… 1,970 missiles… record year”",,QA inspectors; assembly; missile test; systems engineers; production planners; RF testers,,,,,,,,,,IDIQ,W6QK ACC-RSA,Department of the Army,W6DV PEO M & S REDSTONE,,,"Secret, TS/SCI",,Medium,2,,HUMINT and BD data,,,,THE CONTRACT AWARD IS FOR THE FY21/FY22/FY23 BASE AND OPTION PRICING FOR PHASE ARRAY TRACKING RADAR TO INTERCEPT ON TARGET (PATRIOT) ADVANCED CAPABILITY-3 (PAC-3) PRODUCTION REQUIREMENTS FOR THE UNITED STATES (US) AND FOREIGN MILITARY SALES (FMS),,
Peraton ARCYBER Information Advantage Enterprise,IAE,Army,Cyber,High,High,,47QFCA19F0033,47QFCA19F0033,GS00Q14OADU128,$889M,$889M,"$1,594,002,704.48 ",,,"$487,767,432.14 ","$712,544,395.30 ",100,,Peraton,Peraton,PERATON TECHNOLOGY SERVICES INC.,CJ38H41QMGA1,,,,2024–2029,2024,2029,2/11/2019,2/11/2024,2/11/2019,2/11/2024,2/11/2024,2/11/2024,,,,,,Fort Eisenhower GA; Fort Meade MD,"FORT GEORGE G MEADE, MARYLAND",,FORT GEORGE G MEADE,MARYLAND,20755,UNITED STATES,541330,541330,,,R499,R499,,,,,,“Peraton Awarded $889M… ARCYBER… Cyber Mission Partners”,,Cyber ops planners; IO/EW; mission support,,,,,,,,,,Services,GSA FAS AAS FEDSIM,Federal Acquisition Service,W6UX US ARMY CYBER COMMAND,,,TS/SCI w/ Poly,,High,6,,Program listing,,,,IGF::OT::IGF TASK ORDER AWARD FOR ARCYBER CYBERSPACE OPS REQUIREMENT,"ONE ACQUISITION SOLUTION FOR INTEGRATED SERVICES (OASIS) PROFESSIONAL SERVICES MULTIPLE AGENCY CONTRACT, IGF::OT::IGF",
Peraton NARSIL – Advanced System Intelligence,NARSIL,IC,Cyber,High,High,,80GSFC19C0063,80GSFC19C0063,,$1B,$1B,"$1,800,000,000.00 ",,,"$1,414,704,681.90 ","$637,927,785.30 ",1514,,Peraton,Peraton,PERATON INC.,ZBPQEJVECCT4,,,,2023–2028,2023,2028,10/1/2019,3/31/2026,10/1/2019,3/31/2026,3/31/2026,3/31/2026,,,,,,Reston VA; Fort Meade MD,"HERNDON, VIRGINIA",,HERNDON,VIRGINIA,20170,UNITED STATES,517919,517919,,,D318,D318,,,NONE,,,“High-value IC IDIQ; automation; IC cyber/data fusion”,,Systems Eng; DevOps; Cyber Ops; ML/AI; Signals Processing,,,,,,,,,,IDIQ,NASA GODDARD SPACE FLIGHT CENTER,National Aeronautics and Space Administration,NASA GODDARD SPACE FLIGHT CENTER,,,TS/SCI w/ Poly,,Medium,1,,NARSIL references,,,,THE EXPLORATION AND SPACE COMMUNICATIONS PROJECTS DIVISION (ESC) IS A NATIONAL RESOURCE LOCATED AT GODDARD SPACE FLIGHT CENTER (GSFC) WHICH ENABLES SCIENTIFIC DISCOVERY AND SPACE EXPLORATION BY PROVIDING INNOVATIVE AND MISSION-EFFECTIVE SPACE COMMUNICATIONS AND NAVIGATION SOLUTIONS TO A LARGE COMMUNITY OF DIVERSE CUSTOMERS.  ESC MANAGES OPERATIONAL GEOSTATIONARY COMMUNICATIONS RELAY SATELLITES AND GROUND SYSTEMS FOR THE SPACE COMMUNICATIONS AND NAVIGATION (SCAN) PROGRAM AT NASA HEADQUARTERS.  TO,,
POD ARCYBER (Army Cyber Ops),POD ARCYBER,Army,Cyber,Medium,Medium,,,,,,,,,,,,,,,,,,,,,Multi-year,,,,,,,,,,,,,,Fort Gordon GA,,,,,,,,,,,,,,,,,,“ARCYBER”,,Cyber ops; IO,,,,,,,,,,PROGRAM,,,,,,TS/SCI,,,,,Row text,,,,,,
Poland WISŁA – Patriot + IBCS Foreign Military Sales,WISŁA,Army,C5ISR,High,High,,W31P4Q15C0022,W31P4Q15C0022,,$4.8B,$4.8B,"$2,442,287,695.74 ",,,"$5,608,431,752.51 ","$14,053,592,412.80 ",29981,,Raytheon & Northrop Grumman,Raytheon & Northrop Grumman,RAYTHEON COMPANY,XSV6AZJ6SDJ7,,Polish PGZ; U.S. integrators,,2018–2026+,2018,2026,12/19/2014,5/31/2025,12/19/2014,5/31/2025,5/31/2025,5/31/2025,,,,,,Poland; Huntsville AL labs,"ANDOVER, MASSACHUSETTS",,ANDOVER,MASSACHUSETTS,1810,UNITED STATES,336414,336414,,,1425,1425,,,NONE,,,“WISŁA… IBCS portion ~$900M… Patriot batteries”,,Fielding; integration; training; IBCS engineering,,,,,,,,,,FMS,W6QK ACC-RSA,Department of the Army,W6DV PEO M & S REDSTONE,,,Secret,,Medium,2,,BD documents,,,,TEN FIRE UNITS FOR QATAR,,
PRISM Support Services (Consolidated),PRISM,DoD,IT Ops,High,High,,47QFCA21F0018,47QFCA21F0018,47QTCK18D0004,$1.8B,$1.8B,"$1,602,230,952.00 ",,,"$1,379,533,153.12 ","$993,273,679.54 ",1460,,"11 MA-IDIQ primes (incl. CTC, SAIC, Booz Allen, ManTech)","11 MA-IDIQ primes (incl. CTC, SAIC, Booz Allen, ManTech)",BOOZ ALLEN HAMILTON INC,JCBMLGPE6Z71,,Numerous teaming partners,,2024–2029,2024,2029,3/9/2021,2/15/2025,3/9/2021,2/15/2025,5/15/2025,5/15/2025,,,,,,Pentagon; NCR; CONUS,"WASHINGTON, DISTRICT OF COLUMBIA",,WASHINGTON,DISTRICT OF COLUMBIA,20301,UNITED STATES,541512,541512,,,DA01,DA01,,,,,,“PRISM IDIQ… admin & analyst roles… surge staffing via teams”,,Admin; Program Analysts; Training; HR; data analysts,,,,,,,,,,IDIQ,GSA FAS AAS FEDSIM,Federal Acquisition Service,WASHINGTON HEADQUARTERS SERVICES,,,"Public Trust, Secret",,Low,0,,Program references,,,,"TASK ORDER (TO) 47QFCA21F0018 IS HEREBY AWARDED TO BOOZ ALLEN HAMILTON, INC. (BAH) TO PROVIDE ENTERPRISE LEVEL DATA TO THE OUSD(C), AND ITS STRATEGIC PARTNERS (I.E., DOD FOURTH ESTATE, DOD DEPARTMENTS, AND IC COMMUNITY).","IGF::OT::IGF  
GOVERNMENT-WIDE ACQUISITION CONTRACTS PROVIDE WORLDWIDE ACCESS TO IT SOLUTIONS SUCH AS SYSTEMS DESIGN, SOFTWARE ENGINEERING, INFORMATION ASSURANCE, AND ENTERPRISE ARCHITECTURE SOLUTIONS",
