Program Name,Acronym,Agency Owner,Budget,COR/COTR,Clearance (Original),Clearance Requirements,Confidence Level,Contract Value,Contract Vehicle,Contract Vehicle Used,Contract Vehicle/Type,Incumbent Score,Key Locations,Key Subcontractors,Keywords/Signals,Known Subcontractors,Notes,PTS Involvement,Pain Points,Period of Performance,Period of Performance (Original),PoP End,PoP Start,Prime Contractor,Prime Contractor 1,Priority Level,Program Manager,Program Type,Program Type 1,Recompete Date,Related Jobs,Security Requirements,Source Evidence,Technical Stack,Typical Roles
GSA Multiple Award Schedule – IT SIN 54151,GSA MAS IT,DoD,,,Public Trust→Secret,"Public Trust, Secret",Medium,,,,GWAC,,Nationwide,,“GSA MAS for IT/services”,Numerous IT resellers & SB subs,,,,,Ongoing,Ongoing,,,Many schedule holders,Medium,,Professional Services,Professional Services,,,,Provided,,IT contractors; dev; cyber; staff aug
GSA OASIS,OASIS,DoD,,,Unclas→Secret,Secret,Medium,,,,GWAC,,Government-wide,,“multi-billion usage… succeeded by OASIS+”,Many consulting & staffing firms,,,,,2014–2024+,2024,2014,,100+ primes (Pools 1–6),Medium,,Professional Services,Professional Services,,,,Provided,,A&AS; management; engineering
GSA OASIS / OASIS+,OASIS,DoD,,,Varies,Secret,Medium,,,,GWAC,,Gov-wide,,“OASIS… succeeded by OASIS+”,Numerous,,,,,2014–2024+,2024,2014,,Multiple pools,Medium,,Professional Services,Professional Services,,,,Provided,,A&AS; program support; engineering
Hemisphere,Hemisphere,DoD,,,Secret,Secret,Medium,,,,RECOMPETE,,,,“HEMISPHERE”,,,,,,Upcoming,,,,,Medium,,IT Ops,IT Ops,,,,Row text,,IT ops; system support
HHS Advanced Secure Data Repository,ASDR,DoD,,,Public Trust,Public Trust,Medium,,,,DATA PLATFORM,,NIH / HHS,,“HHS analytics”,,,,,,Ongoing,Ongoing,,,GDIT / SAIC (indicative),Medium,,Data,Data,,,,Provided text,,Data engineering; cyber analysts; platform engineers
Hope 2.0 (prototype),Hope 2.0,Space Force,,,PMs; Systems Engineers; prototype engineers,Secret,Medium,,,,R&D,,TS,,Space / R&D,Odyssey Systems,,,,,Colorado Springs CO,,,,SAIC,Medium,,Professional Services,Professional Services,,,,Medium,,"“SAIC, Hope 2.0… early-stage targeting”"
HOPE 2.0 (TENCAP Prototype Engineering),HOPE 2.0,Air Force,,,TS/SCI,TS/SCI,High,$928M,,,Task Order,,Colorado Springs CO,,“AF TENCAP”; “prototype engineering”; “rapid prototyping”,Raft,,,,,5 years (from Jul 2025),,2025,,SAIC,High,,C5ISR,C5ISR,,,,OrangeSlices contract note,,Project leads; cloud engineers; SW engineer SMEs; network SMEs; test leads
Hypersonic & Ballistic Tracking Space Sensor,HBTSS,MDA,,,TS/SCI,TS/SCI,High,$155M,,,R&D,,Orbit prototypes; SDA ground centers,,“Hypersonic tracking satellites… precursor to SDA’s Tracking Layer”,,,,,,2021–2023+,2023,2021,,Northrop & L3Harris (co-primes),High,,R&D,R&D,,,,Provided program note,,Space payload engineers; infrared flight SW; tracking algorithm developers
IMDSC2,IMDSC2,DoD,,,Secret,Secret,Medium,,,,RECOMPETE,,,,“IMDSC2”,,,,,,Upcoming,,,,,Medium,,C5ISR,C5ISR,,,,Row text,,IT; C2 engineers
INDOPACOM C5ISR Support,INDOPACOM C5ISR,DoD,,,Secret–TS/SCI,"Secret, TS/SCI",High,$441M,,,,,Camp HM Smith HI; Pacific sites,,“C5ISR support across PACOM; highly technical”,,,,,,2023–2028,2028,2023,,Amentum,High,,C5ISR,C5ISR,,,,“Amentum $441M… INDOPACOM”,,IT & cyber analysts; comms engineers; systems integrators
Information Technology Sustainment for Enhanced Ops,ISEO,DIA,,,TS/SCI (some Poly),TS/SCI w/ Poly,Medium,$400M,,,,,Washington DC; Reston VA,,"“DIA, ISEO, surge staffing”",unknown (needs-scrape),,,,,needs-scrape,,,,Leidos,Medium,,IT Ops,IT Ops,,,,BD prompt example,,IT sustainment; help desk; desktops; network ops
INSCOM GILE Support,GILE,Army,,,TS/SCI,TS/SCI,High,$855M,,,IDIQ,,Fort Belvoir VA; NCR,,“INSCOM GILE Support – $855M – CACI”,,,,,,2025–2032 est.,2032,2025,,CACI,High,,Intel,Intel,,,,Provided text,,Intel analysts; systems integrators; cyber SMEs; linguist-enabled intel
INSCOM IT Support IV (follow-on),I2TS-4,Army,,,TS/SCI,TS/SCI,Medium,,,,RECOMPETE,,Global,,“INSCOM follow-on”,,,,,,Upcoming,,,,,Medium,,IT Ops,IT Ops,,,,Row placeholder,,Intel IT staff; deployable support
INSCOM IT Support Services (current TO iteration),IT2S4 / I2TS,Army,,,TS/SCI,TS/SCI,High,,,,Services,,Fort Liberty; Fort Meade; Fort Sam Houston; JBLM,,“INSCOM helpdesks… TS/SCI; multiple bases”,,,,,,Multi-year,,,,GDIT,High,,Intel,Intel,,,,Provided row,,Helpdesk; sysadmin; storage admin; DevOps; network tech
INSCOM IT Support Services III,I2TS-III,Army,,,TS/SCI,TS/SCI,Medium,$300M,,,Services,,Fort Belvoir; worldwide,,“INSCOM I2TS-III”,ActioNet; Bowhead; other SBs,,,,,2018–2023,2023,2018,,GDIT,Medium,,Intel,Intel,,,,Provided,,Enterprise IT; IA; apps; deployable comms
INSITE (indicative),INSITE,DoD,,,IT ops engineers,Secret,Medium,,,,PROGRAM,,Secret,,IT Ops,,,,,,Ongoing,Ongoing,,,Northrop Grumman (ref),Medium,,Professional Services,Professional Services,,,,Medium,,“INSITE”
Integrated Air & Missile Defense,IAMD,Army,,,Secret,Secret,Medium,$1B,,,IDIQ,,Huntsville AL,,"“Patriot, IAMD, missile defense”",Northrop; Boeing,,,,,Ongoing,Ongoing,,,Raytheon,Medium,,C5ISR,C5ISR,,,,WISŁA/IBCS linkages,,Systems engineers; radar analysts; MLU support
Integrated Base Defense Security System,IBDS,Army,,,Secret,Secret,Medium,,,,Task Order,,Fort Meade; Aberdeen MD,,“Army; Base Defense; IBDS”,Booz Allen; SAIC,,,,,Multi-year,,,,Leidos,Medium,,C5ISR,C5ISR,,,,PTS program-mapping data,,Network security engineers; SOC analysts
Integrated Battle Command System,IBCS,Army,,,Secret / TS / TS/SCI,"Secret, TS/SCI",High,Multi-$B,,,Production,,Huntsville AL; WSMR; Fort Bliss,,“IBCS… multi-billion; software-intensive”,SAIC; Parsons; Raytheon; KBR,,,,,2010–Present,Ongoing,2010,,Northrop Grumman,High,,C5ISR,C5ISR,,,,Prime past performance & IBCS documentation,,Systems engineering; Agile SW; MBSE; Test
Integrated Digital Engineering Environment,IDEE,Air Force,,,TS/SCI,TS/SCI,Medium,,,,DIGITAL ENGINEERING SUITE,,Ogden UT,,“IDEE; Digital Twin; SysML; Sentinel digital engineering”,L3Harris; Lockheed Martin,,,,,needs-scrape,,,,Northrop Grumman,Medium,,R&D,R&D,,,,“GBSD BD Strategy.pdf”,,MBSE engineers; SysML modelers; digital twin developers
Integrated Situational Awareness / Cyber Program,inSITE,Air Force,,,TS / SCI / Poly,TS/SCI w/ Poly,High,$250M,,,IDIQ,,Huntsville AL; Colorado Springs CO,,“inSITE; Intel & Cyber Situational Awareness”,SAIC (assumed),,,,,2015–2025 est.,2025,2015,,Northrop Grumman,High,,Cyber,Cyber,,,,NGC PP past performance,,RMF SMEs; STIG analysts; cyber specialists
Integrated Situational Awareness Environment,inSITE,Army,,,Secret–TS/SCI,"Secret, TS/SCI",High,,,,IT / CYBER SITUATIONAL AWARENESS,,Huntsville AL; Colorado Springs CO,,“Intel & cyber situational awareness”,Prime TS (support),,,,,Multi-year,,,,Northrop Grumman,High,,Cyber,Cyber,,,,Provided,,RMF SMEs; STIG analysts; cyber analysts
Integrated Situational Awareness Tool Environment,inSITE,DISA,,,TS/SCI,TS/SCI,High,,,,SOFTWARE / CYBER ANALYTICS,,Huntsville AL; Colorado Springs CO,,“inSITE – RMF; STIG; cyber situational awareness”,Prime Technical Services,,,,,Multi-year,,,,Northrop Grumman,High,,Cyber,Cyber,,,,Provided,,RMF SMEs; STIG analysts; cyber engineers
Integrated Situational Awareness Tool Environment (Intel Cyber),inSITE,DISA,,,TS/SCI,TS/SCI,High,,,,SOFTWARE / CYBER ANALYTICS,,Huntsville AL; Colorado Springs CO,,"“Intel & cyber situational awareness”, “STIG”, “RMF”",Prime Technical Services,,,,,Multi-year,,,,Northrop Grumman,High,,Cyber,Cyber,,,,inSITE BD mapping text,,RMF SMEs; STIG Analysts; Cyber Analysts; C5ISR cyber operators
Integrated Strategic & Expeditionary Operations (DIA ISEO variant),ISEO (ISE Ops),DIA,,,TS/SCI,TS/SCI,Medium,$400M,,,Services,,Washington DC; Quantico VA; Bolling AFB,,“DIA ISEO… Intel IT sustainment… help desk”,GDIT; CACI,,,,,2020–2027,2027,2020,,Leidos,Medium,,Intel,Intel,,,,BD Automation Playbook (L260–L270),,IT support; help desk; desktop support; enterprise sustainment
Intelligence Community Infrastructure Support,I2TS-Next,Army,,,TS/SCI,TS/SCI,High,,,,,,Fort Belvoir VA; Korea (possible),,“PTS has experience staffing INSCOM helpdesks…”,PTS (prior INSCOM roles),,,,,Multi-year,,,,Jacobs,High,,Intel,Intel,,,,INSCOM I2TS-Next history,,IT support; cyber security; helpdesk; systems tech
Intelligence Systems Enterprise Operations,ISEO,DIA,,,TS/SCI,TS/SCI,High,,,,IT SUSTAINMENT,,Reston VA; DIA HQ JBAB,,“DIA IT Sustainment; cleared IT workforce”,Prime TS (prospective),,,,,Multi-year,,,,Leidos,High,,Intel,Intel,,,,AI-playbook sample,,IT support; help desk; desktop; local/remote IT sustainment
Intelligence Systems Infrastructure Tools & Enhancements,inSITE,DoD,,,Secret / TS/SCI,"Secret, TS/SCI",High,$406M,,,INTELLIGENCE INFRASTRUCTURE MODERNIZATION,,Huntsville AL; Colorado Springs CO,,"“Intel modernization, AFRL”",General Dynamics; L3Harris,,,,,2023–2028,2028,2023,,Northrop Grumman,High,,Intel,Intel,,,,“Northrop programs supported by Prime”,,RMF SMEs; STIG/Cyber Analysts
Interim MDC2 / ABMS,IMDC2 / ABMS,Air Force,,,Secret–TS,"Secret, Top Secret",Medium,,,,MODERNIZATION,,AF bases,,“JADC2 / ABMS”,Multiple,,,,,Multi-year,,,,Multiple,Medium,,C5ISR,C5ISR,,,,Row text,,C2 engineers; JADC2 integrators
IRFS-MIES,IRFS-MIES,DoD,,,Secret,Secret,Medium,,,,RECOMPETE,,,,“IRFS-MIES”,,,,,,Upcoming,,,,,Medium,,IT Ops,IT Ops,,,,Row,,IT operations
ISIS (Navy),ISIS (Navy),Navy,,,Secret,Secret,Medium,,,,PROGRAM,,NAVWAR,,“ISIS-Navy”,,,,,,Ongoing,Ongoing,,,,Medium,,C5ISR,C5ISR,,,,Row,,ISR/IT specialists
IT CROP (Bowhead),IT CROP,DoD,,,IT technicians; sysadmins,Secret,Medium,,,,PROGRAM,,Secret,,IT Ops,,,,,,Multi-year,,,,Bowhead,Medium,,Professional Services,Professional Services,,,,Medium,,“IT CROP Bowhead”
ITEMSS (IT Enterprise Mgmt Systems Solution),ITEMSS,Army,,,Secret,Secret,High,$880M,,,Task Order,,NCR; Guard HQs,,“Enterprise SW/IT”,MetroStar; Octo (indicative),,,,,2019–2026,2026,2019,,CACI,High,,IT Ops,IT Ops,,,,Provided,,Agile developers; cybersecurity; trainers; network support
ITES-3S,ITES-3S,Army,,,Varied,Secret,High,$12.1B,,,IDIQ,,Global,,“Army IT”,Numerous,,,,,2018–2027,2027,2018,,135 primes,High,,IT Ops,IT Ops,,,,Provided,,Enterprise IT services; cyber; network ops
J6 Enterprise Technology Services (DLA JETS),DLA JETS,DoD,,,Public Trust → Secret,"Public Trust, Secret",High,$6B,,,IDIQ,,Fort Belvoir; Columbus OH; Richmond VA,,“Nationwide coverage… Perspecta used Apex in 17 states”,Perspecta/Peraton; Apex Systems (staffing),,,,,2017–2026,2026,2017,,Multiple (MA-IDIQ pool),High,,IT Ops,IT Ops,,,,Provided,,Help desk; application support; network ops; admin
J6 Enterprise Technology Services 2.0,DLA JETS 2.0,DoD,,,Secret / TS (cyber),"Secret, Top Secret",High,$6B,,,IDIQ,,CONUS + OCONUS,,“JETS 2.0… cloud hosting… cyber security”,"TekSynap (awardee), others",,,,,2024–2029 (opts to 2034),2029,2024,,Multiple (IDIQ MA pool),High,,Cyber,Cyber,,,,electrosoft-inc.com citation,,Network & telecom services; cyber security; PM; cloud hosting
JGLASS II – Shared Services,JGLASS II,DHS,,,Public Trust,Public Trust,Medium,,,,Services,,NCR,,“Shared services”,,,,,,Multi-year,,,,Peraton / SAIC (indicative),Medium,,IT Ops,IT Ops,,,,Provided,,Enterprise shared services; IT admin
Joint Staff J7 Support,JS J7,DoD,,,TS/SCI; Secret,"Secret, TS/SCI",High,$50M,,,IDIQ,,Suffolk VA; Quantico VA; Ft Leavenworth,,“Joint Training; LVC; Wargaming”,SAIC; Leidos; GDIT,,,,,Multi-year,,,,HII,High,,C5ISR,C5ISR,,,,J7 TO descriptions,,LVC integrators; red-cell analysts; M&S engineers; ISSO
Joint Tactical Ground Station,JTAGS,Army,,,Secret / TS,"Secret, Top Secret",High,Multi-$M,,,IDIQ,,Colorado Springs CO; Germany; Redondo Beach CA,,“JTAGS – early missile warning (IR satellite)”,Prime TS (sub),,,,,2015–Ongoing,Ongoing,2015,,Northrop Grumman,High,,Weapon Systems,Weapon Systems,,,,Prime TS past performance,,Tactical SW engineers; SIGINT SMEs
Joint Tactical Ground Station Early Warning,JTAGS,Army,,,Secret / TS/SCI,"Secret, TS/SCI",High,,,,OPS & SUSTAINMENT,,Colorado Springs; Germany; Redondo Beach,,“JTAGS early missile warning; IR satellite”,Prime TS; others,,,,,Multi-year,,,,Northrop (prime/sub),High,,C5ISR,C5ISR,,,,Provided,,SW engineers; SIGINT analysts; logistics continuity
Joint Tactical Ground Station System,JTAGS,Army,,,Secret / TS,"Secret, Top Secret",High,$600M,,,Services,,Colorado Springs; Germany; Redondo Beach,,“JTAGS; missile warning; IR satellite”,Raytheon; Boeing (legacy),,,,,2010–2030 est.,2030,2010,,Northrop Grumman,High,,Weapon Systems,Weapon Systems,,,,Past performance documentation,,Tactical SW dev; SIGINT analysis
Joint Tactical Ground Stations,JTAGS,Space Force,,,TS/SCI,TS/SCI,High,Multi-$M,,,SATELLITE EARLY WARNING,,Colorado Springs CO; Germany,,“missile warning; JTAGS”,General Dynamics,,,,,Ongoing,Ongoing,,,Northrop Grumman,High,,Intel,Intel,,,,“Northrop Programs Supported by Prime”,,SW engineers; SIGINT SMEs
Joint Warfighting Cloud Capability,JWCC,DoD,,,Secret–TS/SCI,"Secret, TS/SCI",High,$9B,,,IDIQ,,DoD/IC sites,,“JWCC… $9B… four cloud vendors”,Integrators & cloud partners,,,,,2022–2027,2027,2022,,AWS; Microsoft; Google; Oracle,High,,IT Ops,IT Ops,,,,JWCC summary lines,,Cloud migration; platform engineering; zero-trust integration
JSP Enterprise IT,JSP,DoD,,,TS/SCI,TS/SCI,High,$190M,,,,,Pentagon / NCR,,"“22,000 users… transition to DISA GSD model”",PTS (prospective),,,,,Multi-year,,,,CACI,High,,IT Ops,IT Ops,,,,JSP BD capture notes,,Classified helpdesk; VTC; desktop support
JSP ETM (Pentagon IT),JSP ETM,DoD,,,Secret–TS/SCI,"Secret, TS/SCI",High,$190M,,,,,Pentagon / NCR,,“JSP IT… CACI incumbent”,Multiple SBs,,,,,Multi-year,,,,CACI,High,,IT Ops,IT Ops,,,,Provided,,Helpdesk; classified VTC; classified desktop support
Justified (SAP Security),Justified,Air Force,,,TS/SCI + SAP,TS/SCI,Medium,,,,Services,,Hanscom AFB; JBAB DC,,“Justified… SAP… Hanscom… JBAB”,Prime TS (past performance),,,,,Multi-year,,,,SAIC (inferred),Medium,,,Security,,,,Provided,,SAP admins; ISSO; SAP security leads
Justified SAP Security Contract,needs-scrape,Air Force,,,SAP TS,Top Secret,Medium,,,,SAP,,Hanscom AFB; JBAB DC,,“SAP security”; “Hanscom”; “JBAB”,needs-scrape,,,,,needs-scrape,,,,needs-scrape,Medium,,Cyber,Cyber,,,,Provided,,Program security; ISSO roles
Justified SAP Security Contract (Hanscom/Bolling),needs-scrape,Air Force,,,TS/SCI,TS/SCI,Medium,,,,O&M / CYBERSECURITY,,Hanscom AFB; JBAB DC,,"“SAP”, “Security”, “Hanscom”, “Bolling”",SAIC,,,,,needs-scrape,,,,Booz Allen Hamilton,Medium,,Cyber,Cyber,,,,Hiring trend heatmap,,SAP Security Engineer; ISSO; ISSM
JWCC – ATAT Expansion Path,JWCC,DISA,,,TS/SCI,TS/SCI,Medium,$9B,,,IDIQ,,Global DoD; CCPO,,“CCPO expanding scope to integrate JWCC into ATAT”,Five Star (potential support),,,,,2023–2028,2028,2023,,AWS; Microsoft; Google; Oracle,Medium,,IT Ops,IT Ops,,,,Provided text,,Cloud integration leads; policy enforcement; multi-cloud operations
Kennedy Space Center BOSS,KSC BOSS,NASA,,,Public Trust–Secret,"Public Trust, Secret",Medium,,,,BOS,,Kennedy Space Center FL,,“Base ops support”,Multiple,,,,,Ongoing,Ongoing,,,Jacobs / Amentum (past),Medium,,IT Ops,IT Ops,,,,Provided,,Facility operations; IT ops
LANL/NNSA VTC Engineering Support,LANL VTC,NSA,,,Q or TS,Top Secret,High,,,,Services,,Los Alamos NM,,“LANL… Q clearance… TEKsystems listing”,TEKsystems,,,,,Multi-year,,,,GDIT,High,,IT Ops,IT Ops,,,,Verified job postings,,VTC engineers; AV technicians; unified comms
LANL/NNSA VTC Support,,NSA,,,Q or TS,Top Secret,High,,,,Services,,Los Alamos NM,,“LANL… Q clearance… GDIT + TEKsystems listing”,TEKsystems,,,,,Multi-year,,,,GDIT,High,,IT Ops,IT Ops,,,,Verified job references,,VTC engineer; unified comms; AV/telepresence
LATERALUS (IC Space ISR),LATERALUS,NSA,,,TS/SCI + Poly,TS/SCI w/ Poly,High,$100M,,,O&M / DEV (CLASSIFIED),,CO / NoVA SCIFs,,“Space ISR… classified… Raytheon prime”,,,,,,Multi-year,,,,Raytheon,High,,Intel,Intel,,,,Provided,,Satellite ops engineers; intel analysts; O&M staff
LATERALUS (Space ISR),LATERALUS,NSA,,,TS/SCI + Poly,TS/SCI w/ Poly,Medium,,,,O&M / ENHANCEMENTS,,CO / NoVA,,“Space ISR ground ops”,Leidos; CACI; Parsons (indicative),,,,,Multi-year,,,,Raytheon,Medium,,Intel,Intel,,,,Provided,,O&M staff; sysadmins; intel exploitation analysts
LOGCAP V,LOGCAP V,Army,,,Public Trust–Secret,"Public Trust, Secret",Medium,$82B,,,IDIQ,,Global theaters,,“LOGCAP V… global subcontractor networks”,Large sub-networks globally,,,,,2019–2029,2029,2019,,KBR; V2X; Fluor; Amentum,Medium,,Logistics,Logistics,,,,Provided,,Base ops; supply; transportation; life support
Logistics Civil Augmentation Program V (duplicate entry),LOGCAP V,Army,,,Public Trust–Secret,"Public Trust, Secret",Medium,$82B,,,IDIQ,,Global,,“LOGCAP V… global subcontractor networks”,Large local networks,,,,,2019–2029,2029,2019,,KBR; V2X; Fluor; Amentum,Medium,,Logistics,Logistics,,,,Provided,,Base ops; supply; facilities
LRAAM (Long Range AAM),LRAAM,Air Force,,,Secret,Secret,Medium,,,,R&D,,Tucson AZ,,“Long-range AAM”,Northrop,,,,,Ongoing,Ongoing,,,Raytheon (indicative),Medium,,Weapon Systems,Weapon Systems,,,,Row text,,AAM engineers; missile systems developers
MAGIU (Navy/AF),MAGIU,Air Force,,,IT operations,Secret,Medium,,,,PROGRAM,,Secret,,IT Ops,,,,,,Multi-year,,,,,Medium,,Professional Services,Professional Services,,,,Medium,,“MAGIU”
MAIMIS (indicative),MAIMIS,Army,,,IT operations,Secret,Medium,,,,PROGRAM,,Secret,,IT Ops,,,,,,Multi-year,,,,,Medium,,Professional Services,Professional Services,,,,Medium,,“MAIMIS”
Managed IT Services (USTRANSCOM),MITS,DoD,,,Secret / TS,"Secret, Top Secret",Medium,$150M,,,Single Award,,Scott AFB IL,,“Enterprise IT; USTRANSCOM”,TEKsystems; Apex (indicative),,,,,2021–2026,2026,2021,,SAIC,Medium,,IT Ops,IT Ops,,,,Provided,,Service desk; admins; cyber analysts
Marine Corps Enterprise Network,MCEN,Marines,,,Secret,Secret,Medium,,,,ENTERPRISE IT,,Marine bases,,“USMC network”,,,,,,Ongoing,Ongoing,,,Leidos / GDIT,Medium,,IT Ops,IT Ops,,,,Provided,,NetOps; cyber; enterprise IT technicians
Mark 48 Heavyweight Torpedo,Mk-48,Navy,,,Secret (indicative),Secret,Low,,,,PROGRAM,,Middletown RI; Navy weapons centers,,“Mark-48 Torpedo”,,,,,,Multi-year,,,,Raytheon (indicative),Low,,Weapon Systems,Weapon Systems,,,,Provided,,Systems/seeker engineering; test; manufacturing
Mark 710 (context unclear),Mark-710,Navy,,,Secret (indicative),Secret,Low,,,,PROGRAM,,,,“Mark-710”,,,,,,Multi-year,,,,,Low,,Weapon Systems,Weapon Systems,,,,Provided,,Weapons techs; assembly
Mark-48 Torpedo (sub-program reference),Mark-48,Navy,,,Secret,Secret,Medium,,,,PROGRAM,,,,“Mark-48 Torpedo…”,,,,,,Multi-year,,,,,Medium,,Weapon Systems,Weapon Systems,,,,High,,Torpedo assembly; electronics
Mark-710 (sub-program reference),Mark-710,Navy,,,Secret,Secret,Medium,,,,PROGRAM,,,,“Mark-710…”,,,,,,Multi-year,,,,,Medium,,Weapon Systems,Weapon Systems,,,,High,,Weapon assembly technicians
MDA Tactical Embedded Systems,,MDA,,,Secret,Secret,Medium,,,,PROGRAM,,"Redstone Arsenal, Huntsville AL",,“Insight Global job HSV-795802… tactical embedded SW… MDA domain”,Insight Global,,,,,Multi-year,,,,Northrop Grumman,Medium,,Weapon Systems,Weapon Systems,,,,High,,Embedded SW engineers; C++; tactical missile SW
MHS GENESIS (DHMSM),DHMSM,DoD,,,Secret,Secret,Medium,$4.3B,,,IDIQ,,NCR; San Antonio; Remote,,"“MHS GENESIS, DHA, Electronic Health Record”",Cerner; Accenture Federal,,,,,2015–2030,2030,2015,,Leidos,Medium,,Health IT,Health IT,,,,Provided text,,Clinical trainer; IT support; workflow analyst; EHR migration
MHS GENESIS / Leidos Partnership for Defense Health,LPDH,DoD,,,Public Trust → Secret,"Public Trust, Secret",Medium,,,,PRIME INTEGRATION PROGRAM,,MHS sites CONUS / OCONUS,,“Training and go-live support; clinical IT support”,,,,,,2015–Present,Ongoing,2015,,Leidos,Medium,,IT Ops,IT Ops,,,,Provided,,Clinical help desk; applications support; site support technicians
Minuteman III Missile Program,Minuteman III,Air Force,,,Secret,Secret,Medium,,,,PROGRAM,,NSWC Crane; NSWC Newport,,“Minuteman 3 missile… mechanical and electronic assembly teams”,,,,,,Multi-year,,,,,Medium,,Weapon Systems,Weapon Systems,,,,Provided,,Missile assembly; electronics techs; weapons sustainment
Mission Partner Environment,MPE,DoD,,,Secret/SCI,"Secret, TS/SCI",High,$5.6B,,,BPA,,Global coalition sites,,“MPE replacing BICES; $5.6B; Capgemini team”,Capgemini + 7 BPA partners,,,,,2022–Present,Ongoing,2022,,GDIT,High,,C5ISR,C5ISR,,,,Provided,,Coalition network engineers; CDS admins; field support teams
Mission Partner Environment (Field Ops / MPCO),MPE / MPCO,Air Force,,,Telecom engineers; network admins; coalition support,Secret,Medium,,,,MULTI-YEAR,,Secret → TS/SCI,,C5ISR / IT Ops,,,,,,Springfield VA; Tampa FL; coalition sites,,,,GDIT,Medium,,Professional Services,Professional Services,,,,Medium,,“Global coalition network mission (MPE)”
Mission Partner Environment (successor to BICES),MPE,DoD,,,Secret / SCI (multinational),"Secret, TS/SCI",High,$5.6B,,,BPA,,Global (coalition networks),,“MPE replaces BICES… $5.6B… GDIT + Capgemini team”,Capgemini + 7 BPA teammates,,,,,2022–Present,Ongoing,2022,,GDIT,High,,C5ISR,C5ISR,,,,Successor contract description,,Coalition network engineers; CDS administrators; field support teams
MK 48 Torpedo Program,MK 48,Navy,,,Secret (indicative),Secret,Medium,,,,PROGRAM,,NSWC Crane; NSWC Newport,,“Mark48 torpedo… mechanical & electronic assembly teams”,,,,,,Multi-year,,,,,Medium,,Weapon Systems,Weapon Systems,,,,Provided description,,Mechanical assembly techs; electronics techs; weapons assembly
MK 710 Weapons Program,MK 710,Navy,,,Secret (indicative),Secret,Medium,,,,PROGRAM,,NSWC Crane; NSWC Newport,,“Mark48… Mark710… mechanical & electronic build teams”,,,,,,Multi-year,,,,,Medium,,Weapon Systems,Weapon Systems,,,,Provided,,Mechanical/electrical weapons technicians
Modular Open Systems Approach,MOSA,Space Force,,,Secret (assumed),Secret,Medium,,,,CONSORTIUM / EVENT-DRIVEN,,National Harbor MD; US Army programs,,“MOSA & Space Industry Summit… OPENSIG”,CACI; SAIC; Northrop,,,,,Multi-year,,,,Multiple primes,Medium,,R&D,R&D,,,,Provided,,Chief engineers; PMs; open-architecture developers
MOJAVE / ACADIA,,NGA,,,TS/SCI (CI Poly),TS/SCI w/ Poly,Medium,,,,ENTERPRISE IT / DATA,,Springfield VA; St. Louis MO,,“NGA MOJAVE & ACADIA… TS/SCI + poly”,,,,,,Multi-year,,,,CACI (indicative),Medium,,Intel,Intel,,,,Provided reference,,Cloud engineer; data pipeline; GEOINT analyst
MPCO VMOD (Voice Modernization),VMOD,Army,,,Secret,Secret,Medium,$382M,,,Task Order,,CONUS Army posts,,“Voice modernization”,Black Box,,,,,2023–2028,2028,2023,,CACI (indicative),Medium,,IT Ops,IT Ops,,,,Provided,,Voice engineers; telecom modernization
MSS Smart Systems (Palantir contract),MSS,Army,,,TS/SCI,TS/SCI,Low,,,,Services,,Classified CONUS/OCONUS,,“Palantir… Smart Systems… classified customer”,,,,,,Multi-year,,,,Palantir,Low,,Intel,Intel,,,,Provided,,Data engineers; Palantir platform engineers; intel analysts; field support
Multi-Mission Command & Control,M2C2,MDA,,,Secret–TS/SCI,"Secret, TS/SCI",Medium,,,,R&D,,Aurora CO; Huntsville AL; Colorado Springs CO,,“M2C2… C2 development… LM/Raytheon”,,,,,,Multi-year,,,,Lockheed Martin / Raytheon,Medium,,C5ISR,C5ISR,,,,Provided,,C2 SW dev; embedded SW; Linux; systems engineering
NARSIL,NARSIL,DoD,,,Intel IT; C5ISR systems,Secret,Medium,,,,MULTI-YEAR,,TS/SCI,,Intel / IT Ops,,,,,,NCR,,,,Peraton (indicative),Medium,,Professional Services,Professional Services,,,,High,,“High-value IDIQ… Peraton NARSIL”
NARSIL – Advanced Research for System Intelligence & Learning,NARSIL,IC,,,TS/SCI with poly (indicative),TS/SCI w/ Poly,Medium,,,,R&D,,NCR; Dayton OH (indicative),,“Peraton NARSIL”; “NASIC/IC ML/AI research”,,,,,,Multi-year,,,,Peraton,Medium,,Intel,Intel,,,,User portfolio references,,Data scientists; SW engineers; ML/AI researchers; systems engineers
NASA Enterprise Service Support Technology,NESST,NASA,,,Public Trust → Secret,"Public Trust, Secret",Low,,,,Services,,NASA centers,,“NASA IT”,,,,,,Multi-year,,,,SAIC / Leidos (indicative),Low,,IT Ops,IT Ops,,,,Provided,,EUS support; deskside; enterprise IT
NASA ETIS III,ETIS III,NASA,,,Unclassified,,Medium,,,,Single Award,,Goddard MD,,“NASA ETIS III… Northrop prime… Peraton sub”,Peraton (major sub),,,,,2016–2023,2023,2016,,Northrop Grumman,Medium,,IT Ops,IT Ops,,,,Provided,,Test engineers; integration specialists
NASA SENSE (Space Comms & Tracking),SENSE,NASA,,,Secret (some),Secret,Medium,$1.8B,,,Services,,Near-Earth network (TDRS),,“Peraton Awarded $1.8B NASA SENSE”,All Points,,,,,2019–2029,2029,2019,,Peraton,Medium,,IT Ops,IT Ops,,,,High,,Network ops; RF; sustainment
