Job Title,Program,Prime,Location,Hiring Manager Search,Program Manager Search,Recruiter Search,Subcontracts Search,HR BP Search
DEPUTY PROGRAM MANAGER,Global Service Management – Operations I,Leidos,"Chambersburg, Pennsylvania","""Hiring Manager"" AND ""Leidos"" AND ""Chambersburg""","""Program Manager"" AND ""Leidos"" AND ""Chambersburg""","(""Recruiter"" OR ""Talent Acquisition"") AND ""Leidos"" AND ""Chambersburg""","(""Subcontracts"" OR ""Supplier Management"") AND ""Leidos""","""HR Business Partner"" AND ""Leidos"" AND ""Chambersburg"""
"INFORMATION SYSTEM SECURITY MANAGER (ISSM) - WARREN, MICHIGAN",Global Service Management – Operations I,Leidos,"Sterling Heights, Michigan","""Hiring Manager"" AND ""Leidos"" AND ""Sterling Heights""","""Program Manager"" AND ""Leidos"" AND ""Sterling Heights""","(""Recruiter"" OR ""Talent Acquisition"") AND ""Leidos"" AND ""Sterling Heights""","(""Subcontracts"" OR ""Supplier Management"") AND ""Leidos""","""HR Business Partner"" AND ""Leidos"" AND ""Sterling Heights"""
AEROMECHANICAL ENGINEER,GBS (Global Broadcast Service),L3Harris,"Solana Beach, California","""Hiring Manager"" AND ""L3Harris"" AND ""Solana Beach""","""Program Manager"" AND ""L3Harris"" AND ""Solana Beach""","(""Recruiter"" OR ""Talent Acquisition"") AND ""L3Harris"" AND ""Solana Beach""","(""Subcontracts"" OR ""Supplier Management"") AND ""L3Harris""","""HR Business Partner"" AND ""L3Harris"" AND ""Solana Beach"""
CONSTRUCTION SURVEILLANCE TECHNICIAN (CST) I,DIA Information Systems Engineering Offi,Leidos,"Wailuku, Hawaii","""Hiring Manager"" AND ""Leidos"" AND ""Wailuku""","""Program Manager"" AND ""Leidos"" AND ""Wailuku""","(""Recruiter"" OR ""Talent Acquisition"") AND ""Leidos"" AND ""Wailuku""","(""Subcontracts"" OR ""Supplier Management"") AND ""Leidos""","""HR Business Partner"" AND ""Leidos"" AND ""Wailuku"""
SR. SOFTWARE ENGINEER W/ POLYGRAPH,CMS Enterprise Cloud Infrastructure Serv,Peraton / SAIC,"Sully, Virginia","""Hiring Manager"" AND ""Peraton / SAIC"" AND ""Sully""","""Program Manager"" AND ""Peraton / SAIC"" AND ""Sully""","(""Recruiter"" OR ""Talent Acquisition"") AND ""Peraton / SAIC"" AND ""Sully""","(""Subcontracts"" OR ""Supplier Management"") AND ""Peraton / SAIC""","""HR Business Partner"" AND ""Peraton / SAIC"" AND ""Sully"""
SHIPFITTER,Global Service Management – Operations I,Leidos,"Kings Bay, Georgia","""Hiring Manager"" AND ""Leidos"" AND ""Kings Bay""","""Program Manager"" AND ""Leidos"" AND ""Kings Bay""","(""Recruiter"" OR ""Talent Acquisition"") AND ""Leidos"" AND ""Kings Bay""","(""Subcontracts"" OR ""Supplier Management"") AND ""Leidos""","""HR Business Partner"" AND ""Leidos"" AND ""Kings Bay"""
QUALITY ENGINEER,DIA Information Systems Engineering Offi,Leidos,"Cleveland, Ohio","""Hiring Manager"" AND ""Leidos"" AND ""Cleveland""","""Program Manager"" AND ""Leidos"" AND ""Cleveland""","(""Recruiter"" OR ""Talent Acquisition"") AND ""Leidos"" AND ""Cleveland""","(""Subcontracts"" OR ""Supplier Management"") AND ""Leidos""","""HR Business Partner"" AND ""Leidos"" AND ""Cleveland"""
SECRET SATELLITE SYSTEMS ENGINEER,DIA Information Systems Engineering Offi,Leidos,"Grand Forks, North Dakota","""Hiring Manager"" AND ""Leidos"" AND ""Grand Forks""","""Program Manager"" AND ""Leidos"" AND ""Grand Forks""","(""Recruiter"" OR ""Talent Acquisition"") AND ""Leidos"" AND ""Grand Forks""","(""Subcontracts"" OR ""Supplier Management"") AND ""Leidos""","""HR Business Partner"" AND ""Leidos"" AND ""Grand Forks"""
TOP SECRET OPERATIONS SUPPORT ENGINEER,Project Convergence (JADC2 Experiments),SAIC,"Huntsville, Alabama","""Hiring Manager"" AND ""SAIC"" AND ""Huntsville""","""Program Manager"" AND ""SAIC"" AND ""Huntsville""","(""Recruiter"" OR ""Talent Acquisition"") AND ""SAIC"" AND ""Huntsville""","(""Subcontracts"" OR ""Supplier Management"") AND ""SAIC""","""HR Business Partner"" AND ""SAIC"" AND ""Huntsville"""
SECRET DATABASE ENGINEER,NARSIL – Advanced Research for System In,Peraton,"Herndon, Virginia","""Hiring Manager"" AND ""Peraton"" AND ""Herndon""","""Program Manager"" AND ""Peraton"" AND ""Herndon""","(""Recruiter"" OR ""Talent Acquisition"") AND ""Peraton"" AND ""Herndon""","(""Subcontracts"" OR ""Supplier Management"") AND ""Peraton""","""HR Business Partner"" AND ""Peraton"" AND ""Herndon"""
SECRET DATACENTER SME,CMS Enterprise Cloud Infrastructure Serv,Peraton / SAIC,"Suffolk, Virginia","""Hiring Manager"" AND ""Peraton / SAIC"" AND ""Suffolk""","""Program Manager"" AND ""Peraton / SAIC"" AND ""Suffolk""","(""Recruiter"" OR ""Talent Acquisition"") AND ""Peraton / SAIC"" AND ""Suffolk""","(""Subcontracts"" OR ""Supplier Management"") AND ""Peraton / SAIC""","""HR Business Partner"" AND ""Peraton / SAIC"" AND ""Suffolk"""
"SECRET FSR ANALYST (CALIBAN: SAN FRANCISCO, CA; MIAMI, FL; JUNEAU, AK)",Intelligence Systems Enterprise Operatio,Leidos,"San Francisco, California","""Hiring Manager"" AND ""Leidos"" AND ""San Francisco""","""Program Manager"" AND ""Leidos"" AND ""San Francisco""","(""Recruiter"" OR ""Talent Acquisition"") AND ""Leidos"" AND ""San Francisco""","(""Subcontracts"" OR ""Supplier Management"") AND ""Leidos""","""HR Business Partner"" AND ""Leidos"" AND ""San Francisco"""
AIR MOBILITY OPERATIONS SME,Global Service Management – Operations I,Leidos,"O'fallon, Illinois","""Hiring Manager"" AND ""Leidos"" AND ""O'fallon""","""Program Manager"" AND ""Leidos"" AND ""O'fallon""","(""Recruiter"" OR ""Talent Acquisition"") AND ""Leidos"" AND ""O'fallon""","(""Subcontracts"" OR ""Supplier Management"") AND ""Leidos""","""HR Business Partner"" AND ""Leidos"" AND ""O'fallon"""
ELECTRO-MECHANICAL ASSEMBLY TECHNICIAN,GBS (Global Broadcast Service),L3Harris,"San Diego, California","""Hiring Manager"" AND ""L3Harris"" AND ""San Diego""","""Program Manager"" AND ""L3Harris"" AND ""San Diego""","(""Recruiter"" OR ""Talent Acquisition"") AND ""L3Harris"" AND ""San Diego""","(""Subcontracts"" OR ""Supplier Management"") AND ""L3Harris""","""HR Business Partner"" AND ""L3Harris"" AND ""San Diego"""
SENIOR MECHANICAL EQUIPMENT & TOOL ENGINEER,"EDIS – Engineering, Development, Integra",SAIC,"Seattle, Washington","""Hiring Manager"" AND ""SAIC"" AND ""Seattle""","""Program Manager"" AND ""SAIC"" AND ""Seattle""","(""Recruiter"" OR ""Talent Acquisition"") AND ""SAIC"" AND ""Seattle""","(""Subcontracts"" OR ""Supplier Management"") AND ""SAIC""","""HR Business Partner"" AND ""SAIC"" AND ""Seattle"""
SUPERINTENDENT - MILCON,Global Solutions Management – Operations,Leidos,"Fort Bliss, Texas","""Hiring Manager"" AND ""Leidos"" AND ""Fort Bliss""","""Program Manager"" AND ""Leidos"" AND ""Fort Bliss""","(""Recruiter"" OR ""Talent Acquisition"") AND ""Leidos"" AND ""Fort Bliss""","(""Subcontracts"" OR ""Supplier Management"") AND ""Leidos""","""HR Business Partner"" AND ""Leidos"" AND ""Fort Bliss"""
V-22 AIRCRAFT MAINTENANCE AND MODIFICATION TECHNICIAN,GBS (Global Broadcast Service),L3Harris,"San Diego, California","""Hiring Manager"" AND ""L3Harris"" AND ""San Diego""","""Program Manager"" AND ""L3Harris"" AND ""San Diego""","(""Recruiter"" OR ""Talent Acquisition"") AND ""L3Harris"" AND ""San Diego""","(""Subcontracts"" OR ""Supplier Management"") AND ""L3Harris""","""HR Business Partner"" AND ""L3Harris"" AND ""San Diego"""
SECRET LEAD F-16 SIMULATOR TECHNICIAN,Global Command and Control System – Join,Northrop Grumman,"Sunset, Utah","""Hiring Manager"" AND ""Northrop Grumman"" AND ""Sunset""","""Program Manager"" AND ""Northrop Grumman"" AND ""Sunset""","(""Recruiter"" OR ""Talent Acquisition"") AND ""Northrop Grumman"" AND ""Sunset""","(""Subcontracts"" OR ""Supplier Management"") AND ""Northrop Grumman""","""HR Business Partner"" AND ""Northrop Grumman"" AND ""Sunset"""
TS/SCI - SENIOR SURVIVABILITY ENGINEER,Aegis Ballistic Missile Defense / Aegis ,Lockheed Martin,"Huntsville, Alabama","""Hiring Manager"" AND ""Lockheed Martin"" AND ""Huntsville""","""Program Manager"" AND ""Lockheed Martin"" AND ""Huntsville""","(""Recruiter"" OR ""Talent Acquisition"") AND ""Lockheed Martin"" AND ""Huntsville""","(""Subcontracts"" OR ""Supplier Management"") AND ""Lockheed Martin""","""HR Business Partner"" AND ""Lockheed Martin"" AND ""Huntsville"""
SECRET SOFTWARE ENGINEER,"EDIS – Engineering, Development, Integra",SAIC,"Colorado Springs, Colorado","""Hiring Manager"" AND ""SAIC"" AND ""Colorado Springs""","""Program Manager"" AND ""SAIC"" AND ""Colorado Springs""","(""Recruiter"" OR ""Talent Acquisition"") AND ""SAIC"" AND ""Colorado Springs""","(""Subcontracts"" OR ""Supplier Management"") AND ""SAIC""","""HR Business Partner"" AND ""SAIC"" AND ""Colorado Springs"""
CLEARED ELECTRONIC WARFARE ENGINEER,"EDIS – Engineering, Development, Integra",SAIC,"Manchester, New Hampshire","""Hiring Manager"" AND ""SAIC"" AND ""Manchester""","""Program Manager"" AND ""SAIC"" AND ""Manchester""","(""Recruiter"" OR ""Talent Acquisition"") AND ""SAIC"" AND ""Manchester""","(""Subcontracts"" OR ""Supplier Management"") AND ""SAIC""","""HR Business Partner"" AND ""SAIC"" AND ""Manchester"""
CYBER SYSTEMS & NETWORK OPERATIONS SPECIALIST- TS,NGEN-R SMIT – Navy Next Generation Enter,Leidos,"Lincoln, Massachusetts","""Hiring Manager"" AND ""Leidos"" AND ""Lincoln""","""Program Manager"" AND ""Leidos"" AND ""Lincoln""","(""Recruiter"" OR ""Talent Acquisition"") AND ""Leidos"" AND ""Lincoln""","(""Subcontracts"" OR ""Supplier Management"") AND ""Leidos""","""HR Business Partner"" AND ""Leidos"" AND ""Lincoln"""
SECRET AMPHIBIOUS RAIDS INSTRUCTOR,GBS (Global Broadcast Service),L3Harris,"Jacksonville, North Carolina","""Hiring Manager"" AND ""L3Harris"" AND ""Jacksonville""","""Program Manager"" AND ""L3Harris"" AND ""Jacksonville""","(""Recruiter"" OR ""Talent Acquisition"") AND ""L3Harris"" AND ""Jacksonville""","(""Subcontracts"" OR ""Supplier Management"") AND ""L3Harris""","""HR Business Partner"" AND ""L3Harris"" AND ""Jacksonville"""
TS/SCI SENIOR DEVSECOPS ENGINEER,GBS (Global Broadcast Service),L3Harris,"Hanahan, South Carolina","""Hiring Manager"" AND ""L3Harris"" AND ""Hanahan""","""Program Manager"" AND ""L3Harris"" AND ""Hanahan""","(""Recruiter"" OR ""Talent Acquisition"") AND ""L3Harris"" AND ""Hanahan""","(""Subcontracts"" OR ""Supplier Management"") AND ""L3Harris""","""HR Business Partner"" AND ""L3Harris"" AND ""Hanahan"""
CBP GCP PLATFORM ENGINEER (MID-LEVEL),CMS Enterprise Cloud Infrastructure Serv,Peraton / SAIC,"Broad Run, Virginia","""Hiring Manager"" AND ""Peraton / SAIC"" AND ""Broad Run""","""Program Manager"" AND ""Peraton / SAIC"" AND ""Broad Run""","(""Recruiter"" OR ""Talent Acquisition"") AND ""Peraton / SAIC"" AND ""Broad Run""","(""Subcontracts"" OR ""Supplier Management"") AND ""Peraton / SAIC""","""HR Business Partner"" AND ""Peraton / SAIC"" AND ""Broad Run"""
TS/SCI - GCCS SYSTEMS ENGINEER,"EDIS – Engineering, Development, Integra",SAIC,"Colorado Springs, Colorado","""Hiring Manager"" AND ""SAIC"" AND ""Colorado Springs""","""Program Manager"" AND ""SAIC"" AND ""Colorado Springs""","(""Recruiter"" OR ""Talent Acquisition"") AND ""SAIC"" AND ""Colorado Springs""","(""Subcontracts"" OR ""Supplier Management"") AND ""SAIC""","""HR Business Partner"" AND ""SAIC"" AND ""Colorado Springs"""
TOP SECRET ELECTRONICS EXPLOITATION DEPLOYER,DISA JWCC – Joint Warfighting Cloud Capa,Amazon,"Aberdeen Proving Ground, Maryland","""Hiring Manager"" AND ""Amazon"" AND ""Aberdeen Proving Ground""","""Program Manager"" AND ""Amazon"" AND ""Aberdeen Proving Ground""","(""Recruiter"" OR ""Talent Acquisition"") AND ""Amazon"" AND ""Aberdeen Proving Ground""","(""Subcontracts"" OR ""Supplier Management"") AND ""Amazon""","""HR Business Partner"" AND ""Amazon"" AND ""Aberdeen Proving Ground"""
ELECTRICAL ENGINEER 4,Integrated Digital Engineering Environme,Northrop Grumman,"Tucson, Arizona","""Hiring Manager"" AND ""Northrop Grumman"" AND ""Tucson""","""Program Manager"" AND ""Northrop Grumman"" AND ""Tucson""","(""Recruiter"" OR ""Talent Acquisition"") AND ""Northrop Grumman"" AND ""Tucson""","(""Subcontracts"" OR ""Supplier Management"") AND ""Northrop Grumman""","""HR Business Partner"" AND ""Northrop Grumman"" AND ""Tucson"""
CAPTURE MANAGER,Global Service Management – Operations I,Leidos,"Huntsville, Alabama","""Hiring Manager"" AND ""Leidos"" AND ""Huntsville""","""Program Manager"" AND ""Leidos"" AND ""Huntsville""","(""Recruiter"" OR ""Talent Acquisition"") AND ""Leidos"" AND ""Huntsville""","(""Subcontracts"" OR ""Supplier Management"") AND ""Leidos""","""HR Business Partner"" AND ""Leidos"" AND ""Huntsville"""
SECRET NETWORK ENGINEER,NGEN-R SMIT – Navy Next Generation Enter,Leidos,"Fairfax, Virginia","""Hiring Manager"" AND ""Leidos"" AND ""Fairfax""","""Program Manager"" AND ""Leidos"" AND ""Fairfax""","(""Recruiter"" OR ""Talent Acquisition"") AND ""Leidos"" AND ""Fairfax""","(""Subcontracts"" OR ""Supplier Management"") AND ""Leidos""","""HR Business Partner"" AND ""Leidos"" AND ""Fairfax"""
COLDFUSION DEVELOPER,Global Service Management – Operations I,Leidos,"New York, New York","""Hiring Manager"" AND ""Leidos"" AND ""New York""","""Program Manager"" AND ""Leidos"" AND ""New York""","(""Recruiter"" OR ""Talent Acquisition"") AND ""Leidos"" AND ""New York""","(""Subcontracts"" OR ""Supplier Management"") AND ""Leidos""","""HR Business Partner"" AND ""Leidos"" AND ""New York"""
CNC PROGRAMMER,Advanced Medium-Range Air-to-Air Missile,Raytheon,"Jacksonville, Florida","""Hiring Manager"" AND ""Raytheon"" AND ""Jacksonville""","""Program Manager"" AND ""Raytheon"" AND ""Jacksonville""","(""Recruiter"" OR ""Talent Acquisition"") AND ""Raytheon"" AND ""Jacksonville""","(""Subcontracts"" OR ""Supplier Management"") AND ""Raytheon""","""HR Business Partner"" AND ""Raytheon"" AND ""Jacksonville"""
JUNIOR NUCLEAR HARDNESS ELECTRICAL ENGINEER,SPICE (Space Payload Integration & Cyber,SAIC / LinQuest,"Hill AFB, Utah","""Hiring Manager"" AND ""SAIC / LinQuest"" AND ""Hill AFB""","""Program Manager"" AND ""SAIC / LinQuest"" AND ""Hill AFB""","(""Recruiter"" OR ""Talent Acquisition"") AND ""SAIC / LinQuest"" AND ""Hill AFB""","(""Subcontracts"" OR ""Supplier Management"") AND ""SAIC / LinQuest""","""HR Business Partner"" AND ""SAIC / LinQuest"" AND ""Hill AFB"""
SIMULATION SYSTEMS ENGINEER II,NARSIL – Advanced Research for System In,Peraton,"Suffolk, Virginia","""Hiring Manager"" AND ""Peraton"" AND ""Suffolk""","""Program Manager"" AND ""Peraton"" AND ""Suffolk""","(""Recruiter"" OR ""Talent Acquisition"") AND ""Peraton"" AND ""Suffolk""","(""Subcontracts"" OR ""Supplier Management"") AND ""Peraton""","""HR Business Partner"" AND ""Peraton"" AND ""Suffolk"""
CLEARED GNC SR. PRINCIPAL ENGINEER,Hypersonic & Ballistic Tracking Space Se,Northrop & L3Harris,"Chandler, Arizona","""Hiring Manager"" AND ""Northrop & L3Harris"" AND ""Chandler""","""Program Manager"" AND ""Northrop & L3Harris"" AND ""Chandler""","(""Recruiter"" OR ""Talent Acquisition"") AND ""Northrop & L3Harris"" AND ""Chandler""","(""Subcontracts"" OR ""Supplier Management"") AND ""Northrop & L3Harris""","""HR Business Partner"" AND ""Northrop & L3Harris"" AND ""Chandler"""
SECRET CLEARED TECHNICAL WRITER,GBS (Global Broadcast Service),L3Harris,"San Diego, California","""Hiring Manager"" AND ""L3Harris"" AND ""San Diego""","""Program Manager"" AND ""L3Harris"" AND ""San Diego""","(""Recruiter"" OR ""Talent Acquisition"") AND ""L3Harris"" AND ""San Diego""","(""Subcontracts"" OR ""Supplier Management"") AND ""L3Harris""","""HR Business Partner"" AND ""L3Harris"" AND ""San Diego"""
ONSITE PLM APPLICATION ANALYST,Advanced Battle Management System,Multi,"East Hartford, Connecticut","""Hiring Manager"" AND ""Multi"" AND ""East Hartford""","""Program Manager"" AND ""Multi"" AND ""East Hartford""","(""Recruiter"" OR ""Talent Acquisition"") AND ""Multi"" AND ""East Hartford""","(""Subcontracts"" OR ""Supplier Management"") AND ""Multi""","""HR Business Partner"" AND ""Multi"" AND ""East Hartford"""
TOP SECRET .NET DEVELOPER,Army IT Enterprise Mgmt Systems Solution,CACI,"Ashburn, Virginia","""Hiring Manager"" AND ""CACI"" AND ""Ashburn""","""Program Manager"" AND ""CACI"" AND ""Ashburn""","(""Recruiter"" OR ""Talent Acquisition"") AND ""CACI"" AND ""Ashburn""","(""Subcontracts"" OR ""Supplier Management"") AND ""CACI""","""HR Business Partner"" AND ""CACI"" AND ""Ashburn"""
TS/SCI COMPLY-TO-CONNECT & ENDPOINT POLICY ANALYST,Air Force Advanced Battle Management Sys,"Multiple: SAIC, Leidos, B","Alexandria, Virginia","""Hiring Manager"" AND ""Multiple: SAIC, Leidos, Booz Allen Hamilton"" AND ""Alexandria""","""Program Manager"" AND ""Multiple: SAIC, Leidos, Booz Allen Hamilton"" AND ""Alexandria""","(""Recruiter"" OR ""Talent Acquisition"") AND ""Multiple: SAIC, Leidos, Booz Allen Hamilton"" AND ""Alexandria""","(""Subcontracts"" OR ""Supplier Management"") AND ""Multiple: SAIC, Leidos, Booz Allen Hamilton""","""HR Business Partner"" AND ""Multiple: SAIC, Leidos, Booz Allen Hamilton"" AND ""Alexandria"""
