budget_program_name,budget_amount,fiscal_year,budget_type
Support of Operational Testing,49221000.0,2015,R-1
"Brigade Analysis, Integration and Evaluation",105279000.0,2015,R-1
NATO Research and Deve,9659000.0,2015,R-1
(U)PILOT FISH,148865000.0,2015,R-1
Consolidated Trng Sys Dev,39922000.0,2015,R-1
Human Social Culture Behavior (HSCB) Modeling Advanced Development,2000000.0,2015,R-1
Tactical Unmanned Aerial Vehicles,22870000.0,2015,R-1
AF Offensive Cyberspace Operations,13355000.0,2015,R-1
Depot Maintenance (Non-IF),1407000.0,2015,R-1
Control and Reporting Center (CRC),552000.0,2015,R-1
Landmine Warfare and Barrier Advanced Technology,13074000.0,2015,R-1
Advanced Sensor Applications Program,15518000.0,2015,R-1
AF Integrated Personnel and Pay System (AF-IPPS),90218000.0,2015,R-1
Defense Info. Infrastructure Engineering and Integration,9657000.0,2015,R-1
Lower Tier Air and Missile Defense (AMD),78758000.0,2015,R-1
Surface ASW Cmbt Sys Integr,26366000.0,2015,R-1
Analysis Of Alternatives,9913000.0,2015,R-1
RQ-4 UAV,498003000.0,2015,R-1
Missile and Rocket Advanced Technology,44957000.0,2015,R-1
Space Tracking and Surveillance System,31346000.0,2015,R-1
Warfighter Advanced Technology,65138999.99999999,2015,R-1
Biometrics Enabling Capability,1332000.0,2015,R-1
Other Personnel Activities,126000.0,2015,R-1
Operational Test & Eval Capability,16658000.000000002,2015,R-1
Major T&E Investment,60317000.0,2015,R-1
Manned Reconnaissance Sys,28099000.0,2015,R-1
Defense Agency Initiatives (DAI) - Financial System,41465000.0,2015,R-1
Quick Reactions Special Projects (QRSP),69319000.0,2015,R-1
Distributed Training and Exercises,4457000.0,2015,R-1
Electronic Combat Technology,47602000.0,2015,R-1
Undersea Warfare Advanced Tech,9985000.0,2015,R-1
Intercontinental Ballistic Missile - Dem/Val,30885000.0,2015,R-1
Electronic Warfare Development,8961000.0,2015,R-1
Thermal Vicar,8255000.000000001,2015,R-1
Minimum Essential Emergency Communications Network (MEECN),81035000.0,2015,R-1
Advanced Above Water Sensors,20409000.0,2015,R-1
Nuclear and Conventional Physical Security/Countering Nuclear Threats,7936000.0,2015,R-1
Power Projection Advanced Technology,37734000.0,2015,R-1
Advanced EHF MILSATCOM (SPACE),6967890000.0,2015,R-1
Environmental Quality Technology,15659000.0,2015,R-1
Intelligence Engineering,200000.0,2015,R-1
Aircraft Engine Component Improvement Program,381000.0,2015,R-1
ADVANCED WEAPONS TECHNOLOGY,28528000.0,2015,R-1
Conventional Weapons Technology,42046000.0,2015,R-1
JAVELIN,4166000.0000000005,2015,R-1
Ballistic Missile Defense Midcourse Defense Segment,1003768000.0,2015,R-1
Financing for Cancelled Account Adjustments,992000.0,2015,R-1
Ballistic Missile Defense Test,386482000.0,2015,R-1
Programwide Activities,64169000.0,2015,R-1
ICBM Fuze Modernization,59826000.0,2015,R-1
Maritime Systems,57905000.0,2015,R-1
Integrated Base Defense (Budget Activity 4),4473000.0,2015,R-1
Advanced C4ISR,15329000.0,2015,R-1
Advanced Remote Sensor Technology (ARST),15596000.0,2015,R-1
USD (A&T) Critical Technology Support,669000.0,2015,R-1
Software Engineering Institute (SEI) Applied Research,9156000.0,2015,R-1
In-House Laboratory Independent Research,13464000.0,2015,R-1
Night Vision Systems - Eng Dev,65333000.0,2015,R-1
Battlespace Knowledge Development and Demonstration,35315000.0,2015,R-1
Assessments & Evaluations,21661000.0,2015,R-1
Warrior Systems,24661000.0,2015,R-1
"Command, Control, Communications Technology",33817000.0,2015,R-1
Dominant Information Sciences and Methods,147789000.0,2015,R-1
Compass Call,14411000.0,2015,R-1
ASW Systems Development - MIP,6495000.0,2015,R-1
Maui Space Surveillance System (MSSS),14031000.0,2015,R-1
Defense-Wide Electronic Procurement Capabilities,9546000.0,2015,R-1
Aviation Engineering Analysis,635000.0,2015,R-1
Survivability/Lethality Analysis,33295000.0,2015,R-1
Cryptologic Direct Support,1157000.0,2015,R-1
Ship Self Def (Detect & Cntrl),56889000.0,2015,R-1
Physical Security Equipment,3926000.0,2015,R-1
NIGHT VISION ADVANCED TECHNOLOGY,44138000.0,2015,R-1
Combat Information Center Conv,49280000.0,2015,R-1
Defense Wide Manufacturing Science and Technology Program,91095000.0,2015,R-1
Polar MILSATCOM (SPACE),1285336000.0,2015,R-1
Support to Networks and Information Integration,12500000.0,2015,R-1
Ballistic Missile Defense Sensors,392893000.0,2015,R-1
Advanced Materials for Weapon Systems,32177000.0,2015,R-1
Large Aircraft IR Countermeasures (LAIRCM),5172000.0,2015,R-1
Space Test Program (STP),21161000.0,2015,R-1
Advanced EHF MILSATCOM (SPACE),314378000.0,2015,R-1
IT Software Development Initiatives,612000.0,2015,R-1
Airborne Warning and Control System (AWACS),180804000.0,2015,R-1
Joint Direct Attack Munition,2500000.0,2015,R-1
Joint Air-to-ground Missile (JAGM),6300000.0,2015,R-1
Non-System Training Devices - Eng Dev,8945000.0,2015,R-1
SMALL BUSINESS INNOVATION RESEARCH,70839000.0,2015,R-1
Operational Systems Development,2953000.0,2015,R-1
Electronic Warfare Development - MIP,332000.0,2015,R-1
Facilities Operation - Administrative,3798000.0,2015,R-1
F-22 Modernization Increment 3.2B,173647000.0,2015,R-1
Endurance UAVs,21957000.0,2015,R-1
(U)Executive Helo Development,388086000.0,2015,R-1
CYBER SECURITY INITIATIVE,1961000.0,2015,R-1
SOF Munitions,2807000.0,2015,R-1
Enterprise Security System,3988000.0,2015,R-1
WWMCCS/GLOBAL COMMAND AND CONTROL SYSTEM,296000.0,2015,R-1
Intelligence Systems Development,9490000.0,2015,R-1
Air Crew Systems Development,15014000.0,2015,R-1
Landmine Warfare/Barrier - Eng Dev,57705000.0,2015,R-1
Aerospace Technology Dev/Demo,91062000.0,2015,R-1
Wargaming and Simulation Centers,5956000.0,2015,R-1
AC/MC-130J,62359000.0,2015,R-1
Network-Centric Collaborative Targeting,11096000.0,2015,R-1
Spacelift Range System  (SPACE),13462000.0,2015,R-1
Family of Heavy Tactical Vehicles,12913000.0,2015,R-1
Surface ASW,1060000.0,2015,R-1
Carrier Systems Development,5959000.0,2015,R-1
Historically Black Colleges and Universities and Minority Institutions (HBCU/MI),27246000.0,2015,R-1
Defense Spectrum Organization,13423000.0,2015,R-1
Space Fence,214131000.0,2015,R-1
Major T&E Investment,123993000.0,2015,R-1
(U)CARRIER ONBOARD DELIVERY (COD) FOLLOW ON,8873000.0,2015,R-1
Advanced Surface Machinery Sys,21026000.0,2015,R-1
Homeland Security Presidential Directive (HSPD-12) Initiative,286000.0,2015,R-1
Tactical Airborne Reconnaissance,5275000.0,2015,R-1
Hard and Deeply Buried Target Defeat System (HDBTDS) Program,103000.0,2015,R-1
Rapid Technology Transition (RTT),25566000.0,2013,R-1
COMPUTER AND SOFTWARE TECHNOLOGY,9830000.0,2013,R-1
(U)Joint Theater Air and Missile Defense Org,7573000.0,2013,R-1
WWMCCS/GLOBAL COMMAND & CONTROL SYSTEM,4316000.0,2013,R-1
Cyber Advanced Technology Development,19935000.0,2013,R-1
Joint Munitions Technology,20615000.0,2013,R-1
SSBN Security Tech Program,34729000.0,2013,R-1
Space & Elec War Surv/Recon,8000000.0,2013,R-1
SEW Architecture/Eng Support,31549000.0,2013,R-1
Foreign Comparative Testing,18174000.0,2013,R-1
Automated Air-to-Air Refueling,83000.0,2013,R-1
RQ-11 UAV,495000.0,2013,R-1
"Wounded, Ill and Injured Program",1531000.0,2013,R-1
Avionics Component Improvement Program,3177000.0,2013,R-1
JT Tact Radio Sys (JTRS),337480000.0,2013,R-1
Joint Munitions Advanced Technology,25612000.0,2013,R-1
Critical Infrastructure Protection (CIP),10462000.0,2013,R-1
General Support to OUSD(I),6601000.0,2013,R-1
Physical Security Equipment,51000.0,2013,R-1
Operational Test and Evaluation,72501000.0,2013,R-1
CYBER Command,66888000.00000001,2013,R-1
Advanced Sensor Applications Program,16958000.0,2013,R-1
Studies & Analysis Supt - Navy,20963000.0,2013,R-1
Night Vision Systems - Eng Dev,32621000.000000004,2013,R-1
Joint/Allied Coalition Information Sharing,6214000.0,2013,R-1
Surface ASW,6704000.0,2013,R-1
Environmental Quality Technology,20095000.0,2013,R-1
AC/MC-130J,19647000.0,2013,R-1
Special Operations Technology Development,28739000.0,2013,R-1
Human Effectiveness Adv Tech Dev,21523000.0,2013,R-1
Combating Terrorism Technology Support,77144000.0,2013,R-1
RQ-7 UAV,8463000.0,2013,R-1
RQ-7 UAV,2900000.0,2013,R-1
Next Generation Aegis Missile (Standard Missile-3 Block IIB (SM-3 IIB)),224077000.0,2013,R-1
ADVANCED AEROSPACE SYSTEMS,174316000.0,2013,R-1
"Brigade Analysis, Integration and Evaluation",214270000.0,2013,R-1
International Space Cooperative R&D,652000.0,2013,R-1
Small Business Innovation Research/Small Business Technology Transfer (SBIR/STTR),54874000.0,2013,R-1
Tact Air Dir Infrared CM (TADIRCM),73934000.0,2013,R-1
Combat Information Center Conv,918000.0,2013,R-1
Precision Tracking Space System,297375000.0,2013,R-1
Security And Investigative Activities,354000.0,2013,R-1
Land Attack Tech,16132000.000000002,2013,R-1
MATERIALS TECHNOLOGY,29041000.0,2013,R-1
Special Operations Aviation Systems Advanced Development,97267000.0,2013,R-1
JOINT COOPERATIVE TARGET IDENTIFICATION - GROUND (,15287000.0,2013,R-1
Adv Field Artillery Tactical Data System,32555999.999999996,2013,R-1
Manpower/Personnel/Training Technology,17781000.0,2013,R-1
RQ-11 UAV,1500000.0,2013,R-1
Weapons and Munitions - Eng Dev,14581000.0,2013,R-1
Test and Evaluation Support,722071000.0,2013,R-1
Joint Standoff Weapon Systems,5518000.0,2013,R-1
Tactical Data Links,118818000.0,2013,R-1
Ship Self Def (Engage: Hard Kill),64078999.99999999,2013,R-1
AIR TRAFFIC CONTROL,9769000.0,2013,R-1
Joint Robotics EMD,2715000.0,2013,R-1
Support of Operational Testing,67789000.0,2013,R-1
Carrier Systems Development,108871000.0,2013,R-1
Requirements Analysis and Maturation,16343000.0,2013,R-1
C-STOL AIRCRAFT,1239000.0,2013,R-1
B-2 Defensive Management System,281056000.0,2013,R-1
Advanced Combat Systems Tech,1506000.0,2013,R-1
IT Rapid Acquisition,4147000.0000000005,2013,R-1
Mine and Expeditionary Warfare Advanced Technology,6048000.0,2013,R-1
Conventional Weapons Technology,36352000.0,2013,R-1
INFORMATION & COMMUNICATIONS TECHNOLOGY,392421000.0,2013,R-1
Joint Air-to-Surface Standoff Missile (JASSM),7950000.0,2013,R-1
Landmine Warfare and Barrier - Adv Dev,5054000.0,2013,R-1
Environmental Protection,21080000.0,2013,R-1
Aerostat Joint Project Office,190422000.0,2013,R-1
Studies and Analysis Support - OSD,6457000.0,2013,R-1
Marine Corps Assault Vehicles,95182000.0,2013,R-1
Distributed Common Ground/Surface Systems,40876000.0,2013,R-1
(U)RETRACT MAPLE,341305000.0,2013,R-1
CHEMICAL/BIOLOGICAL DEFENSE (APPLIED RESEARCH),223269000.0,2013,R-1
Electronic Warfare Development,181347000.0,2013,R-1
Distributive Interactive Simulations (DIS) - Eng Dev,13926000.0,2013,R-1
Mission Planning Systems,69377000.0,2013,R-1
Industrial Preparedness,54879000.0,2013,R-1
Consolidated Trng Sys Dev,20229000.0,2013,R-1
Navigation/Id System,47764000.0,2013,R-1
Aviation Safety Technologies,6879000.0,2013,R-1
"COMMAND, CONTROL AND COMMUNICATIONS SYSTEMS",237859000.0,2013,R-1
INTEGRATED BASE DEFENSE,4043000.0,2013,R-1
Cooperative Engagement,56512000.0,2013,R-1
Navy Science Assistance Progr,3450000.0,2013,R-1
Thermal Vicar,8214000.0,2013,R-1
Warfighting and Intelligence-Related Support,861000.0,2013,R-1
MATERIEL SYSTEMS ANALYSIS,19954000.0,2013,R-1
C-5 Airlift Squadrons,35115000.0,2013,R-1
RQ-11 Raven,4038999.9999999995,2013,R-1
Technology Transfer,2576000.0,2013,R-1
Tank and Medium Caliber Ammunition,30560000.0,2013,R-1
CHEMICAL/BIOLOGICAL DEFENSE (RDT&E MGT SUPPORT),92849000.0,2013,R-1
Multi-mssn Maritime Aircraft (MMA) (P-8A),421102000.0,2013,R-1
BIOLOGICAL WARFARE DEFENSE,19236000.0,2013,R-1
Homeland Defense Technology Transfer Program,2303000.0,2013,R-1
Military Engineering Advanced Technology,28458000.0,2013,R-1
Combat Identification,2893000.0,2013,R-1
High Energy Laser Advanced Technology Program,1122000.0,2013,R-1
Joint Dual-Role Air Dominance Missile (JDRADM),29759000.0,2013,R-1
Tactical Command System - MIP,1170000.0,2013,R-1
Non-System Training Devices - Eng Dev,44787000.0,2013,R-1
OTHER FLIGHT TRAINING,349000.0,2013,R-1
Strategic Technical Support,3306000.0,2013,R-1
Advanced Materials for Weapon Systems,47890000.0,2013,R-1
Initial Operational Test & Evaluation,16197000.0,2013,R-1
Combat Vehicle and Automotive Technology,69062000.0,2013,R-1
Ballistic Missile Defense Targets,435747000.0,2013,R-1
BIOMEDICAL TECHNOLOGY,110900000.0,2013,R-1
DoD Enterprise Systems Development and Demonstration,133104000.00000001,2013,R-1
SMALL BUSINESS INNOVATIVE RESEARCH,74469000.0,2013,R-1
Soldier Systems - Warrior Dem/Val,51851000.0,2013,R-1
Airborne Reconnaissance Systems,96735000.0,2013,R-1
Fleet Tactical Development,15695000.0,2013,R-1
Defense Operations Security Initiative,2637000.0,2013,R-1
SLC3S-A (Senior Leader C3S),1960000.0,2013,R-1
Large Aircraft InfraRed Counter Measures (LAIRCM),7758000.0,2013,R-1
AEGIS SM-3 Block IIA Co-Development,420630000.0,2013,R-1
LPD-17 Class Systems Integration,824000.0,2013,R-1
Cryptologic Direct Support,1756000.0,2013,R-1
Joint Cargo Aircraft,27089000.0,2013,R-1
CV-22,28027000.0,2013,R-1
Aircraft Engine Component Improvement Program,898000.0,2013,R-1
CH-53K,606204000.0,2013,R-1
Shipboard Sys Component Dev,51000.0,2013,R-1
ICBM - EMD,135437000.0,2013,R-1
Israeli Cooperative Programs,99836000.0,2013,R-1
MEDIUM TACTICAL VEHICLES,3006000.0,2013,R-1
Army Integrated Air and Missile Defense (AIAMD),277374000.0,2013,R-1
Joint DOD/DOE Munitions Technology Development,20032000.0,2013,R-1
Test and Evaluation/Science and Technology,92602000.0,2013,R-1
Seek Eagle,22654000.0,2013,R-1
End Item Industrial Preparedness Activities,59908000.0,2013,R-1
ASW Systems Development - MIP,13172000.0,2013,R-1
Tomahawk Mssn Planning Ctr,11265000.0,2013,R-1
Information Systems Security Program,5500000.0,2013,R-1
(U)CHALK EAGLE,509988000.0,2013,R-1
Aircraft Modifications/Product Improvement Programs,280247000.0,2013,R-1
Information Warfare Support,7159000.0,2013,R-1
Warfighter Sustainment Applied Res,44127000.0,2013,R-1
ASW Systems Development,8090000.0,2013,R-1
Acquisition Civilian Workforce,203766000.0,2013,R-1
University and Industry Research Centers,123045000.0,2013,R-1
Tactical Unmanned Aerial Vehicles,31303000.0,2013,R-1
Combat Air Intelligence System,5756000.0,2013,R-1
Human Social Culture Behavior (HSCB) Modeling Research and Engineering,5131000.0,2013,R-1
Mission Training and Preparation Systems (MTPS),10131000.0,2013,R-1
Tactical Air Control Party Modernization,16226000.0,2013,R-1
MQ-1 Predator A UAV,1355000.0,2013,R-1
(U)MARINE CORPS DATA SYSTEMS,1650000.0,2013,R-1
Marine Corps Program Wide Supt,18490000.0,2013,R-1
READINESS TRAINING,310000.0,2013,R-1
Missile and Rocket Advanced Technology,71111000.0,2013,R-1
Prompt Global Strike Capability Development,110383000.0,2013,R-1
Agile Transportation for the 21st Century (AT21) Theater Capability,3892000.0,2013,R-1
Financing for Cancelled Account Adjustments,63000.0,2013,R-1
Minimum Essential Emergency Communications Network (MEECN),12931000.0,2013,R-1
Radiological Control,777000.0,2013,R-1
Enterprise Security System,8866000.0,2013,R-1
Space Technology,98375000.0,2013,R-1
Foreign Materiel Acquisition and Exploitation,56012000.0,2013,R-1
Systems Engineering,43195000.0,2013,R-1
LIGHT TACTICAL WHEELED VEHICLES,69981000.0,2013,R-1
Aerial Common Sensor - SDD,47426000.0,2013,R-1
MANAGEMENT HQ - ADP SUPPORT (AF),299000.0,2013,R-1
ARMY TEST RANGES AND FACILITIES,369900000.0,2013,R-1
Department of Defense Corrosion Policy and Oversight,3283000.0,2013,R-1
Cyber Security Initiative,411000.0,2013,R-1
Airborne SIGINT Enterprise (JMIP),129106000.0,2013,R-1
Concepts Experimentation Program,27902000.0,2013,R-1
MQ-9 Development and Fielding,147971000.0,2013,R-1
JT Strike Fighter (JSF) - EMD,743926000.0,2013,R-1
Combined Arms Tactical Trainer (CATT) Core,17797000.0,2013,R-1
Navy Logistic Productivity,3811000.0,2013,R-1
Advanced Hawkeye,119065000.0,2013,R-1
IT Software Development Initiatives,104000.0,2013,R-1
EW Development,1975000.0,2013,R-1
Emerging Capabilities,19092000.0,2013,R-1
Rocket Systems Launch Program (RSLP),16200000.0,2013,R-1
Power Proj Applied Research,89189000.0,2013,R-1
Airborne Reconnaissance Sys,20000000.0,2013,R-1
Army Evaluation Center,62765000.0,2013,R-1
Joint Air-to-ground Missile (JAGM),108395000.0,2013,R-1
Software Engineering Institute (SEI),30036000.0,2013,R-1
"Smoke, Obscurant and Target Defeating Sys - Eng Dev",5146000.0,2013,R-1
Air/Ocean Tactical Applications,34085000.0,2013,R-1
Advanced Nuclear Power Systems,249748000.0,2013,R-1
Management HQ - MDA,34855000.0,2013,R-1
CONSTRUCTIVE SIMULATION SYSTEMS DEVELOPMENT,28937000.0,2013,R-1
Intelligence Support to Information Operations,16041000.0,2013,R-1
Depot Maintenance (Non-IF),1588000.0,2013,R-1
Ballistic Missile Defense Test,454400000.0,2013,R-1
Materials,114166000.0,2013,R-1
University Research Initiatives,113690000.0,2013,R-1
"Armed, Deployable Helos",90494000.0,2013,R-1
JT Cntr Radio Controlled IED Elec War (JCREW),71300000.0,2013,R-1
"Chemical, Smoke and Equipment Defeating Technology",4465000.0,2013,R-1
Tactical Aim Missiles,21107000.0,2013,R-1
Navy Tactical Computer Resources,3889000.0,2013,R-1
Development Test & Evaluation,15110000.0,2013,R-1
JT Non-Lethal Wpns Tech Dev,11706000.0,2013,R-1
Defense Technology Analysis,12056000.0,2013,R-1
MC Ground Cmbt Spt Arms Sys,181693000.0,2013,R-1
Ship Concept Advanced Design,24609000.0,2013,R-1
MILITARY ENGINEERING TECHNOLOGY,70693000.0,2013,R-1
TERRAIN INFORMATION - ENG DEV,1008000.0,2013,R-1
FCS Reconnaissance (UAV) Platforms,18792000.0,2013,R-1
Information Systems Security Program,11780000.0,2013,R-1
Wargaming and Simulation Centers,5699000.0,2013,R-1
Test & Evaluation Support,342298000.0,2013,R-1
Next Generation Training & Simulation Systems,17257000.0,2013,R-1
CHEMICAL/BIOLOGICAL DEFENSE (ATD),234280000.0,2013,R-1
High Performance Computing Modernization Program,235209000.0,2013,R-1
Power Projection Advanced Technology,56543000.0,2013,R-1
SOF Weapons Systems,1511000.0,2013,R-1
Environmental Quality Technology Demonstrations,13626000.0,2013,R-1
Sustainment Science and Technology (S&T),6565000.0,2013,R-1
SSN-688 & Trident Modernization,82620000.0,2013,R-1
UAS Modifications/Product Improvement Program,2387000.0,2013,R-1
Joint Warfighting Program,8403000.0,2013,R-1
JOINT TACTICAL RADIO SYSTEMS (JTRS),2594000.0,2013,R-1
Small Business Innovative Research,9079000.0,2013,R-1
Operational Energy Capability Improvement,26244000.0,2013,R-1
Joint Light Tactical Vehicle - ED,72295000.0,2013,R-1
Warfighter Technology,28281000.0,2013,R-1
Defense Rapid Innovation Program,104466000.0,2013,R-1
Information Sys Security Program,26307000.0,2013,R-1
Special Operations CV-22 Development,1822000.0,2013,R-1
VH-71 Executive Helo Development,61163000.0,2013,R-1
DOD High Energy Laser Test Facility,18000.0,2013,R-1
Support to Information Operations Capabilities,11771000.0,2013,R-1
C-130 AIRLIFT SQUADRONS,5000000.0,2013,R-1
Small (LEVEL 0) Tactical UAS (STUASL0),9734000.0,2013,R-1
Joint Advanced Concepts,6571000.0,2013,R-1
Armament/Ordnance Development,9951000.0,2013,R-1
Trusted Foundry,33627000.0,2013,R-1
Information Systems Security Program,69133000.0,2013,R-1
Civilian Compensation Program,1561000.0,2013,R-1
Joint Non-Lethal Weapons Testing,44994000.0,2013,R-1
Special Operations Tactical Systems Development,821000.0,2013,R-1
Electronic Warfare Technology,21683000.0,2013,R-1
MILSATCOM Terminals,107237000.0,2013,R-1
WARFIGHTER INFORMATION NETWORK-TACTICAL - DEM/VAL,278018000.0,2013,R-1
Joint Precision Approach and Landing Systems - Dem/Val,57975000.0,2013,R-1
Joint High Speed Vessel (JHSV),35000.0,2013,R-1
Net Centricity,21190000.0,2013,R-1
Ocean Engineering Tech Dev,7029000.0,2013,R-1
International Intelligence Technology and Architectures,1478000.0,2013,R-1
Electronic Combat Intelligence Support,13357000.0,2013,R-1
ICBM - DEM/VAL,71181000.0,2013,R-1
Mine Development,8335000.000000001,2013,R-1
Electronic Combat Technology,32941000.000000004,2013,R-1
"Management, Technical & Intl Supt",32781999.999999996,2013,R-1
Management HQ - R&D,18524000.0,2013,R-1
SSN-688 and Trident Modernization-MIP,1408000.0,2013,R-1
SPACE SUPERIORITY INTELLIGENCE,12056000.0,2013,R-1
University Research Initiatives,141153000.0,2013,R-1
Humanitarian De-mining,13231000.0,2013,R-1
Defense Readiness Reporting System (DRRS),6383000.0,2013,R-1
Airborne Warning and Control System (AWACS),65200000.0,2013,R-1
Unmanned Combat Air Veh(UCAV) Adv Cp/Proto Dev,142282000.0,2013,R-1
JUDGMENT FUND REIMBURSEMENT,371000.0,2013,R-1
Technical Information Services,796000.0,2013,R-1
Financing for Cancelled Account Adjustments,753000.0,2013,R-1
Combat Training Ranges,9222000.0,2013,R-1
DoD Enterprise Energy Information Management (EEIM),3556000.0,2013,R-1
(U)SPECIAL PROCESSES,44487000.0,2013,R-1
FCS Unattended Ground Sensors,1451000.0,2013,R-1
In-House Lab Independent Res,18261000.0,2013,R-1
TRACTOR HIP,22439000.0,2013,R-1
SOF Rotary Wing Aviation,24430000.0,2013,R-1
MILITARY HIV RESEARCH,6984000.0,2013,R-1
RECRUITING ACTIVITIES,5074000.0,2013,R-1
Facility Sustainment - T&E Support,27301000.0,2013,R-1
Multi-Mssn Helicopter Upgrade Dev,6866000.0,2013,R-1
RDT&E Ship & Aircraft Support,144033000.0,2013,R-1
Multi-Platform Electronics,49848000.0,2013,R-1
MK-48 ADCAP,28717000.0,2013,R-1
Logistics Information Technology (LOGIT),119327000.0,2013,R-1
Logistics and Engineer Equipment - Adv Dev,14605000.0,2013,R-1
E-4B NATIONAL AIRBORNE OPERATIONS CENTER,4159000.0,2013,R-1
LIGHT MOBILITY AIRCRAFT (LIMA),100000.0,2013,R-1
NATO Research and Deve,9389000.0,2013,R-1
AIR LAUNCHED CRUISE MISSILE,431000.0,2013,R-1
JAVELIN (AAWS-M),5040000.0,2013,R-1
BASIC OPERATIONAL MEDICAL SCIENCE,39676000.0,2013,R-1
Small Business Innovative Research - MDA,113234000.0,2013,R-1
Tactical Electronic Surveillance System - Adv Dev,8660000.0,2013,R-1
Combat Vehicle and Automotive Advanced Technology,104359000.0,2013,R-1
Threat Simulator Development,30790000.0,2013,R-1
Army Integ Military Human Resources Sys (A-IMRS),158646000.0,2013,R-1
Air and Space Operations Center Weapon System (AOC WS),76315000.0,2013,R-1
TRACTOR CARD,63243000.0,2013,R-1
NAVSTAR GPS (Space),14335000.0,2013,R-1
ARMS CONTROL IMPLEMENTATION,4000000.0,2013,R-1
TRACTOR NAIL,3487000.0,2013,R-1
BALLISTICS TECHNOLOGY,60823000.0,2013,R-1
ADVANCED WEAPONS TECHNOLOGY,25999000.0,2013,R-1
Surface & Shallow Water MCM,190622000.0,2013,R-1
Endurance Unmanned Aerial Vehicles,21000000.0,2013,R-1
Ballistic Missile Defense  Test & Targets,85569000.0,2013,R-1
Defense Rapid Innovation Program,101265000.0,2013,R-1
TACTICAL UNMANNED GROUND VEHICLE,13141000.0,2013,R-1
Environmental Quality Technology Mgmt Support,4601000.0,2013,R-1
TECHNOLOGY MATURATION INITIATIVES,24868000.0,2013,R-1
Joint Electromagnetic Technology (JET) Program,3158000.0,2013,R-1
"Munitions Standardization, Effectiveness and Safety",46763000.0,2013,R-1
TRACTOR CAGE,10902000.0,2013,R-1
Defense Info. Infrastructure Engineering and Integration,14498000.0,2013,R-1
Amphibious Tactical Supt Units,8435000.0,2013,R-1
Distributed Common Ground/Surface Systems,7114000.0,2013,R-1
Pollution Prevention,2053999.9999999998,2013,R-1
Cyber Security Initiative,2055000.0000000002,2013,R-1
RQ-7 Shadow UAV,31158000.0,2013,R-1
Tactical AIM Missiles,8234000.0,2013,R-1
Joint Integration & Interoperability,29059000.0,2013,R-1
CRT-X,19039000.0,2013,R-1
Dragon U-2 (JMIP),23644000.0,2013,R-1
Ballistic Missile Defense Midcourse Defense Segment,903172000.0,2013,R-1
Facilities Improvement,3401000.0,2013,R-1
Coalition Warfare,11398000.0,2013,R-1
Artillery Systems - EMD,167797000.0,2013,R-1
Sea Based X-Band Radar (SBX),9730000.0,2013,R-1
Defense Technical Information Center,55454000.0,2013,R-1
Ballistic Missile Defense Joint Warfighter Support,55550000.0,2013,R-1
Joint Capability Technology Demonstration (JCTD),158263000.0,2013,R-1
Shared Early Warning System,1175000.0,2013,R-1
(U)CHALK CORAL,45966000.0,2013,R-1
NATO Research and Development,4961000.0,2013,R-1
Advanced (EHF MILSATCOM (Space),229171000.0,2013,R-1
JOINT PERSONNEL RECOVERY AGENCY (JPRA),2017999.9999999998,2013,R-1
(U)Future Naval Capabilities Applied Research,162417000.0,2013,R-1
Satellite Communications (Space),188482000.0,2013,R-1
Systems 2020 Applied Research,7898000.0,2013,R-1
Hardened Target Munitions,16710999.999999998,2013,R-1
Assessments & Evaluations,2419000.0,2013,R-1
AV-8B Aircraft - Engine Dev,32789000.0,2013,R-1
Infantry Support Weapons,96478000.0,2013,R-1
Electromagnetic Systems Advanced Technology,54858000.0,2013,R-1
Submarine Tactical Warfare System,49141000.0,2013,R-1
Integrated Command & Control Applications,10000.0,2013,R-1
(U)Navy Integrated Mil Human Res Sys(N-IMHRS),55017000.0,2013,R-1
Marine Corps IT Dev/Mod,12143000.0,2013,R-1
Next-Generation MILSATCOM Technology,19898000.0,2013,R-1
Common Picture Advanced Technology,48985000.0,2013,R-1
Surface ASW Cmbt Sys Integr,27342000.0,2013,R-1
Navy Energy Program,55324000.0,2013,R-1
"R&D in Support of DOD Enlistment, Testing and Evaluation",16364000.0,2013,R-1
Other Helicopter Development,33978000.0,2013,R-1
Alternative Fuels,23259000.0,2013,R-1
Regarding Trench,11371000.0,2013,R-1
KC-135s,6161000.0,2013,R-1
JHMCS,1472000.0,2013,R-1
P-3 Modernization Program,3451000.0,2013,R-1
Joint Systems Integration,3273000.0,2013,R-1
BMD Enabling Programs,362711000.0,2013,R-1
HIGH PERFORMANCE COMPUTING MODERNIZATION PROGRAM,180582000.0,2013,R-1
Aerospace Technology Dev/Demo,81376000.0,2013,R-1
Major T&E Investment,35894000.0,2013,R-1
Budget and Program Assessments,4454000.0,2013,R-1
JOINT STARS,24241000.0,2013,R-1
High Energy Laser Research,38557000.0,2013,R-1
Microelectronics Technology Development and Support  (DMEA),72234000.0,2013,R-1
Net-Centric Enterprise Services (NCES),2924000.0,2013,R-1
Night Vision Systems Advanced Development,10715000.0,2013,R-1
H-1 Upgrades,31105000.0,2013,R-1
Ship Self Def (Engage: Soft Kill/EW),151489000.0,2013,R-1
OTHER PERSONNEL ACTIVITIES,117000.0,2013,R-1
"Manpower, Personnel and Training Advanced Technology",9856000.0,2013,R-1
Advanced Concepts and Simulation,23507000.0,2013,R-1
