acronym,program_name,piid,prime_contractor,total_contract_value,obligated,agency,department,clearance,city,state,locations,typical_roles,functional_areas,naics_code,naics_description,psc_code,pop_start,pop_end,bd_score,bd_status,contact_coverage,sub_count,staffing_firms_present,greenfield_type,discovery_strategy,data_sources
TELLY,CO: TELLY RENFROE AWARD OF NEW TASK ORDER BASE YEAR INITIAL FUNDING,15JPSS19F00000507,"AT&T Enterprises, LLC",4934000000,616402725.9,"Offices, Boards and Divisions",Department of Justice,,CHANTILLY,VIRGINIA,,,,517110,,D399,6/6/2019,9/30/2026,32,PROSPECT,GAP,0,,,S4_EXPIRING,DISCOVERY
FY23,"FY23 MCON PROJECT P-209, DRY DOCK 3 REPLACEMENT, JOINT BASE PEARL HARBOR HICKAM, HAWAII",N6274223F4007,DRAGADOS/HAWAIIAN DREDGING/ORION JV,3299202818,2770988886,Department of the Navy,Department of Defense,,PEARL HARBOR,HAWAII,,,,237990,,Y1ED,3/31/2023,9/30/2027,32,PROSPECT,GAP,0,,,S4_EXPIRING,DISCOVERY
THIS,"THIS CALL ORDER OBTAINS DEDICATED AND ON-DEMAND CHARTERED FLIGHT SERVICES FOR ENFORCEMENT AND REMOVAL OPERATIONS UNDER THE ICE AIR PROGRAM. ICE AIR FACILITATES THE SAFE, SECURE, AND COST-EFFECTIVE TRANSPORTATION AND DEPORTATION OF ILLEGAL ALIENS.",70CDCR26FC0000001,"CSI AVIATION, INC",1500000000,673421847,U.S. Immigration and Customs Enforcement,Department of Homeland Security,,KILLEEN,TEXAS,,,,561599,,V211,11/1/2025,10/31/2026,32,PROSPECT,GAP,0,,,S4_EXPIRING,DISCOVERY
NUCLEAR,NUCLEAR REACTOR COMPONENTS.,N0002407C2100,BECHTEL CORPORATION,1241637244,1238780271,Department of the Navy,Department of Defense,,SCHENECTADY,NEW YORK,,,,336611,,4470,10/12/2006,9/30/2027,32,PROSPECT,GAP,0,,,S4_EXPIRING,DISCOVERY
DESIGN,DESIGN BUILD FCI LEAVENWORTH,15B70023C00000008,CLARK CONSTRUCTION GROUP LLC,927629119.7,463979864,Federal Prison System / Bureau of Prisons,Department of Justice,,BETHESDA,MARYLAND,,,,236220,,Y1FF,8/7/2023,7/8/2026,32,PROSPECT,GAP,0,,,S4_EXPIRING,DISCOVERY
EXPRESS,EXPRESS REPORT FOR FY20 REGION 1,36C10G20K9094,"OPTUM PUBLIC SECTOR SOLUTIONS, INC.",915640424.3,915640424.3,Department of Veterans Affairs,Department of Veterans Affairs,,ROCKVILLE,MARYLAND,,,,524114,,Q201,10/1/2019,9/30/2026,32,PROSPECT,GAP,0,,,S4_EXPIRING,DISCOVERY
THIS,"THIS DELIVERY ORDER IS ISSUED PURSUANT TO THE SCHEDULE OF SUPPLIES, CONTRACT PERIOD PRICING, OTHER PRICING OPTIONS, AND TERMS AND CONDITIONS OF CONTRACT 80KSC023DA010 FOR HELIUM AT KENNEDY SPACE CENTER.",80KSC023FA026,"AIR PRODUCTS AND CHEMICALS, INC",770145657.2,331963645.6,National Aeronautics and Space Administration,National Aeronautics and Space Administration,,ORLANDO,FLORIDA,,,,325120,,9135,12/1/2022,3/31/2026,32,PROSPECT,GAP,0,,,S4_EXPIRING,DISCOVERY
FY26,FY26 FUNDING MEDICAL DISABILITY EXAMINATIONS,36C10X26N0032,QTC MEDICAL SERVICES INC,754312385.8,754312385.8,Department of Veterans Affairs,Department of Veterans Affairs,,SAN ANTONIO,TEXAS,,,,621111,,Q403,1/1/2026,12/31/2026,32,PROSPECT,GAP,0,,,S4_EXPIRING,DISCOVERY
MEDICAL,MEDICAL DISABILITY EXAMINATIONS - TO FY26 FUNDING,36C10X26N0040,LOYAL SOURCE GOVERNMENT SERVICES LLC,754312385.8,754312385.8,Department of Veterans Affairs,Department of Veterans Affairs,,ORLANDO,FLORIDA,,,,621111,,Q403,1/1/2026,12/31/2026,32,PROSPECT,GAP,0,,,S4_EXPIRING,DISCOVERY
SERVICENOW,SERVICENOW SOFTWARE-AS-A-SERVICE (SAAS) LICENSE ENTITLEMENTS,36C10B23F0319,METGREEN SOLUTIONS INC,717770169.9,312647441.1,Department of Veterans Affairs,Department of Veterans Affairs,,NORFOLK,NEBRASKA,,,,541519,,DA10,9/22/2023,9/21/2026,32,PROSPECT,GAP,0,,,S4_EXPIRING,DISCOVERY
FY26,FY26 FUNDING MEDICAL DISABILITY EXAMINATIONS,36C10X26N0044,"OptumServe Health Services, Inc.",714081758.3,714081758.3,Department of Veterans Affairs,Department of Veterans Affairs,,LA CROSSE,WISCONSIN,,,,621111,,Q403,1/1/2026,12/31/2026,32,PROSPECT,GAP,0,,,S4_EXPIRING,DISCOVERY
PHASE,PHASE 3 AND 4 DEVELOPMENT WITH 7 PROTOTYPE DELIVERABLES OF THE OPTIONALLY MANNED FIGHTING VEHICLE.,W56HZV23C0026,"AMERICAN RHEINMETALL VEHICLES, LLC",697186682.3,584648096.2,Department of the Army,Department of Defense,,STERLING HEIGHTS,MICHIGAN,,,,336992,,2350,6/26/2023,12/25/2027,32,PROSPECT,GAP,27,,,S4_EXPIRING,DISCOVERY
SPECIAL,SPECIAL AMMUNITION AND WEAPONS SYSTEM REQUIREMENT,W519TC25F0388,GLOBAL MILITARY PRODUCTS INC,639828024,639828024,Department of the Army,Department of Defense,,TAMPA,FLORIDA,,,,332993,,1095,9/23/2025,7/10/2027,32,PROSPECT,GAP,0,,,S4_EXPIRING,DISCOVERY
MAC,IGF::OT::IGF A/B MAC JURISDICTION J,HHSM5002017M0001Z,"PALMETTO GBA, LLC",574722855.2,496460551.2,Centers for Medicare and Medicaid Services,Department of Health and Human Services,,COLUMBIA,SOUTH CAROLINA,,,,524114,,G007,9/8/2017,8/14/2026,32,PROSPECT,GAP,0,,,S4_EXPIRING,DISCOVERY
FY26,FY26 FUNDING MEDICAL DISABILITY EXAMINATIONS,36C10X26N0036,"VETERANS EVALUATION SERVICES, INC",566164541.2,566164541.2,Department of Veterans Affairs,Department of Veterans Affairs,,HOUSTON,TEXAS,,,,621111,,Q403,1/1/2026,12/31/2026,32,PROSPECT,GAP,0,,,S4_EXPIRING,DISCOVERY
GUARD,GUARD SERVICES FOR DOS PHYSICAL FACILITIES CONUS AND OCONUS.,19AQMM21C0066,"INTER-CON SECURITY SYSTEMS, INC.",564594967.5,563941549.5,Department of State,Department of State,,PASADENA,CALIFORNIA,,,,561612,,R430,11/1/2021,10/31/2026,32,PROSPECT,GAP,0,,,S4_EXPIRING,DISCOVERY
THIS,"THIS IS A SBIR III CONTRACT IN SUPPORT OF THE DOD, STEMMING FROM PREVIOUS SBIR PHASE I & II TOPICS INCLUDING AF06-016, MDA09-021, N05-039, N07-010, A06-035 AND OSD07-CR4. PSC CODE AC62 ENDED PER PSC MANUAL EFFECTIVE OCT 2020. REPLACING WITH PSC AC32.",47QFCA21C0024,FRONTIER TECHNOLOGY INC,553508440,262645030.2,Federal Acquisition Service,General Services Administration,,BEAVERCREEK,OHIO,,,,541715,,AC32,9/22/2021,9/21/2026,32,PROSPECT,GAP,0,,,S4_EXPIRING,DISCOVERY
ENTERPRISE,ENTERPRISE CLOUD CAPACITY - AMAZON WEB SERVICES,36C10B22F0207,"FOUR POINTS TECHNOLOGY, L.L.C.",521500073.5,448705147.5,Department of Veterans Affairs,Department of Veterans Affairs,,CHANTILLY,VIRGINIA,,,,541519,,DB10,8/3/2022,2/2/2027,32,PROSPECT,GAP,0,,,S4_EXPIRING,DISCOVERY
T408,T408 ENGINES,N0001923C0013,GENERAL ELECTRIC COMPANY,519476928.2,673140164.3,Department of the Navy,Department of Defense,,LYNN,MASSACHUSETTS,,,,336412,,2850,4/26/2023,6/18/2027,32,PROSPECT,GAP,0,,,S4_EXPIRING,DISCOVERY
PYS,CG PYS CONTRACT AWARD,N0002420C4203,HUNTINGTON INGALLS INCORPORATED,453360308.6,184244236.2,Department of the Navy,Department of Defense,,PASCAGOULA,MISSISSIPPI,,,,336611,,1905,12/20/2019,12/31/2027,32,PROSPECT,GAP,60,,,S4_EXPIRING,DISCOVERY
PATIENT,IGF::CT::IGF PATIENT CENTERED COMMUNITY CARE (PCCC).  EXPAND PROVIDER ELIGIBILITY FOR CHOICE AUTHORIZATIONS.,VA79117J0004,TRIWEST HEALTHCARE ALLIANCE CORP,421351174.9,421351174.9,Department of Veterans Affairs,Department of Veterans Affairs,,GOLDEN,COLORADO,,,,621111,,Q999,10/1/2016,3/31/2026,32,PROSPECT,GAP,0,,,S4_EXPIRING,DISCOVERY
OPERATION,OPERATION AND MAINTENANCE OF THE MADRID DEEP SPACE COMMUNICATIONS COMPLEX.,NNN05AA02C,INSTITUTO NACIONAL DE TECNICA AEROESPACIAL ESTEBAN TERRADAS MDE,412393152.5,412393152.5,,,,,,,,,561210,,M127,10/1/2005,5/16/2026,32,PROSPECT,GAP,0,,,S4_EXPIRING,DISCOVERY
DESIGN,DESIGN AND CONSTRUCTION OF THE TECHNOLOGY BUILDINGS 2 & 3 WITH PARKING GARAGES,15F06723F0000010,BRASFIELD & GORRIE LLC,406792533,406168839,Federal Bureau of Investigation,Department of Justice,,BIRMINGHAM,ALABAMA,,,,236220,,Y1AA,11/28/2022,6/16/2026,32,PROSPECT,GAP,0,,,S4_EXPIRING,DISCOVERY
EXPRESS,EXPRESS REPORT FOR 3QTR FY2021 UNDER PC3 CONTRACT,36C10G21K0057,TRIWEST HEALTHCARE ALLIANCE CORP,392920128.3,392920128.3,Department of Veterans Affairs,Department of Veterans Affairs,,PHOENIX,ARIZONA,,,,621111,,Q999,4/1/2021,3/31/2026,32,PROSPECT,GAP,0,,,S4_EXPIRING,DISCOVERY
WIDE,"WIDE FIELD INFRARED SURVEY TELESCOPE (WFIRST) CORONAGRAPH  THE CONTRACT IS THE SPONSORING AGREEMENT BETWEEN THE NATIONAL AERONAUTICS AND SPACE ADMINISTRATION (NASA) AND THE CALIFORNIA INSTITUTE OF TECHNOLOGY (CONTRACTOR), A PRIVATE NONPROFIT EDUCATIONAL INSTITUTION, WHICH ESTABLISHES THE RELATIONSHIP FOR THE OPERATION OF THE FEDERALLY FUNDED RESEARCH AND DEVELOPMENT CENTER (FFRDC) KNOWN AS THE JET PROPULSION LABORATORY. THE CONTRACTOR, JPL, IS REQUIRED TO PERFORM WORK THAT IS DESIGNATED IN TASK",80NM0018F0652,CALIFORNIA INSTITUTE OF TECHNOLOGY,391511913,387694155,National Aeronautics and Space Administration,National Aeronautics and Space Administration,,PASADENA,CALIFORNIA,,,,541715,,AR22,10/1/2018,1/31/2027,32,PROSPECT,GAP,0,,,S4_EXPIRING,DISCOVERY
SECTION,"SECTION 4(A). THE PURPOSE OF THIS REQUIREMENT IS TO OBTAIN COMPREHENSIVE SUPPORT TO REMOVAL OPERATIONS (CSRO) SUPPORT SERVICES FOR THE OFFICE FOR STRATEGY, POLICY, AND PLANS (PLCY).",70RDA225FR0000018,SALUS WORLDWIDE SOLUTIONS CORP.,381682347.2,372807307.2,Office of Procurement Operations,Department of Homeland Security,,ARLINGTON,VIRGINIA,,,,481211,,V119,5/22/2025,5/21/2026,32,PROSPECT,GAP,0,,,S4_EXPIRING,DISCOVERY
PERFORM,PERFORM AND PROVIDE SUPPORT FOR A VARIETY OF TASK AIMED TO LOWER IMPROPER PAYMENT RATES,75FCMC18F0001,"NORIDIAN HEALTHCARE SOLUTIONS, LLC",374206367.9,370528425.5,Centers for Medicare and Medicaid Services,Department of Health and Human Services,,FARGO,NORTH DAKOTA,,,,541990,,Q403,2/23/2018,6/30/2026,32,PROSPECT,GAP,0,,,S4_EXPIRING,DISCOVERY
OTHER,"IGF::OT::IGF OTHER FUNCTION, CUSTOMER CONTACT CENTER (CCC)",GS03Q17DSC0003,INSPIRITEC INC,362866748.3,236582371.4,Federal Acquisition Service,General Services Administration,,SEASIDE,CALIFORNIA,,,,561422,,D321,8/1/2017,5/31/2026,32,PROSPECT,GAP,0,,,S4_EXPIRING,DISCOVERY
PROVIDES,"PROVIDES AN UNLIMITED LICENSE AGREEMENT FOR A CORE SET OF ORACLE TECHNOLOGY PRODUCTS, DATABASE PRODUCTS AND COMMERCIAL SOFTWARE MAINTENANCE SUPPORT",FA877122F0022,"EMERGENT, LLC",345370000,345370000,Department of the Air Force,Department of Defense,,MONTGOMERY,ALABAMA,,,,541519,,7A21,2/28/2022,2/27/2027,32,PROSPECT,GAP,0,,,S4_EXPIRING,DISCOVERY
CISCO,CISCO GEMSS,HC108422F0162,"IRON BOW TECHNOLOGIES, LLC",334987680,241670385.5,Defense Information Systems Agency,Department of Defense,,HERNDON,VIRGINIA,,,,541519,,DA10,7/7/2022,6/20/2027,32,PROSPECT,GAP,0,,,S1_BIG_FISH,DISCOVERY
OVERSEAS,OVERSEAS CONTRACT,72012118C00004,DOMESTIC AWARDEES (UNDISCLOSED),325000000,320485843.2,Agency for International Development,Agency for International Development,,,,,,,541990,,R499,8/23/2018,8/26/2026,32,PROSPECT,GAP,42,,,S4_EXPIRING,DISCOVERY
SURFACE,SURFACE WATER AND OCEAN TOPOGRAPHY (SWOT) 83-16443,80NM0018F0561,CALIFORNIA INSTITUTE OF TECHNOLOGY,316070719,295606614,National Aeronautics and Space Administration,National Aeronautics and Space Administration,,PASADENA,CALIFORNIA,,,,541715,,AR22,10/1/2018,9/30/2026,32,PROSPECT,GAP,0,,,S4_EXPIRING,DISCOVERY
PATIENT,IGF::CT::IGF PATIENT CENTERED COMMUNITY CARE (PCCC). TASK ORDER TO FUND OPTION YEAR 2.,VA79116J0004,TRIWEST HEALTHCARE ALLIANCE CORP,311995411.3,310995411.3,,,,PHOENIX,ARIZONA,,,,621111,,Q999,10/1/2015,3/31/2026,32,PROSPECT,GAP,0,,,S4_EXPIRING,DISCOVERY
OPERATIONS,OPERATIONS AND MAINTENANCE (O&M) TASK ORDER FOR STUDENT LOAN SERVICING IN ACCORDANCE WITH THE REQUIREMENTS OF THE USDS CONTRACT. ALL WORK AND DELIVERABLES PROVIDED MUST BE IN ACCORDANCE WITH THE REQUIREMENTS OF THE CONTRACT FOR THE TASK ORDER.,91003124F0317,MAXIMUS EDUCATION LLC,302876524.1,302876524.1,Department of Education,Department of Education,,WASHINGTON,DISTRICT OF COLUMBIA,,,,522390,,R710,7/1/2024,6/20/2026,32,PROSPECT,GAP,0,,,S4_EXPIRING,DISCOVERY
ENTERPRISE,ENTERPRISE APPLICATION SERVICES,12314421F0279,SYNERGY BUSINESS INNOVATION & SOLUTIONS INC.,302614251.6,273416775.8,Office of the Chief Financial Officer,Department of Agriculture,,FORT COLLINS,COLORADO,,,,541512,,DA10,4/23/2021,12/6/2026,32,PROSPECT,GAP,0,,,S4_EXPIRING,DISCOVERY
CONTRACTOR,"THE CONTRACTOR IS HEREBY TASKED TO DELIVER NSMV V TO THE GOVERNMENT (IN ACCORDANCE WITH THE TERMS AND CONDITIONS OF THE CONTRACT) AT A FIRM-FIXED PRICE OF $301,711,505.00. THIS DELIVERY ORDER ALSO PROVIDES AND OBLIGATES THE FUND ($301,711,505.00) FO",693JF722F000044,"TOTE SERVICES, LLC",301711505,301711505,Maritime Administration,Department of Transportation,,JACKSONVILLE,FLORIDA,,,,336611,,1925,4/14/2022,4/24/2026,32,PROSPECT,GAP,0,,,S4_EXPIRING,DISCOVERY
NAVAL,NAVAL REACTORS,N0002420C2114,ELECTRIC BOAT CORPORATION,297319041,184191321,Department of the Navy,Department of Defense,,GROTON,CONNECTICUT,,,,541330,,4470,9/30/2020,9/30/2027,32,PROSPECT,GAP,24,,,S4_EXPIRING,DISCOVERY
PATIENT,IGF::CT::IGF PATIENT CENTERED COMMUNITY CARE (PCCC). OY4 RENEWAL,VA79118J0002,TRIWEST HEALTHCARE ALLIANCE CORP,276073264.7,276071711,Department of Veterans Affairs,Department of Veterans Affairs,,DENVER,COLORADO,,,,621111,,Q999,10/1/2017,3/31/2026,32,PROSPECT,GAP,0,,,S4_EXPIRING,DISCOVERY
CISA,CISA PROGRAM MANAGEMENT SUPPORT SERVICES PMSS AWARD,47QFRA21F0038,MIRACLE SYSTEMS LLC,270945373.1,224083959,Federal Acquisition Service,General Services Administration,,ARLINGTON,VIRGINIA,,,,541330,,R499,9/27/2021,9/26/2026,32,PROSPECT,GAP,0,,,S4_EXPIRING,DISCOVERY
THIS,"THIS TASK ORDER IS FOR CONTRACTOR-PROVIDED PROGRAMMATIC/BUSINESS MANAGEMENT SERVICES, ENGINEERING SUPPORT SERVICES, AND ACQUISITION/ADMINISTRATIVE SUPPORT SERVICES.",W56KGY22F0057,MAG DS CORP,270586136.5,180441794.3,Department of the Army,Department of Defense,,TINTON FALLS,NEW JERSEY,,,,541712,,R425,6/28/2022,6/27/2027,32,PROSPECT,GAP,30,,,S4_EXPIRING,DISCOVERY
ADVANCED,ADVANCED MULTI-MISSION OPERATING SYSTEM (AMMOS) (93-107877),80NM0020F0080,CALIFORNIA INSTITUTE OF TECHNOLOGY,253070967,215338031,National Aeronautics and Space Administration,National Aeronautics and Space Administration,,PASADENA,CALIFORNIA,,,,541715,,AR22,8/27/2020,9/27/2026,32,PROSPECT,GAP,0,,,S4_EXPIRING,DISCOVERY
PROJECT,PROJECT LIFT VCS LETTER CONTRACT FOR MODERNIZATION OF FAA VOICE SWITCHED IN THE NAS WHICH INCLUDES REPLACEMENT OF VOICE SYSTEMS DEPENDENT ON TDM TECHNOLOGY TO SYSTEMS THAT ARE IP CAPABLE.,693KA825C00010,"Rohde & Schwarz USA, Inc.",246377099.2,246377099.2,Federal Aviation Administration,Department of Transportation,,COLUMBIA,MARYLAND,,,,334210,,7G21,5/12/2025,3/31/2026,32,PROSPECT,GAP,0,,,S4_EXPIRING,DISCOVERY
CARE,CARE CONTACT CENTER,19AQMM22C0031,"GREAT HILL SOLUTIONS, LLC",244482733.1,149583564,Department of State,Department of State,,CHANTILLY,VIRGINIA,,,,541611,,R499,12/15/2021,12/14/2026,32,PROSPECT,GAP,0,,,S4_EXPIRING,DISCOVERY
DESIGN,DESIGN BUILD CONSTRUCTION OF THE DOHA NEW EMBASSY COMPOUND,19AQMM21C0155,AMERICAN INTERNATIONAL CONTRACTORS (SPECIAL PROJECTS) INC.,241046810.4,241046810.4,Department of State,Department of State,,,,,,,236220,,Y1AA,9/3/2021,4/27/2026,32,PROSPECT,GAP,0,,,S4_EXPIRING,DISCOVERY
DESIGN-BID-,DESIGN-BID-BUILD CONSTRUCTION SERVICES FOR THE ATHENS COMPOUND MAJOR REHAB IN GREECE.IGF::OT::IGF,SAQMMA17C0314,"Caddell Construction Co. (DE), LLC",231706807.1,231706807.1,Department of State,Department of State,,,,,,,236220,,Y1AA,9/29/2017,3/21/2026,32,PROSPECT,GAP,0,,,S4_EXPIRING,DISCOVERY
OPERATIONS,OPERATIONS AND MAINTENANCE (O&M) TASK ORDER FOR STUDENT LOAN SERVICING IN ACCORDANCE WITH THE REQUIREMENTS OF THE USDS CONTRACT. ALL WORK AND DELIVERABLES PROVIDED MUST BE IN ACCORDANCE WITH THE REQUIREMENTS OF THE CONTRACT FOR THE TASK ORDER.,91003124F0319,"EDFINANCIAL SERVICES, LLC",212811354.4,212811354.4,Department of Education,Department of Education,,WASHINGTON,DISTRICT OF COLUMBIA,,,,522390,,R710,7/1/2024,6/20/2026,32,PROSPECT,GAP,0,,,S4_EXPIRING,DISCOVERY
MS-110,MS-110 TAIWAN BASIC DELIVERY  ORDER,FA869122F1000,GOODRICH CORPORATION,208735799.9,205068648.9,Department of the Air Force,Department of Defense,,WESTFORD,MASSACHUSETTS,,,,336413,,1680,12/21/2021,11/30/2027,32,PROSPECT,GAP,92,,,S4_EXPIRING,DISCOVERY
SCAT,SCAT 1 ENGINEERING PROFESSIONAL AND ADMINISTRATIVE SUPPORT SERVICES (EPASS) FOR INTELLIGENCE SURVEILLANCE RECONNAISSANCE/SPECIAL OPERATIONS FORCES (ISR/SOF) DIRECTORATE MEDIUM ALTITUDE UNMANNED AIRCRAFT SYSTEMS (MAUAS) DIVISION (AFLCMC/WII),FA862222F8449,"SUMARIA SYSTEMS, LLC",203275686.7,175550678,Department of the Air Force,Department of Defense,,WAKEFIELD,MASSACHUSETTS,,,,541712,,R425,6/1/2022,2/28/2027,32,PROSPECT,GAP,12,,,S4_EXPIRING,DISCOVERY
INFORMATION,INFORMATION TECHNOLOGY SUPPORT SERVICES (ITSS),70CTD022FR0000018,INSERSO CORPORATION,201427732.6,154917513.1,U.S. Immigration and Customs Enforcement,Department of Homeland Security,,VIENNA,VIRGINIA,,,,541512,,7.00E+20,2/3/2022,2/2/2027,32,PROSPECT,GAP,0,,,S4_EXPIRING,DISCOVERY
TECHNICAL,TECHNICAL AND OPERATION SUPPORT SERVICES,15A00021FAQ000087,"EAGLE HARBOR, LLC",198926361.2,198926361.2,"Bureau of Alcohol, Tobacco, Firearms and Explosives Acquisition and Property Management Division",Department of Justice,,WASHINGTON,DISTRICT OF COLUMBIA,,,,518210,,7C21,3/30/2021,3/29/2026,32,PROSPECT,GAP,0,,,S4_EXPIRING,DISCOVERY
B-2,B-2 TRAINING SYSTEM,FA862119F6250,CAE USA Inc.,194925086.1,321230856.9,Department of the Air Force,Department of Defense,,ARLINGTON,TEXAS,,,,336413,,R412,12/27/2018,6/30/2027,32,PROSPECT,GAP,24,,,S4_EXPIRING,DISCOVERY
SUSTAINMENT,"SUSTAINMENT SUPPORT (TASK ORDER 3) UNDER THE OPERATIONS, MAINTENANCE, AND SUSTAINMENT (OMS) IDIQ",1332KP21FNEEB0011,"Earth Resources Technology, LLC",193927261,190020184.1,National Oceanic and Atmospheric Administration,Department of Commerce,,SUITLAND,MARYLAND,,,,541519,,DA01,3/29/2021,9/30/2026,32,PROSPECT,GAP,0,,,S4_EXPIRING,DISCOVERY
DOJ,DOJ SECURITY GUARD SERVICES,15JPSS19F00000661,PARAGON SYSTEMS INC,189481841.1,185618666.4,"Offices, Boards and Divisions",Department of Justice,,HERNDON,VIRGINIA,,,,561612,,R430,9/29/2019,3/31/2026,32,PROSPECT,GAP,0,,,S4_EXPIRING,DISCOVERY
PROGRAM,PROGRAM SUPPORT SERVICES (CPSS) PROGRAMMATIC SUBJECT MATTER EXPERT (SME) IDIQ TASK ORDER FOR MARSHALL SPACE FLIGHT CENTER (MSFC).,80MSFC21FA009,"Manufacturing Technical Solutions, LLC",188461782.7,146583414.8,National Aeronautics and Space Administration,National Aeronautics and Space Administration,,HUNTSVILLE,ALABAMA,,,,541715,,R408,9/1/2021,8/31/2026,32,PROSPECT,GAP,0,,,S4_EXPIRING,DISCOVERY
CONSTRUCTION,"CONSTRUCTION MANAGER AS CONSTRUCTOR (CMC) SERVICES FOR THE MODERNIZATION AND EXPANSION OF THE CALEXICO WEST LAND PORT OF ENTRY PHASE 2A, CALEXICO, CALIFORNIA.",47PK0119C0009,Hensel Phelps Construction Co.,188297215,188297215,Public Buildings Service,General Services Administration,,CALEXICO,CALIFORNIA,,,,236220,,Y1AZ,9/27/2019,7/31/2026,32,PROSPECT,GAP,0,,,S4_EXPIRING,DISCOVERY
C103754,"C103754 - VRC LABORATORY EXPANSION, BUILDING 40A NORTH TOWER, BETHESDA",75N99022F00002,HENSEL PHELPS CONSTRUCTION CO,180495799,180495799,National Institutes of Health,Department of Health and Human Services,,BETHESDA,MARYLAND,,,,236220,,Y1JZ,11/24/2021,4/27/2026,32,PROSPECT,GAP,0,,,S4_EXPIRING,DISCOVERY
DATALINK,DATALINK,75FCMC21F0067,ACUMEN LLC,175834609.5,167339084.5,Centers for Medicare and Medicaid Services,Department of Health and Human Services,,BURLINGAME,CALIFORNIA,,,,541611,,R499,9/30/2021,9/29/2026,32,PROSPECT,GAP,0,,,S4_EXPIRING,DISCOVERY
VETTING,VETTING SERVIVCES,70B04C20F00001314,UNISSANT INC.,175314365.4,153918316.5,U.S. Customs and Border Protection,Department of Homeland Security,,HERNDON,VIRGINIA,,,,541512,,D305,9/30/2020,9/27/2026,32,PROSPECT,GAP,0,,,S4_EXPIRING,DISCOVERY
PHYSICAL,"IGF::OT::IGF PHYSICAL SECURITY INFORMATION MANAGEMENT SYSTEM (PSIM) INCLUDING IT, SERVICES, SOFTWARE, HARDWARE AND TRAINING FOR WORLDWIDE SYSTEM DEPLOYMENT. HYBRID FIRM, FIXED PRICE (APPROXIMATELY 47%) TIME AND MATERIALS (APPROXIMATELY 53%)",SAQMMA15C0138,COMMUNICATIONS RESOURCE INC,174610310.2,161228261.3,,,,MCLEAN,VIRGINIA,,,,541511,,D318,9/28/2015,8/31/2026,32,PROSPECT,GAP,0,,,S4_EXPIRING,DISCOVERY
HISPANIC,HISPANIC HEALTH INSURANCE MARKETPLACE PUBLIC EDUCATION AND OUTREACH,75FCMC20F0062,"ELEVATION, LTD.",169650000,148150000,Centers for Medicare and Medicaid Services,Department of Health and Human Services,,WASHINGTON,DISTRICT OF COLUMBIA,,,,541810,,R426,7/10/2020,7/9/2026,32,PROSPECT,GAP,0,,,S4_EXPIRING,DISCOVERY
PROGRAM,PROGRAM SECURITY SERVICES,HR001122C0073,SYSTEM HIGH CORPORATION,166476462,116807281,Defense Advanced Research Projects Agency,Department of Defense,,ARLINGTON,VIRGINIA,,,,541690,,R499,3/21/2022,3/20/2027,32,PROSPECT,GAP,0,,,S1_BIG_FISH,DISCOVERY
SURFACE,SURFACE BIOLOGY & GEOLOGY (SBG): PRE-PHASE A AND PHASE A PLAN,80NM0021F0036,CALIFORNIA INSTITUTE OF TECHNOLOGY,164691659,164271252,National Aeronautics and Space Administration,National Aeronautics and Space Administration,,PASADENA,CALIFORNIA,,,,541715,,AR12,6/16/2021,9/28/2026,32,PROSPECT,GAP,0,,,S4_EXPIRING,DISCOVERY
OPERATIONS,OPERATIONS AND MAINTENANCE (O&M) TASK ORDER FOR STUDENT LOAN SERVICING IN ACCORDANCE WITH THE REQUIREMENTS OF THE USDS CONTRACT.,91003125F0044,NELNET SERVICING LLC,162115941.7,159715941.7,Department of Education,Department of Education,,LINCOLN,NEBRASKA,,,,522390,,R710,10/1/2025,3/31/2026,32,PROSPECT,GAP,0,,,S4_EXPIRING,DISCOVERY
PASSPORT,PASSPORT CARD STOCK AND RELATED EQUIPMENT AND SERVICESIGF::OT::IGF,SAQMMA17C0177,IDEMIA NATIONAL SECURITY SOLUTIONS LLC,159271797.9,158795930.7,Department of State,Department of State,,WASHINGTON,DISTRICT OF COLUMBIA,,,,339999,,7050,6/1/2017,3/29/2026,32,PROSPECT,GAP,0,,,S4_EXPIRING,DISCOVERY
DAIRCM,"DAIRCM EMD - NON-RECURRING ENGINEERING FOR MODIFICATION DESIGN, DEVELOPMENT, INTEGRATION, TEST, LOGISTICS AND TRAINING",N0001920C0041,"DRS SYSTEMS, INC",30577618.73,174788232.7,Department of the Navy,Department of Defense,,DALLAS,TEXAS,,,,334511,,AC64,6/11/2020,3/31/2027,32,PROSPECT,GAP,20,,,S4_EXPIRING,DISCOVERY
REU,REU PRODUCTION LOTS 7-11 OP 5 USA/FMS,W58RGZ20F0464,LONGBOW LLC,21710471.21,298531206,Department of the Army,Department of Defense,,ORLANDO,FLORIDA,,,,336413,,1680,9/3/2020,4/30/2027,32,PROSPECT,GAP,37,,,S4_EXPIRING,DISCOVERY
FY21,FY21 CCA PRODUCTION SHUT DOWN,N0003021C0008,"THE CHARLES STARK DRAPER LABORATORY, INC.",5826197,396709566,Department of the Navy,Department of Defense,,CAMBRIDGE,MASSACHUSETTS,,,,334511,,1427,2/26/2021,7/30/2027,32,PROSPECT,GAP,30,,,S4_EXPIRING,DISCOVERY
