Job Source,Job Number,Job Title,Job Location,Security Clearance,Matched Programs,Prime Contractors,Program Locations,Target Titles (Bullhorn),Search Keywords (ZoomInfo),LinkedIn Search,Match Score,Match Reasons
Insight Global,480003,TRANSPORTATION AND SHIPPING COORDINATOR,"Mclean, Virginia",,Defense Enterprise Office 365 Migration / DoD365; Global Service Management – Operations II; DISA Supply Chain Mgmt (GDIT),Leidos; GDIT; Microsoft,"MCLEAN, VIRGINIA; SPRINGFIELD, VIRGINIA; MORGANTOWN, WEST VIRGINIA","Hiring Manager, Program Manager, Team Lead, Recruiter","TRANSPORTATION AND SHIPPING COORDINATOR, None, federal contractor","""Hiring Manager"" AND (Leidos OR Microsoft) AND (Mclean)",10,Keywords: office; State: VA; City: MCLEAN
Insight Global,480203,TS/SCI CI POLY SOFTWARE ENGINEER,"Colorado Springs, Colorado",TS/SCI Poly,"Army Enterprise Service Management Framework; EDIS – Engineering, Development, Integration & Sustainment; Engineering Development & Integration Support",SAIC (via Engility); SAIC,"COLORADO SPRINGS, COLORADO","Engineering Manager, Technical Lead, Program Manager, Hiring Manager","TS/SCI CI POLY SOFTWARE ENGINEER, TS/SCI Poly, federal contractor","""Engineering Manager"" AND (SAIC) AND (Colorado Springs)",12,"Keywords: framework, service; State: CO; City: COLORADO SPRINGS"
Insight Global,461070,TS/SCI C++ SOFTWARE ENGINEER,"Redondo Beach, California",TS/SCI,Next-Gen OPIR (Ground + Payload); NextGen GEO (Network/Ops); Next-Generation Overhead Persistent Infrared,Northrop Grumman,"REDONDO BEACH, CALIFORNIA","Engineering Manager, Technical Lead, Program Manager, Hiring Manager","TS/SCI C++ SOFTWARE ENGINEER, TS/SCI, federal contractor","""Engineering Manager"" AND (Northrop Grumman) AND (Redondo Beach)",10,Keywords: ground; State: CA; City: REDONDO BEACH
Insight Global,478425,TS/SCI SYSTEM ADMINISTRATOR,"Grand Forks, North Dakota",TS/SCI,Global Network Operations (DISA GSM-O II); Global Network Operations II (PTS Subcontract); Global Service Management – Operations II,Leidos,"HOUSTON, TEXAS; MORGANTOWN, WEST VIRGINIA","Hiring Manager, Program Manager, Team Lead, Recruiter","TS/SCI SYSTEM ADMINISTRATOR, TS/SCI, federal contractor","""Hiring Manager"" AND (Leidos) AND (Grand Forks)",6,"Keywords: global, network, operations"
Insight Global,481705,SYSTEMS ENGINEER - LEVEL 3,"Anaheim, California",Secret,GBS (Global Broadcast Service); Global Broadcast Service; DIA Information Systems Engineering Office,L3Harris; L3Harris (historical); Leidos,"FREDERICK, MARYLAND; ANAHEIM, CALIFORNIA","Engineering Manager, Technical Lead, Program Manager, Hiring Manager","SYSTEMS ENGINEER - LEVEL 3, Secret, federal contractor","""Engineering Manager"" AND (L3Harris OR L3Harris (historical)) AND (Anaheim)",12,"Keywords: service, global; State: CA; City: ANAHEIM"
Insight Global,464235,SR NETWORK DESIGN ENGINEER,"'Aiea, Hawaii",Secret,Global Network Operations (DISA GSM-O II); Global Network Operations II (PTS Subcontract); Global Service Management – Operations II,Leidos,"HOUSTON, TEXAS; MORGANTOWN, WEST VIRGINIA","Engineering Manager, Technical Lead, Program Manager, Hiring Manager","SR NETWORK DESIGN ENGINEER, Secret, federal contractor","""Engineering Manager"" AND (Leidos) AND ('Aiea)",6,"Keywords: global, network, operations"
Insight Global,481743,SECRET KNOWLEDGE MANAGEMENT SPECIALIST,"Suffolk, Virginia",Secret,Global Service Management – Operations II; DLA J6 Enterprise Technology Services; JGLASS II – Shared Services,Peraton / SAIC (indicative); CACI; Deloitte; SAIC; GDIT; Leidos,"STERLING, VIRGINIA; MC LEAN, VIRGINIA; MORGANTOWN, WEST VIRGINIA","Hiring Manager, Program Manager, Team Lead, Recruiter","SECRET KNOWLEDGE MANAGEMENT SPECIALIST, Secret, federal contractor","""Hiring Manager"" AND (CACI; Deloitte; SAIC; GDIT OR Leidos) AND (Suffolk)",8,"Keywords: service, global, operations"
Insight Global,479588,DATA ENGINEER,"Scott Air Force Base, Illinois",Top Secret,DIA Information Systems Engineering Office; MSS Smart Systems (Palantir contract); Data Center & Cloud Optimization,Palantir; Peraton / Leidos (indicative); Leidos,"PALO ALTO, CALIFORNIA; FREDERICK, MARYLAND; MC LEAN, VIRGINIA","Engineering Manager, Technical Lead, Program Manager, Hiring Manager","DATA ENGINEER, Top Secret, federal contractor","""Engineering Manager"" AND (Palantir OR Leidos) AND (Scott Air Force Base)",6,"Keywords: engineering, information, systems"
Insight Global,479717,SECRET NETWORK ADMINISTRATOR II (MIDNIGHTS),"Montgomery, Alabama",Secret,"Project Convergence (JADC2 Experiments); NGEN-R SMIT – Navy Next Generation Enterprise Network (Service Management, Integration & Transport); Air Force Advanced Battle Management System","Multiple: SAIC, Leidos, Booz Allen Hamilton; SAIC; Leidos","HERNDON, VIRGINIA; MORGANTOWN, WEST VIRGINIA; COLORADO SPRINGS, COLORADO","Hiring Manager, Program Manager, Team Lead, Recruiter","SECRET NETWORK ADMINISTRATOR II (MIDNIGHTS), Secret, federal contractor","""Hiring Manager"" AND (SAIC OR Leidos) AND (Montgomery)",10,Acronym: PC
Insight Global,483603,DATA ANALYST,"O'fallon, Illinois",Secret,NARSIL – Advanced Research for System Intelligence & Learning; Global Service Management – Operations II; SOCOM Digital Applications Data Science Support,Peraton; Iron Eagle X (now GDIT); Leidos,"HERNDON, VIRGINIA; SPRINGFIELD, VIRGINIA; MORGANTOWN, WEST VIRGINIA","Analytics Manager, Program Manager, Team Lead, Hiring Manager","DATA ANALYST, Secret, federal contractor","""Analytics Manager"" AND (Peraton OR Leidos) AND (O'fallon)",8,"Keywords: learning, research, advanced"
Insight Global,479003,FULL STACK ENGINEER,"Arlington, Virginia",TS/SCI,Army IT Enterprise Mgmt Systems Solution; Defense Satellite Communications Modernization; DIA Battlefield Information Networks / BICES-X,CACI,"ARLINGTON, VIRGINIA","Engineering Manager, Technical Lead, Program Manager, Hiring Manager","FULL STACK ENGINEER, TS/SCI, federal contractor","""Engineering Manager"" AND (CACI) AND (Arlington)",10,Keywords: systems; State: VA; City: ARLINGTON
Insight Global,482779,PRE-DEPLOYMENT MANAGER,"Frederick, Maryland",,DIA Information Systems Engineering Office; DIA IT Sustainment & Engineering Office; Global Command and Control System – Joint (Variant),Leidos,"FREDERICK, MARYLAND","Director, VP, Senior Manager, Program Director","PRE-DEPLOYMENT MANAGER, None, federal contractor","""Director"" AND (Leidos) AND (Frederick)",16,"Keywords: engineering, office, information; State: MD; City: FREDERICK"
Insight Global,477171,SOFTWARE ARCHITECT,"Alexandria, Virginia",Secret,Air Force Advanced Battle Management System; Army IT Enterprise Mgmt Systems Solution; Battlefield Information Collection & Exploitation System,"Multiple: SAIC, Leidos, Booz Allen Hamilton; GDIT; CACI","SPRINGFIELD, VIRGINIA; HERNDON, VIRGINIA; ARLINGTON, VIRGINIA","Chief Architect, Technical Director, Engineering VP, CTO","SOFTWARE ARCHITECT, Secret, federal contractor","""Chief Architect"" AND (Multiple: SAIC, Leidos, Booz Allen Hamilton OR CACI) AND (Alexandria)",7,"Keywords: system, management; State: VA"
Insight Global,483240,TSSCI TIER 1 NETWORK MONITOR,"Beale AFB, California",TS/SCI,"GBS (Global Broadcast Service); Global Broadcast Service; NGEN-R SMIT – Navy Next Generation Enterprise Network (Service Management, Integration & Transport)",L3Harris; L3Harris (historical); Leidos,"MORGANTOWN, WEST VIRGINIA; ANAHEIM, CALIFORNIA","Hiring Manager, Program Manager, Team Lead, Recruiter","TSSCI TIER 1 NETWORK MONITOR, TS/SCI, federal contractor","""Hiring Manager"" AND (L3Harris OR L3Harris (historical)) AND (Beale AFB)",7,"Keywords: service, global; State: CA"
Insight Global,477104,SHIPWRIGHT,"Kings Bay, Georgia",,DISA Global Service Mgmt – Ops II; GBS (Global Broadcast Service); Global Broadcast Service,L3Harris; L3Harris (historical); Leidos,"ANAHEIM, CALIFORNIA; MORGANTOWN, WEST VIRGINIA","Hiring Manager, Program Manager, Team Lead, Recruiter","SHIPWRIGHT, None, federal contractor","""Hiring Manager"" AND (L3Harris (historical) OR Leidos) AND (Kings Bay)",4,"Keywords: service, global"
Insight Global,436063,PROJECT MANAGER,"Madison, Alabama",,DIA Information Systems Engineering Office; Global Service Management – Operations II; Global Solutions Management – Operations II,Leidos,"HOUSTON, TEXAS; FREDERICK, MARYLAND; MORGANTOWN, WEST VIRGINIA","Director, VP, Senior Manager, Program Director","PROJECT MANAGER, None, federal contractor","""Director"" AND (Leidos) AND (Madison)",6,"Keywords: engineering, information, systems"
Insight Global,296131,SECRET CLEARED SOLUTIONS ARCHITECT,"Saint Louis, Missouri",Secret,Global Solutions Management – Operations II; Army Enterprise Service Management Framework; Army IT Enterprise Mgmt Systems Solution,CACI; SAIC; Leidos,"HOUSTON, TEXAS; ARLINGTON, VIRGINIA; COLORADO SPRINGS, COLORADO","Chief Architect, Technical Director, Engineering VP, CTO","SECRET CLEARED SOLUTIONS ARCHITECT, Secret, federal contractor","""Chief Architect"" AND (SAIC OR Leidos) AND (Saint Louis)",6,"Keywords: global, management, solutions"
Insight Global,461572,SENIOR INTEGRATION SPECIALIST,"Manassas, Virginia",Top Secret,"Data Center & Cloud Optimization; NGEN-R SMIT – Navy Next Generation Enterprise Network (Service Management, Integration & Transport); Air Force Advanced Battle Management System","Peraton / Leidos (indicative); Multiple: SAIC, Leidos, Booz Allen Hamilton; Leidos","MC LEAN, VIRGINIA; HERNDON, VIRGINIA; MORGANTOWN, WEST VIRGINIA","Hiring Manager, Program Manager, Team Lead, Recruiter","SENIOR INTEGRATION SPECIALIST, Top Secret, federal contractor","""Hiring Manager"" AND (Peraton / Leidos (indicative) OR Leidos) AND (Manassas)",9,"Keywords: center, data, cloud; State: VA"
Insight Global,453512,SECRET APPLICATION DEVELOPER,"Fairfax, Virginia",Secret,Army IT Enterprise Mgmt Systems Solution; CMS Enterprise Cloud Infrastructure Services; Integrated Base Defense Security System,Leidos; Peraton / SAIC (indicative); CACI,"HERNDON, VIRGINIA; ARLINGTON, VIRGINIA; RESTON, VIRGINIA","Engineering Manager, Technical Lead, Program Manager, Hiring Manager","SECRET APPLICATION DEVELOPER, Secret, federal contractor","""Engineering Manager"" AND (Peraton / SAIC (indicative) OR CACI) AND (Fairfax)",9,"Keywords: enterprise, solution, systems; State: VA"
Insight Global,239458,EMBEDDED SOFTWARE ENGINEER,"Broomfield, Colorado",TS/SCI,"EDIS – Engineering, Development, Integration & Sustainment; Engineering Development & Integration Support; DIA Information Systems Engineering Office",SAIC (via Engility); SAIC; Leidos,"FREDERICK, MARYLAND; COLORADO SPRINGS, COLORADO","Engineering Manager, Technical Lead, Program Manager, Hiring Manager","EMBEDDED SOFTWARE ENGINEER, TS/SCI, federal contractor","""Engineering Manager"" AND (SAIC (via Engility) OR SAIC) AND (Broomfield)",7,"Keywords: engineering, development; State: CO"
Insight Global,483067,TSSCI CYBER ANALYST,"Hampton, Virginia",TS/SCI,Global Service Management – Operations II; Air Force Advanced Battle Management System; Battlefield Information Collection & Exploitation System,"Multiple: SAIC, Leidos, Booz Allen Hamilton; GDIT; Leidos","HERNDON, VIRGINIA; SPRINGFIELD, VIRGINIA; MORGANTOWN, WEST VIRGINIA","Analytics Manager, Program Manager, Team Lead, Hiring Manager","TSSCI CYBER ANALYST, TS/SCI, federal contractor","""Analytics Manager"" AND (Multiple: SAIC, Leidos, Booz Allen Hamilton OR Leidos) AND (Hampton)",8,"Keywords: service, global, operations"
Insight Global,481235,ISSO- TOP SECRET- ON SITE,"Oakton, Virginia",Top Secret,Air Force Advanced Battle Management System; Army IT Enterprise Mgmt Systems Solution; Battlefield Information Collection & Exploitation System,"Multiple: SAIC, Leidos, Booz Allen Hamilton; GDIT; CACI","SPRINGFIELD, VIRGINIA; HERNDON, VIRGINIA; ARLINGTON, VIRGINIA","Hiring Manager, Program Manager, Team Lead, Recruiter","ISSO- TOP SECRET- ON SITE, Top Secret, federal contractor","""Hiring Manager"" AND (Multiple: SAIC, Leidos, Booz Allen Hamilton OR CACI) AND (Oakton)",7,"Keywords: system, management; State: VA"
Insight Global,481938,CYBER SECURITY ENGINEER,"Groton, Connecticut",,Army Enterprise Service Management Framework; Protected Satcom & Tactical Waveform Communications; Global Service Management – Operations II,L3Harris; SAIC; Leidos,"MORGANTOWN, WEST VIRGINIA; COLORADO SPRINGS, COLORADO","Engineering Manager, Technical Lead, Program Manager, Hiring Manager","CYBER SECURITY ENGINEER, None, federal contractor","""Engineering Manager"" AND (L3Harris OR SAIC) AND (Groton)",9,"Keywords: service, enterprise, management; State: CO"
Insight Global,479788,SAFETY ENGINEER,"El Segundo, California",TS/SCI,GBS (Global Broadcast Service); Global Broadcast Service; DIA Information Systems Engineering Office,L3Harris; L3Harris (historical); Leidos,"FREDERICK, MARYLAND; ANAHEIM, CALIFORNIA","Engineering Manager, Technical Lead, Program Manager, Hiring Manager","SAFETY ENGINEER, TS/SCI, federal contractor","""Engineering Manager"" AND (L3Harris OR L3Harris (historical)) AND (El Segundo)",7,"Keywords: service, global; State: CA"
Insight Global,483098,TSSCI CYBER CAPABILITIES TRAINER,"Hampton, Virginia",TS/SCI,Global Service Management – Operations II; Global Solutions Management – Operations II; 16th Air Force Mission IT Support,ManTech; Leidos,"HOUSTON, TEXAS; QUANTICO, VIRGINIA; MORGANTOWN, WEST VIRGINIA","Hiring Manager, Program Manager, Team Lead, Recruiter","TSSCI CYBER CAPABILITIES TRAINER, TS/SCI, federal contractor","""Hiring Manager"" AND (Leidos) AND (Hampton)",6,"Keywords: service, global, operations"
Insight Global,479181,HARDWARE LAB STRING ENGINEER,"Woburn, Massachusetts",,"Global Service Management – Operations II; NGEN-R SMIT – Navy Next Generation Enterprise Network (Service Management, Integration & Transport); DIA Information Systems Engineering Office",Leidos,"FREDERICK, MARYLAND; MORGANTOWN, WEST VIRGINIA","Engineering Manager, Technical Lead, Program Manager, Hiring Manager","HARDWARE LAB STRING ENGINEER, None, federal contractor","""Engineering Manager"" AND (Leidos) AND (Woburn)",8,"Keywords: service, global, operations"
Insight Global,479672,TS/SCI PROGRAM ADMINISTRATOR,"San Antonio, Texas",TS/SCI,Army AESD Enterprise Service Desk; Army Enterprise Service Desk; Cloud One (USAF Cloud Program),SAIC,"SAN ANTONIO, TEXAS","Hiring Manager, Program Manager, Team Lead, Recruiter","TS/SCI PROGRAM ADMINISTRATOR, TS/SCI, federal contractor","""Hiring Manager"" AND (SAIC) AND (San Antonio)",10,Keywords: service; State: TX; City: SAN ANTONIO
Insight Global,479037,SUPPORT COUNSELOR,"Santa Cruz, California",,GBS (Global Broadcast Service); Global Broadcast Service; Defense Health Agency Desktop to Datacenter,L3Harris; L3Harris (historical); GDIT,"SPRINGFIELD, VIRGINIA; ANAHEIM, CALIFORNIA","Hiring Manager, Program Manager, Team Lead, Recruiter","SUPPORT COUNSELOR, None, federal contractor","""Hiring Manager"" AND (L3Harris OR L3Harris (historical)) AND (Santa Cruz)",7,"Keywords: service, global; State: CA"
Insight Global,467119,"TOP SECRET FSR ANALYST (WASHINGTON, DC & FT. CAMPBELL, KY)","Washington, District Of Columbia",Top Secret,Advanced Battle Management System; Air Force Cyber Operations / Platform One + Cyber/DevSecOps Portfolio; DLA J6 Enterprise Technology Services 2.0,Multi (SAIC supports parts); SAIC; Leidos; CACI; Booz Allen Hamilton (aggregate DevSecOps/Cyber vendors supporting CSO & P1); Leidos; GDIT; Booz Allen; CACI; Peraton,"WASHINGTON, DISTRICT OF COLUMBIA; COLORADO SPRINGS, COLORADO","Analytics Manager, Program Manager, Team Lead, Hiring Manager","TOP SECRET FSR ANALYST (WASHINGTON, DC & FT. CAMPBELL, KY), Top Secret, federal contractor","""Analytics Manager"" AND (Multi (SAIC supports parts) OR SAIC; Leidos; CACI; Booz Allen Hamilton (aggregate DevSecOps/Cyber vendors supporting CSO & P1)) AND (Washington)",7,"Keywords: system, advanced; State: CO"
Insight Global,468922,SYSTEM ADMINISTRATOR II (BIG IP F5),"Montgomery, Alabama",Secret,"Project Convergence (JADC2 Experiments); NGEN-R SMIT – Navy Next Generation Enterprise Network (Service Management, Integration & Transport); Air Force Advanced Battle Management System","Multiple: SAIC, Leidos, Booz Allen Hamilton; SAIC; Leidos","HERNDON, VIRGINIA; MORGANTOWN, WEST VIRGINIA; COLORADO SPRINGS, COLORADO","Hiring Manager, Program Manager, Team Lead, Recruiter","SYSTEM ADMINISTRATOR II (BIG IP F5), Secret, federal contractor","""Hiring Manager"" AND (SAIC OR Leidos) AND (Montgomery)",10,Acronym: PC
Insight Global,478431,SECRET CLEARED WINDOWS AND LINUX ADMIN,"Pearl City, Hawaii",Secret,Advanced Battle Management System; Air Force Advanced Battle Management System; DISA Global Service Mgmt – Ops II,"Multi (SAIC supports parts); Multiple: SAIC, Leidos, Booz Allen Hamilton; Leidos","HERNDON, VIRGINIA; MORGANTOWN, WEST VIRGINIA; COLORADO SPRINGS, COLORADO","Hiring Manager, Program Manager, Team Lead, Recruiter","SECRET CLEARED WINDOWS AND LINUX ADMIN, Secret, federal contractor","""Hiring Manager"" AND (Multi (SAIC supports parts) OR Multiple: SAIC, Leidos, Booz Allen Hamilton) AND (Pearl City)",6,"Keywords: system, advanced, management"
Insight Global,482651,UH-60 SHEET METAL AIRCRAFT MECHANIC IIII,"Meridianville, Alabama",Secret,DISA Global Service Mgmt – Ops II; GBS (Global Broadcast Service); Global Broadcast Service,L3Harris; L3Harris (historical); Leidos,"ANAHEIM, CALIFORNIA; MORGANTOWN, WEST VIRGINIA","Hiring Manager, Program Manager, Team Lead, Recruiter","UH-60 SHEET METAL AIRCRAFT MECHANIC IIII, Secret, federal contractor","""Hiring Manager"" AND (L3Harris (historical) OR Leidos) AND (Meridianville)",4,"Keywords: service, global"
Insight Global,402196,PROJECT CONTROLS,"Dhs, Virginia",Public Trust,Mission Partner Environment (Field Ops / MPCO); Air Force Advanced Battle Management System; Battlefield Information Collection & Exploitation System,"Multiple: SAIC, Leidos, Booz Allen Hamilton; GDIT","HERNDON, VIRGINIA; SPRINGFIELD, VIRGINIA","Hiring Manager, Program Manager, Team Lead, Recruiter","PROJECT CONTROLS, Public Trust, federal contractor","""Hiring Manager"" AND (Multiple: SAIC, Leidos, Booz Allen Hamilton OR GDIT) AND (Dhs)",7,"Keywords: environment, field; State: VA"
Insight Global,474162,DEPUTY PROGRAM MANAGER,"Chambersburg, Pennsylvania",Secret,Global Service Management – Operations II; Army Enterprise Service Management Framework; Business Operations & Analytics,Northrop Grumman; SAIC; Leidos,"ROY, UTAH; COLORADO SPRINGS, COLORADO; MORGANTOWN, WEST VIRGINIA","Director, VP, Senior Manager, Program Director","DEPUTY PROGRAM MANAGER, Secret, federal contractor","""Director"" AND (SAIC OR Leidos) AND (Chambersburg)",8,"Keywords: service, global, operations"
Insight Global,474958,"INFORMATION SYSTEM SECURITY MANAGER (ISSM) - WARREN, MICHIGAN","Sterling Heights, Michigan",,Global Service Management – Operations II; INSCOM IT Support Services (current TO iteration); INSCOM IT Support Services III,GDIT; Leidos,"STERLING HEIGHTS, MICHIGAN; MORGANTOWN, WEST VIRGINIA","Director, VP, Senior Manager, Program Director","INFORMATION SYSTEM SECURITY MANAGER (ISSM) - WARREN, MICHIGAN, None, federal contractor","""Director"" AND (GDIT OR Leidos) AND (Sterling Heights)",6,"Keywords: service, global, management"
Insight Global,476039,AEROMECHANICAL ENGINEER,"Solana Beach, California",Secret,GBS (Global Broadcast Service); Global Broadcast Service; DIA Information Systems Engineering Office,L3Harris; L3Harris (historical); Leidos,"FREDERICK, MARYLAND; ANAHEIM, CALIFORNIA","Engineering Manager, Technical Lead, Program Manager, Hiring Manager","AEROMECHANICAL ENGINEER, Secret, federal contractor","""Engineering Manager"" AND (L3Harris OR L3Harris (historical)) AND (Solana Beach)",7,"Keywords: service, global; State: CA"
Insight Global,476770,CONSTRUCTION SURVEILLANCE TECHNICIAN (CST) I,"Wailuku, Hawaii",Top Secret,DIA Information Systems Engineering Office; DISA Global Service Mgmt – Ops II; GBS (Global Broadcast Service),L3Harris (historical); Leidos,"ANAHEIM, CALIFORNIA; FREDERICK, MARYLAND; MORGANTOWN, WEST VIRGINIA","Hiring Manager, Program Manager, Team Lead, Recruiter","CONSTRUCTION SURVEILLANCE TECHNICIAN (CST) I, Top Secret, federal contractor","""Hiring Manager"" AND (Leidos) AND (Wailuku)",4,"Keywords: information, systems"
Insight Global,482180,SR. SOFTWARE ENGINEER W/ POLYGRAPH,"Sully, Virginia",TS/SCI Poly,CMS Enterprise Cloud Infrastructure Services; Battlefield Information Collection & Exploitation System; Defense Enterprise Office 365 Migration / DoD365,Microsoft; GDIT; Peraton / SAIC (indicative),"HERNDON, VIRGINIA; MCLEAN, VIRGINIA; SPRINGFIELD, VIRGINIA","Engineering Manager, Technical Lead, Program Manager, Hiring Manager","SR. SOFTWARE ENGINEER W/ POLYGRAPH, TS/SCI Poly, federal contractor","""Engineering Manager"" AND (GDIT OR Peraton / SAIC (indicative)) AND (Sully)",9,"Keywords: infrastructure, cloud, enterprise; State: VA"
Insight Global,477098,SHIPFITTER,"Kings Bay, Georgia",,Global Service Management – Operations II; DISA Global Service Mgmt – Ops II; GBS (Global Broadcast Service),L3Harris (historical); Leidos,"ANAHEIM, CALIFORNIA; MORGANTOWN, WEST VIRGINIA","Hiring Manager, Program Manager, Team Lead, Recruiter","SHIPFITTER, None, federal contractor","""Hiring Manager"" AND (Leidos) AND (Kings Bay)",6,"Keywords: service, global, operations"
Insight Global,483144,QUALITY ENGINEER,"Cleveland, Ohio",,DIA Information Systems Engineering Office; Global Service Management – Operations II; Aegis Ballistic Missile Defense / Aegis Program,Lockheed Martin; Leidos,"FREDERICK, MARYLAND; FORT WORTH, TEXAS; MORGANTOWN, WEST VIRGINIA","Engineering Manager, Technical Lead, Program Manager, Hiring Manager","QUALITY ENGINEER, None, federal contractor","""Engineering Manager"" AND (Leidos) AND (Cleveland)",6,"Keywords: engineering, information, systems"
Insight Global,453521,SECRET SATELLITE SYSTEMS ENGINEER,"Grand Forks, North Dakota",Secret,DIA Information Systems Engineering Office; Global Service Management – Operations II; Battlefield Information Collection & Exploitation System,GDIT; Leidos,"FREDERICK, MARYLAND; SPRINGFIELD, VIRGINIA; MORGANTOWN, WEST VIRGINIA","Engineering Manager, Technical Lead, Program Manager, Hiring Manager","SECRET SATELLITE SYSTEMS ENGINEER, Secret, federal contractor","""Engineering Manager"" AND (Leidos) AND (Grand Forks)",6,"Keywords: engineering, information, systems"
Insight Global,459677,TOP SECRET OPERATIONS SUPPORT ENGINEER,"Huntsville, Alabama",Top Secret,Project Convergence (JADC2 Experiments); DIA Information Systems Engineering Office; Global Service Management – Operations II,SAIC; Leidos,"FREDERICK, MARYLAND; MORGANTOWN, WEST VIRGINIA; COLORADO SPRINGS, COLORADO","Engineering Manager, Technical Lead, Program Manager, Hiring Manager","TOP SECRET OPERATIONS SUPPORT ENGINEER, Top Secret, federal contractor","""Engineering Manager"" AND (SAIC OR Leidos) AND (Huntsville)",10,Acronym: PC
Insight Global,479699,SECRET DATABASE ENGINEER,"Herndon, Virginia",Secret,NARSIL – Advanced Research for System Intelligence & Learning; Air Force Advanced Battle Management System; CMS Enterprise Cloud Infrastructure Services,"Peraton; Multiple: SAIC, Leidos, Booz Allen Hamilton; Peraton / SAIC (indicative)","HERNDON, VIRGINIA","Engineering Manager, Technical Lead, Program Manager, Hiring Manager","SECRET DATABASE ENGINEER, Secret, federal contractor","""Engineering Manager"" AND (Peraton OR Multiple: SAIC, Leidos, Booz Allen Hamilton) AND (Herndon)",18,"Keywords: learning, intelligence, research; State: VA; City: HERNDON"
Insight Global,436233,SECRET DATACENTER SME,"Suffolk, Virginia",Secret,CMS Enterprise Cloud Infrastructure Services; Data Center & Cloud Optimization; DoD High Performance Computing Modernization Program – HITS / HITS-U Support,Peraton / Leidos (indicative); SAIC; Peraton / SAIC (indicative),"MC LEAN, VIRGINIA; HERNDON, VIRGINIA; SAN ANTONIO, TEXAS","Hiring Manager, Program Manager, Team Lead, Recruiter","SECRET DATACENTER SME, Secret, federal contractor","""Hiring Manager"" AND (Peraton / Leidos (indicative) OR Peraton / SAIC (indicative)) AND (Suffolk)",9,"Keywords: infrastructure, cloud, enterprise; State: VA"
Insight Global,454385,"SECRET FSR ANALYST (CALIBAN: SAN FRANCISCO, CA; MIAMI, FL; JUNEAU, AK)","San Francisco, California",Secret,Intelligence Systems Enterprise Operations; GBS (Global Broadcast Service); Global Broadcast Service,L3Harris; L3Harris (historical); Leidos,"FREDERICK, MARYLAND; ANAHEIM, CALIFORNIA","Analytics Manager, Program Manager, Team Lead, Hiring Manager","SECRET FSR ANALYST (CALIBAN: SAN FRANCISCO, CA; MIAMI, FL; JUNEAU, AK), Secret, federal contractor","""Analytics Manager"" AND (L3Harris (historical) OR Leidos) AND (San Francisco)",8,"Keywords: intelligence, operations, enterprise"
Insight Global,483590,AIR MOBILITY OPERATIONS SME,"O'fallon, Illinois",Top Secret,Global Service Management – Operations II; Global Solutions Management – Operations II; Air Force Advanced Battle Management System,"Multiple: SAIC, Leidos, Booz Allen Hamilton; Leidos","HOUSTON, TEXAS; HERNDON, VIRGINIA; MORGANTOWN, WEST VIRGINIA","Hiring Manager, Program Manager, Team Lead, Recruiter","AIR MOBILITY OPERATIONS SME, Top Secret, federal contractor","""Hiring Manager"" AND (Leidos) AND (O'fallon)",8,"Keywords: service, global, operations"
Insight Global,477769,ELECTRO-MECHANICAL ASSEMBLY TECHNICIAN,"San Diego, California",Secret,GBS (Global Broadcast Service); Global Broadcast Service; DIA Information Systems Engineering Office,L3Harris; L3Harris (historical); Leidos,"FREDERICK, MARYLAND; ANAHEIM, CALIFORNIA","Hiring Manager, Program Manager, Team Lead, Recruiter","ELECTRO-MECHANICAL ASSEMBLY TECHNICIAN, Secret, federal contractor","""Hiring Manager"" AND (L3Harris OR L3Harris (historical)) AND (San Diego)",7,"Keywords: service, global; State: CA"
Insight Global,350529,SENIOR MECHANICAL EQUIPMENT & TOOL ENGINEER,"Seattle, Washington",Top Secret,"EDIS – Engineering, Development, Integration & Sustainment; Engineering Development & Integration Support; Global Command and Control System – Joint",SAIC (via Engility); SAIC; Northrop Grumman,"ROY, UTAH; COLORADO SPRINGS, COLORADO","Engineering Manager, Technical Lead, Program Manager, Hiring Manager","SENIOR MECHANICAL EQUIPMENT & TOOL ENGINEER, Top Secret, federal contractor","""Engineering Manager"" AND (SAIC (via Engility) OR SAIC) AND (Seattle)",6,"Keywords: engineering, integration, development"
Insight Global,475841,SUPERINTENDENT - MILCON,"Fort Bliss, Texas",Secret,Global Solutions Management – Operations II; DoD High Performance Computing Modernization Program – HITS / HITS-U Support; Global Network Operations (DISA GSM-O II),SAIC; Leidos,"HOUSTON, TEXAS; SAN ANTONIO, TEXAS","Hiring Manager, Program Manager, Team Lead, Recruiter","SUPERINTENDENT - MILCON, Secret, federal contractor","""Hiring Manager"" AND (SAIC OR Leidos) AND (Fort Bliss)",9,"Keywords: global, operations, solutions; State: TX"
Insight Global,479753,V-22 AIRCRAFT MAINTENANCE AND MODIFICATION TECHNICIAN,"San Diego, California",Secret,GBS (Global Broadcast Service); Global Broadcast Service; Global Command and Control System – Joint,L3Harris; L3Harris (historical); Northrop Grumman,"ROY, UTAH; ANAHEIM, CALIFORNIA","Hiring Manager, Program Manager, Team Lead, Recruiter","V-22 AIRCRAFT MAINTENANCE AND MODIFICATION TECHNICIAN, Secret, federal contractor","""Hiring Manager"" AND (L3Harris OR L3Harris (historical)) AND (San Diego)",7,"Keywords: service, global; State: CA"
